"Candidate.Name.Booth.No."	"No.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"3"	"1"	"53"	"7"	"196"	"3"	"2"	"7"	"3"	"2"	"0"	"0"	"3"	"1"	"1"	"2"	"0"	"1"	"281"
"4"	"2"	"38"	"12"	"203"	"9"	"3"	"4"	"13"	"2"	"2"	"6"	"13"	"2"	"2"	"6"	"3"	"10"	"328"
"5"	"3"	"31"	"25"	"199"	"15"	"2"	"10"	"19"	"6"	"0"	"5"	"13"	"2"	"1"	"7"	"7"	"6"	"348"
"6"	"4"	"100"	"41"	"314"	"14"	"6"	"8"	"16"	"9"	"2"	"1"	"11"	"2"	"2"	"3"	"3"	"7"	"539"
"7"	"5"	"58"	"14"	"269"	"8"	"2"	"11"	"9"	"6"	"1"	"6"	"28"	"6"	"7"	"13"	"8"	"8"	"454"
"8"	"6"	"79"	"4"	"122"	"1"	"4"	"2"	"5"	"1"	"3"	"4"	"11"	"1"	"4"	"10"	"10"	"8"	"269"
"9"	"7"	"101"	"10"	"196"	"3"	"2"	"1"	"10"	"3"	"1"	"3"	"10"	"4"	"2"	"6"	"7"	"12"	"371"
"10"	"8"	"59"	"24"	"101"	"11"	"0"	"2"	"6"	"1"	"2"	"0"	"12"	"0"	"5"	"9"	"6"	"27"	"265"
"11"	"9"	"234"	"8"	"137"	"5"	"3"	"1"	"6"	"3"	"2"	"0"	"13"	"4"	"2"	"5"	"1"	"4"	"428"
"12"	"10"	"97"	"55"	"146"	"8"	"1"	"5"	"8"	"2"	"3"	"4"	"6"	"2"	"0"	"0"	"4"	"2"	"343"
"13"	"11"	"87"	"34"	"184"	"5"	"6"	"4"	"15"	"3"	"2"	"2"	"5"	"1"	"0"	"3"	"1"	"4"	"356"
"14"	"12"	"62"	"25"	"242"	"11"	"2"	"8"	"24"	"4"	"4"	"4"	"15"	"3"	"3"	"8"	"3"	"5"	"423"
"15"	"13"	"114"	"24"	"150"	"7"	"2"	"3"	"5"	"1"	"0"	"0"	"6"	"0"	"0"	"1"	"4"	"3"	"320"
"16"	"14"	"68"	"39"	"123"	"23"	"0"	"2"	"8"	"1"	"1"	"1"	"2"	"2"	"3"	"5"	"3"	"5"	"286"
"17"	"15"	"106"	"16"	"158"	"15"	"3"	"1"	"9"	"4"	"0"	"0"	"6"	"3"	"0"	"2"	"2"	"2"	"327"
"18"	"16"	"210"	"39"	"167"	"16"	"5"	"3"	"12"	"4"	"1"	"4"	"7"	"3"	"2"	"6"	"2"	"7"	"488"
"19"	"17"	"161"	"55"	"145"	"24"	"2"	"3"	"6"	"3"	"4"	"2"	"8"	"3"	"3"	"9"	"8"	"10"	"446"
"20"	"Candidate Name
Booth No."	"No valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"23"	"18"	"84"	"10"	"117"	"7"	"3"	"5"	"8"	"3"	"1"	"1"	"4"	"5"	"4"	"5"	"2"	"2"	"261"
"24"	"19"	"45"	"75"	"25"	"3"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"0"	"2"	"3"	"5"	"163"
"25"	"20"	"43"	"26"	"69"	"10"	"2"	"2"	"9"	"2"	"1"	"3"	"11"	"0"	"0"	"3"	"2"	"1"	"184"
"26"	"21"	"37"	"9"	"349"	"5"	"0"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"406"
