"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"132"	"291"	"33"	"16"	"17"	"3"	"2"	"36"	"7"	"1"	"2"	"0"	"1"	"9"	"8"	"5"	"5"	"1"	"2"	"0"	"0"	"1"	"572"	"0"	"572"	"0"
"4"	"2"	"198"	"191"	"31"	"20"	"68"	"2"	"4"	"73"	"8"	"1"	"5"	"5"	"0"	"5"	"5"	"10"	"29"	"12"	"7"	"14"	"18"	"16"	"722"	"0"	"722"	"0"
"5"	"3"	"160"	"71"	"25"	"6"	"15"	"1"	"0"	"25"	"3"	"0"	"0"	"0"	"1"	"5"	"1"	"1"	"1"	"3"	"0"	"2"	"0"	"3"	"323"	"0"	"323"	"0"
"6"	"4"	"262"	"180"	"30"	"6"	"17"	"2"	"2"	"47"	"7"	"2"	"2"	"0"	"2"	"3"	"5"	"7"	"11"	"3"	"1"	"5"	"1"	"5"	"600"	"0"	"600"	"0"
"7"	"5"	"76"	"103"	"114"	"15"	"29"	"2"	"4"	"44"	"4"	"2"	"5"	"0"	"1"	"5"	"5"	"2"	"6"	"3"	"5"	"2"	"3"	"2"	"432"	"0"	"432"	"0"
"8"	"6"	"64"	"325"	"14"	"2"	"7"	"2"	"3"	"17"	"1"	"1"	"2"	"2"	"0"	"1"	"2"	"2"	"12"	"2"	"0"	"3"	"2"	"2"	"466"	"0"	"466"	"0"
"9"	"7"	"256"	"228"	"64"	"13"	"18"	"2"	"4"	"81"	"11"	"2"	"3"	"0"	"0"	"12"	"6"	"1"	"12"	"2"	"3"	"3"	"2"	"2"	"725"	"0"	"725"	"0"
"10"	"8"	"265"	"151"	"41"	"89"	"6"	"2"	"6"	"91"	"6"	"4"	"2"	"0"	"4"	"13"	"2"	"5"	"14"	"5"	"2"	"12"	"4"	"5"	"729"	"0"	"729"	"0"
"11"	"9"	"167"	"55"	"11"	"15"	"68"	"2"	"2"	"34"	"3"	"3"	"0"	"2"	"1"	"7"	"2"	"6"	"12"	"5"	"4"	"11"	"5"	"11"	"426"	"0"	"426"	"0"
"12"	"10"	"88"	"78"	"9"	"49"	"33"	"3"	"0"	"33"	"2"	"1"	"0"	"1"	"1"	"2"	"0"	"1"	"3"	"4"	"1"	"3"	"3"	"5"	"320"	"0"	"320"	"0"
"13"	"11"	"86"	"203"	"18"	"5"	"42"	"2"	"2"	"44"	"2"	"1"	"3"	"0"	"3"	"3"	"3"	"1"	"10"	"8"	"2"	"9"	"9"	"5"	"461"	"0"	"461"	"0"
"14"	"12"	"111"	"230"	"19"	"9"	"31"	"3"	"1"	"42"	"4"	"3"	"1"	"1"	"2"	"2"	"6"	"7"	"13"	"8"	"3"	"14"	"6"	"13"	"529"	"0"	"529"	"0"
"15"	"13"	"79"	"410"	"13"	"7"	"28"	"3"	"1"	"20"	"3"	"2"	"3"	"4"	"2"	"5"	"5"	"13"	"3"	"3"	"2"	"1"	"4"	"0"	"611"	"0"	"611"	"0"
"16"	"14"	"202"	"121"	"7"	"5"	"23"	"1"	"0"	"30"	"3"	"1"	"0"	"0"	"0"	"3"	"0"	"5"	"1"	"1"	"0"	"2"	"0"	"2"	"407"	"0"	"407"	"0"
"17"	"l hV dk
; ksx"	"2146"	"2637"	"429"	"257"	"402"	"30"	"31"	"617"	"64"	"24"	"28"	"15"	"18"	"75"	"50"	"66"	"132"	"60"	"32"	"81"	"57"	"72"	"7323"	"0"	"7323"	"0"
"18"	"d qy  &"	"2146"	"2637"	"429"	"257"	"402"	"30"	"31"	"617"	"64"	"24"	"28"	"15"	"18"	"75"	"50"	"66"	"132"	"60"	"32"	"81"	"57"	"72"	"7323"	"0"	"7323"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"22"	"i woZ  dk
; ksx&"	"2146"	"2637"	"429"	"257"	"402"	"30"	"31"	"617"	"64"	"24"	"28"	"15"	"18"	"75"	"50"	"66"	"132"	"60"	"32"	"81"	"57"	"72"	"7323"	"0"	"7323"	"0"
"23"	"15"	"102"	"506"	"13"	"4"	"24"	"1"	"1"	"13"	"4"	"2"	"2"	"0"	"1"	"1"	"11"	"6"	"6"	"6"	"0"	"5"	"0"	"3"	"711"	"0"	"711"	"0"
"24"	"16"	"121"	"296"	"7"	"2"	"33"	"4"	"0"	"23"	"2"	"0"	"2"	"1"	"0"	"3"	"2"	"2"	"2"	"3"	"1"	"1"	"1"	"3"	"509"	"0"	"509"	"0"
"25"	"17"	"110"	"211"	"15"	"3"	"62"	"2"	"0"	"24"	"3"	"2"	"2"	"1"	"1"	"1"	"1"	"3"	"7"	"5"	"1"	"3"	"0"	"6"	"463"	"0"	"463"	"0"
"26"	"18"	"21"	"271"	"4"	"3"	"22"	"1"	"1"	"8"	"0"	"3"	"1"	"1"	"1"	"2"	"7"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"352"	"0"	"352"	"0"
"27"	"19"	"54"	"122"	"41"	"2"	"47"	"3"	"1"	"28"	"18"	"1"	"2"	"3"	"53"	"6"	"8"	"3"	"10"	"3"	"4"	"3"	"3"	"5"	"420"	"0"	"420"	"0"
"28"	"20"	"52"	"200"	"10"	"4"	"23"	"0"	"2"	"13"	"1"	"2"	"16"	"0"	"0"	"1"	"2"	"4"	"5"	"8"	"5"	"6"	"2"	"6"	"362"	"0"	"362"	"0"
"29"	"21"	"329"	"43"	"11"	"33"	"60"	"5"	"1"	"79"	"10"	"5"	"3"	"1"	"4"	"7"	"12"	"42"	"18"	"4"	"1"	"2"	"3"	"4"	"677"	"0"	"677"	"0"
"30"	"22"	"122"	"110"	"4"	"15"	"9"	"1"	"2"	"36"	"6"	"0"	"0"	"2"	"1"	"0"	"0"	"9"	"2"	"2"	"1"	"0"	"0"	"1"	"323"	"0"	"323"	"0"
"31"	"23"	"63"	"277"	"8"	"1"	"11"	"4"	"0"	"12"	"4"	"1"	"1"	"1"	"0"	"2"	"0"	"1"	"5"	"3"	"0"	"2"	"1"	"0"	"397"	"0"	"397"	"0"
"32"	"24"	"179"	"145"	"26"	"1"	"23"	"3"	"2"	"76"	"8"	"2"	"3"	"3"	"2"	"6"	"3"	"8"	"26"	"8"	"5"	"16"	"6"	"20"	"571"	"0"	"571"	"0"
"33"	"25"	"105"	"204"	"38"	"1"	"9"	"0"	"1"	"33"	"4"	"3"	"2"	"1"	"3"	"9"	"12"	"30"	"4"	"3"	"1"	"3"	"0"	"3"	"469"	"0"	"469"	"0"
"34"	"26"	"113"	"56"	"14"	"1"	"22"	"1"	"2"	"31"	"2"	"1"	"1"	"1"	"0"	"2"	"2"	"1"	"10"	"5"	"0"	"4"	"3"	"2"	"274"	"0"	"274"	"0"
"35"	"27"	"152"	"80"	"14"	"1"	"26"	"0"	"3"	"33"	"1"	"1"	"1"	"0"	"1"	"3"	"7"	"10"	"6"	"4"	"1"	"3"	"0"	"0"	"347"	"0"	"347"	"0"
"36"	"28"	"205"	"186"	"18"	"31"	"45"	"1"	"4"	"54"	"3"	"4"	"3"	"1"	"0"	"10"	"7"	"6"	"9"	"1"	"2"	"4"	"0"	"3"	"597"	"0"	"597"	"0"
"37"	"l hV dk
; ksx"	"1728"	"2707"	"223"	"102"	"416"	"26"	"20"	"463"	"66"	"27"	"39"	"16"	"67"	"53"	"74"	"127"	"110"	"59"	"22"	"52"	"19"	"56"	"6472"	"0"	"6472"	"0"
"38"	"d qy  &"	"3874"	"5344"	"652"	"359"	"818"	"56"	"51"	"1080"	"130"	"51"	"67"	"31"	"85"	"128"	"124"	"193"	"242"	"119"	"54"	"133"	"76"	"128"	"13795"	"0"	"13795"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"40"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"42"	"i woZ  dk
; ksx&"	"3874"	"5344"	"652"	"359"	"818"	"56"	"51"	"1080"	"130"	"51"	"67"	"31"	"85"	"128"	"124"	"193"	"242"	"119"	"54"	"133"	"76"	"128"	"13795"	"0"	"13795"	"0"
"43"	"29"	"200"	"76"	"4"	"1"	"15"	"1"	"0"	"34"	"1"	"1"	"2"	"0"	"0"	"1"	"4"	"9"	"7"	"2"	"1"	"0"	"1"	"1"	"361"	"0"	"361"	"0"
"44"	"30"	"140"	"145"	"22"	"2"	"10"	"2"	"1"	"43"	"4"	"1"	"2"	"2"	"8"	"5"	"6"	"33"	"11"	"6"	"5"	"5"	"6"	"10"	"469"	"0"	"469"	"0"
"45"	"31"	"99"	"81"	"13"	"33"	"39"	"0"	"1"	"31"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"3"	"8"	"3"	"2"	"1"	"0"	"2"	"326"	"0"	"326"	"0"
"46"	"32"	"91"	"120"	"14"	"5"	"63"	"1"	"0"	"50"	"2"	"5"	"0"	"2"	"0"	"5"	"1"	"4"	"9"	"6"	"3"	"2"	"2"	"1"	"386"	"0"	"386"	"0"
"47"	"33"	"61"	"145"	"16"	"77"	"30"	"0"	"0"	"17"	"4"	"2"	"1"	"2"	"2"	"5"	"2"	"2"	"21"	"16"	"7"	"8"	"10"	"9"	"437"	"0"	"437"	"0"
"48"	"34"	"127"	"27"	"6"	"8"	"111"	"2"	"0"	"27"	"4"	"2"	"0"	"1"	"0"	"2"	"1"	"4"	"7"	"1"	"1"	"2"	"2"	"10"	"345"	"0"	"345"	"0"
"49"	"35"	"152"	"46"	"23"	"4"	"98"	"2"	"1"	"30"	"14"	"4"	"1"	"0"	"2"	"9"	"4"	"22"	"1"	"0"	"2"	"1"	"2"	"8"	"426"	"0"	"426"	"0"
"50"	"36"	"140"	"205"	"15"	"1"	"40"	"0"	"2"	"25"	"2"	"3"	"0"	"0"	"3"	"2"	"6"	"7"	"18"	"12"	"1"	"6"	"5"	"5"	"498"	"0"	"498"	"0"
"51"	"37"	"80"	"78"	"14"	"19"	"62"	"5"	"1"	"42"	"5"	"3"	"5"	"3"	"1"	"7"	"9"	"11"	"3"	"1"	"1"	"0"	"0"	"7"	"357"	"0"	"357"	"0"
"52"	"38"	"175"	"111"	"6"	"3"	"46"	"2"	"3"	"33"	"4"	"2"	"2"	"4"	"3"	"1"	"3"	"12"	"3"	"3"	"1"	"1"	"0"	"3"	"421"	"0"	"421"	"0"
"53"	"39"	"121"	"18"	"2"	"75"	"8"	"1"	"2"	"19"	"3"	"0"	"0"	"2"	"1"	"5"	"1"	"18"	"1"	"0"	"0"	"1"	"1"	"1"	"280"	"0"	"280"	"0"
"54"	"40"	"112"	"293"	"168"	"10"	"44"	"0"	"4"	"25"	"4"	"2"	"2"	"1"	"8"	"13"	"6"	"10"	"6"	"1"	"6"	"2"	"0"	"1"	"718"	"0"	"718"	"0"
"55"	"41"	"34"	"191"	"13"	"5"	"75"	"2"	"1"	"22"	"1"	"15"	"1"	"0"	"0"	"3"	"2"	"1"	"13"	"10"	"2"	"11"	"1"	"8"	"411"	"0"	"411"	"0"
"56"	"42"	"379"	"171"	"34"	"5"	"40"	"2"	"1"	"49"	"9"	"0"	"1"	"0"	"1"	"5"	"5"	"9"	"8"	"1"	"0"	"0"	"2"	"2"	"724"	"0"	"724"	"0"
