"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  146 Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"6"	"1"	"125"	"25"	"3"	"271"	"56"	"11"	"4"	"1"	"3"	"3"	"4"	"193"	"9"	"4"	"4"	"25"	"8"	"1"	"1"	"751"	"0"	"751"	"0"
"7"	"2"	"38"	"12"	"2"	"95"	"87"	"2"	"1"	"1"	"0"	"3"	"3"	"87"	"6"	"1"	"2"	"8"	"1"	"2"	"1"	"352"	"0"	"352"	"0"
"8"	"3"	"55"	"25"	"2"	"97"	"254"	"8"	"6"	"1"	"2"	"6"	"6"	"42"	"4"	"8"	"7"	"21"	"8"	"4"	"3"	"559"	"0"	"559"	"0"
"9"	"4"	"83"	"26"	"4"	"70"	"184"	"3"	"1"	"0"	"3"	"3"	"2"	"79"	"2"	"1"	"1"	"7"	"10"	"5"	"7"	"491"	"0"	"491"	"0"
"10"	"5"	"34"	"28"	"2"	"140"	"180"	"14"	"2"	"5"	"4"	"5"	"13"	"71"	"6"	"4"	"7"	"35"	"4"	"0"	"0"	"554"	"0"	"554"	"0"
"11"	"6"	"13"	"16"	"3"	"75"	"174"	"15"	"1"	"5"	"2"	"2"	"1"	"64"	"3"	"1"	"1"	"5"	"0"	"1"	"2"	"384"	"0"	"384"	"0"
"12"	"7"	"111"	"23"	"6"	"177"	"361"	"9"	"4"	"8"	"3"	"4"	"6"	"65"	"5"	"5"	"8"	"11"	"20"	"5"	"8"	"839"	"0"	"839"	"0"
"13"	"8"	"72"	"15"	"7"	"267"	"193"	"9"	"4"	"1"	"0"	"6"	"4"	"91"	"2"	"5"	"8"	"31"	"3"	"1"	"2"	"721"	"0"	"721"	"0"
"14"	"9"	"40"	"31"	"3"	"64"	"129"	"3"	"0"	"1"	"1"	"4"	"1"	"102"	"5"	"1"	"0"	"10"	"1"	"4"	"3"	"403"	"0"	"403"	"0"
"15"	"10"	"136"	"67"	"2"	"58"	"93"	"8"	"0"	"2"	"3"	"3"	"6"	"63"	"3"	"1"	"1"	"6"	"4"	"2"	"2"	"460"	"0"	"460"	"0"
"16"	"11"	"81"	"34"	"3"	"145"	"37"	"1"	"3"	"1"	"7"	"6"	"10"	"27"	"9"	"4"	"4"	"19"	"13"	"1"	"4"	"409"	"0"	"409"	"0"
"17"	"12"	"57"	"32"	"3"	"22"	"107"	"6"	"4"	"8"	"2"	"8"	"5"	"144"	"13"	"5"	"7"	"30"	"4"	"5"	"2"	"464"	"0"	"464"	"0"
"18"	"13"	"150"	"15"	"2"	"176"	"82"	"3"	"3"	"0"	"3"	"2"	"6"	"16"	"3"	"2"	"1"	"24"	"11"	"2"	"6"	"507"	"0"	"507"	"0"
"19"	"14"	"232"	"12"	"2"	"25"	"6"	"2"	"2"	"2"	"3"	"0"	"5"	"4"	"4"	"0"	"4"	"22"	"2"	"0"	"0"	"327"	"0"	"327"	"0"
"20"	"15"	"136"	"29"	"1"	"221"	"70"	"5"	"1"	"2"	"2"	"3"	"8"	"33"	"2"	"2"	"2"	"11"	"31"	"19"	"12"	"590"	"0"	"590"	"0"
"21"	"16"	"242"	"18"	"1"	"45"	"107"	"9"	"3"	"3"	"13"	"5"	"12"	"51"	"8"	"9"	"10"	"67"	"15"	"1"	"1"	"620"	"0"	"620"	"0"
"22"	"17"	"143"	"37"	"4"	"296"	"72"	"6"	"6"	"0"	"1"	"3"	"7"	"34"	"12"	"3"	"6"	"28"	"27"	"10"	"21"	"716"	"0"	"716"	"0"
"23"	"18"	"59"	"21"	"2"	"107"	"118"	"2"	"0"	"4"	"3"	"6"	"7"	"56"	"9"	"2"	"6"	"35"	"0"	"0"	"0"	"437"	"0"	"437"	"0"
