"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 196-Tarari"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"9"	"32"	"196"	"1"	"24"	"369"	""	"3"	"5"	"0"	"6"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"4"	"3"	"0"	"419"
"10"	"32"	"196"	"2"	"209"	"116"	""	"5"	"7"	"0"	"20"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"0"	"365"
"11"	"32"	"196"	"3"	"262"	"53"	""	"3"	"0"	"0"	"17"	"1"	"0"	"2"	"4"	"0"	"1"	"1"	"3"	"6"	"8"	"361"
"12"	"32"	"196"	"4"	"361"	"153"	""	"6"	"12"	"5"	"52"	"4"	"2"	"4"	"8"	"2"	"1"	"5"	"5"	"15"	"17"	"652"
"13"	"32"	"196"	"5"	"52"	"248"	""	"4"	"5"	"1"	"4"	"0"	"1"	"1"	"2"	"0"	"3"	"0"	"3"	"3"	"0"	"327"
"14"	"32"	"196"	"6"	"263"	"68"	""	"6"	"0"	"1"	"22"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"1"	"5"	"2"	"374"
"15"	"32"	"196"	"7"	"146"	"41"	""	"3"	"2"	"0"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"7"	"211"
"16"	"32"	"196"	"8"	"60"	"249"	""	"0"	"6"	"0"	"6"	"0"	"1"	"3"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"333"
"17"	"32"	"196"	"9"	"33"	"313"	""	"5"	"14"	"0"	"10"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"381"
"18"	"32"	"196"	"10"	"275"	"21"	""	"8"	"6"	"1"	"18"	"0"	"1"	"1"	"1"	"1"	"1"	"4"	"6"	"6"	"2"	"352"
"19"	"32"	"196"	"11"	"104"	"72"	""	"17"	"9"	"2"	"28"	"0"	"1"	"3"	"1"	"0"	"0"	"1"	"1"	"8"	"3"	"250"
"20"	"32"	"196"	"12"	"154"	"272"	""	"9"	"10"	"7"	"23"	"1"	"2"	"3"	"11"	"3"	"5"	"5"	"14"	"17"	"25"	"561"
"21"	"32"	"196"	"13"	"65"	"311"	""	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"3"	"0"	"391"
"22"	"32"	"196"	"14"	"133"	"358"	""	"5"	"3"	"2"	"17"	"1"	"5"	"0"	"7"	"2"	"2"	"0"	"6"	"12"	"6"	"559"
"23"	"32"	"196"	"15"	"35"	"353"	""	"59"	"9"	"3"	"9"	"2"	"8"	"4"	"6"	"1"	"5"	"2"	"11"	"30"	"11"	"548"
"24"	"32"	"196"	"16"	"129"	"195"	""	"17"	"6"	"1"	"106"	"1"	"7"	"3"	"3"	"3"	"3"	"2"	"14"	"22"	"8"	"520"
"25"	"32"	"196"	"17"	"90"	"42"	""	"0"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"155"
"26"	"32"	"196"	"18"	"35"	"93"	""	"45"	"15"	"1"	"40"	"2"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"8"	"1"	"244"
"27"	"32"	"196"	"19"	"131"	"45"	""	"26"	"9"	"2"	"30"	"3"	"0"	"0"	"2"	"0"	"2"	"2"	"1"	"5"	"2"	"260"
"28"	"32"	"196"	"20"	"165"	"52"	""	"21"	"2"	"4"	"141"	"6"	"3"	"0"	"2"	"3"	"0"	"1"	"1"	"7"	"9"	"417"
"29"	"32"	"196"	"21"	"167"	"47"	""	"1"	"1"	"0"	"64"	"0"	"0"	"1"	"1"	"3"	"1"	"1"	"1"	"8"	"6"	"302"
"30"	"32"	"196"	"22"	"75"	"295"	""	"8"	"11"	"0"	"45"	"2"	"1"	"0"	"4"	"3"	"0"	"1"	"1"	"5"	"4"	"455"
"31"	"32"	"196"	"23"	"72"	"103"	""	"25"	"21"	"2"	"32"	"0"	"2"	"2"	"3"	"5"	"0"	"3"	"3"	"6"	"7"	"286"
"32"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 196-Tarari"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
