"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.reject.ed.votes"	"Total"	"No..of.Ten.dere.d.vote.s"
"1"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"2"	"1"	"22"	"241"	"80"	"46"	"8"	"3"	"265"	"5"	"11"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"688"	"0"	"688"	"0"
"3"	"2"	"20"	"177"	"161"	"11"	"3"	"2"	"13"	"0"	"5"	"2"	"2"	"0"	"2"	"1"	"2"	"2"	"0"	"1"	"404"	"0"	"404"	"0"
"4"	"3"	"6"	"400"	"178"	"21"	"2"	"3"	"34"	"4"	"3"	"1"	"1"	"2"	"2"	"4"	"3"	"8"	"3"	"31"	"706"	"0"	"706"	"0"
"5"	"4"	"11"	"12"	"251"	"83"	"3"	"4"	"65"	"2"	"3"	"4"	"0"	"1"	"0"	"1"	"5"	"0"	"2"	"3"	"450"	"0"	"450"	"0"
"6"	"5"	"20"	"119"	"304"	"68"	"5"	"7"	"38"	"6"	"11"	"4"	"7"	"5"	"5"	"6"	"13"	"29"	"1"	"2"	"650"	"0"	"650"	"0"
"7"	"6"	"21"	"373"	"85"	"117"	"0"	"2"	"7"	"0"	"8"	"1"	"1"	"1"	"3"	"8"	"7"	"5"	"44"	"58"	"741"	"0"	"741"	"0"
"8"	"7"	"18"	"133"	"96"	"251"	"7"	"8"	"7"	"1"	"12"	"2"	"4"	"0"	"0"	"1"	"5"	"3"	"8"	"3"	"559"	"0"	"559"	"0"
"9"	"8"	"11"	"240"	"168"	"124"	"7"	"5"	"2"	"8"	"6"	"5"	"2"	"4"	"5"	"2"	"11"	"27"	"6"	"14"	"647"	"0"	"647"	"0"
"10"	"9"	"5"	"183"	"210"	"29"	"1"	"5"	"4"	"1"	"3"	"1"	"0"	"3"	"3"	"4"	"3"	"12"	"1"	"2"	"470"	"0"	"470"	"0"
"11"	"10"	"4"	"91"	"326"	"152"	"10"	"3"	"8"	"3"	"6"	"2"	"1"	"2"	"2"	"2"	"4"	"4"	"0"	"3"	"623"	"0"	"623"	"0"
"12"	"11"	"3"	"106"	"76"	"41"	"1"	"1"	"1"	"2"	"3"	"2"	"1"	"1"	"2"	"2"	"0"	"3"	"0"	"9"	"254"	"0"	"254"	"0"
"13"	"12"	"2"	"47"	"86"	"146"	"4"	"0"	"20"	"1"	"1"	"0"	"3"	"2"	"4"	"0"	"1"	"5"	"2"	"1"	"325"	"0"	"325"	"0"
"14"	"13"	"11"	"33"	"536"	"11"	"2"	"3"	"4"	"0"	"2"	"2"	"1"	"1"	"1"	"11"	"3"	"16"	"0"	"0"	"637"	"0"	"637"	"0"
"15"	"14"	"3"	"60"	"284"	"14"	"4"	"2"	"9"	"0"	"3"	"2"	"2"	"0"	"2"	"1"	"0"	"2"	"0"	"2"	"390"	"0"	"390"	"0"
"16"	"15"	"5"	"181"	"181"	"15"	"4"	"2"	"12"	"4"	"5"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"3"	"2"	"425"	"0"	"425"	"0"
"17"	"16"	"11"	"130"	"254"	"75"	"3"	"4"	"10"	"0"	"8"	"2"	"0"	"1"	"2"	"11"	"9"	"16"	"3"	"8"	"547"	"0"	"547"	"0"
"18"	"17"	"6"	"77"	"70"	"253"	"18"	"4"	"5"	"3"	"5"	"1"	"2"	"1"	"8"	"9"	"10"	"41"	"2"	"11"	"526"	"0"	"526"	"0"
"19"	"18"	"15"	"47"	"135"	"133"	"8"	"3"	"10"	"3"	"2"	"1"	"2"	"1"	"4"	"8"	"71"	"6"	"4"	"7"	"460"	"0"	"460"	"0"
"20"	"19"	"9"	"72"	"116"	"156"	"6"	"6"	"19"	"4"	"10"	"2"	"4"	"2"	"4"	"9"	"22"	"28"	"0"	"4"	"473"	"0"	"473"	"0"
"21"	"20"	"14"	"379"	"230"	"36"	"4"	"8"	"0"	"2"	"3"	"1"	"2"	"2"	"1"	"4"	"10"	"16"	"6"	"4"	"722"	"0"	"722"	"0"
"22"	"21"	"16"	"91"	"182"	"84"	"9"	"4"	"1"	"2"	"2"	"0"	"2"	"4"	"2"	"5"	"3"	"12"	"7"	"9"	"435"	"0"	"435"	"0"
"23"	"22"	"7"	"63"	"36"	"249"	"8"	"2"	"10"	"1"	"4"	"1"	"2"	"1"	"1"	"1"	"3"	"14"	"0"	"3"	"406"	"0"	"406"	"0"
"24"	"23"	"15"	"55"	"162"	"219"	"13"	"2"	"9"	"8"	"11"	"3"	"6"	"8"	"11"	"6"	"9"	"24"	"15"	"27"	"603"	"0"	"603"	"0"
"25"	"24"	"3"	"14"	"190"	"157"	"6"	"0"	"48"	"1"	"1"	"4"	"1"	"4"	"7"	"4"	"13"	"15"	"2"	"1"	"471"	"0"	"471"	"0"
"26"	"25"	"100"	"98"	"494"	"27"	"7"	"2"	"2"	"1"	"6"	"2"	"3"	"2"	"3"	"1"	"4"	"3"	"10"	"11"	"776"	"0"	"776"	"0"
"27"	"26"	"9"	"53"	"378"	"115"	"5"	"6"	"13"	"4"	"6"	"4"	"4"	"2"	"5"	"15"	"2"	"8"	"10"	"12"	"651"	"0"	"651"	"0"
"28"	"27"	"8"	"42"	"378"	"31"	"3"	"5"	"6"	"1"	"4"	"3"	"0"	"2"	"6"	"15"	"3"	"21"	"2"	"4"	"534"	"0"	"534"	"0"
"29"	"28"	"3"	"163"	"104"	"9"	"1"	"1"	"2"	"0"	"1"	"2"	"2"	"1"	"1"	"5"	"8"	"9"	"0"	"5"	"317"	"0"	"317"	"0"
"30"	"29"	"3"	"31"	"262"	"31"	"2"	"4"	"23"	"1"	"3"	"9"	"2"	"2"	"4"	"13"	"8"	"16"	"2"	"3"	"419"	"0"	"419"	"0"
"31"	"30"	"14"	"118"	"163"	"19"	"3"	"1"	"20"	"0"	"6"	"0"	"1"	"1"	"1"	"0"	"4"	"0"	"1"	"0"	"352"	"0"	"352"	"0"
"32"	"31"	"16"	"116"	"256"	"91"	"1"	"2"	"2"	"2"	"5"	"3"	"3"	"1"	"1"	"4"	"2"	"20"	"3"	"9"	"537"	"0"	"537"	"0"
"33"	"32"	"11"	"37"	"97"	"271"	"7"	"2"	"20"	"5"	"6"	"1"	"4"	"9"	"13"	"11"	"41"	"26"	"9"	"17"	"587"	"0"	"587"	"0"
"34"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of reject ed votes"	"Total"	"No. of Ten dere d vote s"
"35"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"36"	"33"	"6"	"159"	"220"	"9"	"1"	"1"	"28"	"5"	"0"	"2"	"2"	"3"	"0"	"3"	"2"	"11"	"1"	"11"	"464"	"0"	"464"	"0"
"37"	"34"	"4"	"68"	"147"	"8"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"231"	"0"	"231"	"0"
"38"	"35"	"3"	"148"	"310"	"6"	"0"	"0"	"26"	"1"	"3"	"1"	"1"	"2"	"1"	"2"	"4"	"1"	"0"	"3"	"512"	"0"	"512"	"0"
"39"	"36"	"6"	"14"	"171"	"12"	"1"	"5"	"70"	"5"	"5"	"5"	"1"	"3"	"3"	"4"	"7"	"21"	"5"	"6"	"344"	"0"	"344"	"0"
"40"	"37"	"23"	"18"	"544"	"64"	"3"	"1"	"16"	"2"	"3"	"3"	"2"	"0"	"2"	"5"	"2"	"13"	"2"	"2"	"705"	"0"	"705"	"0"
"41"	"38"	"16"	"28"	"465"	"76"	"6"	"3"	"11"	"2"	"3"	"2"	"0"	"3"	"1"	"1"	"5"	"4"	"2"	"2"	"630"	"0"	"630"	"0"
"42"	"39"	"32"	"373"	"182"	"6"	"1"	"3"	"17"	"3"	"6"	"3"	"1"	"0"	"2"	"7"	"2"	"15"	"2"	"4"	"659"	"0"	"659"	"0"
"43"	"40"	"0"	"14"	"501"	"7"	"0"	"0"	"28"	"1"	"1"	"0"	"0"	"1"	"0"	"5"	"0"	"1"	"1"	"1"	"561"	"0"	"561"	"0"
"44"	"41"	"8"	"7"	"444"	"12"	"3"	"8"	"8"	"0"	"0"	"4"	"1"	"1"	"5"	"6"	"4"	"8"	"0"	"5"	"524"	"0"	"524"	"0"
"45"	"42"	"11"	"10"	"397"	"10"	"2"	"1"	"8"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"442"	"0"	"442"	"0"
"46"	"43"	"19"	"112"	"215"	"37"	"6"	"1"	"4"	"3"	"2"	"1"	"0"	"2"	"0"	"3"	"2"	"5"	"1"	"1"	"414"	"0"	"414"	"0"
"47"	"44"	"12"	"57"	"370"	"74"	"2"	"7"	"1"	"6"	"5"	"3"	"1"	"3"	"0"	"0"	"0"	"7"	"4"	"5"	"557"	"0"	"557"	"0"
"48"	"45"	"11"	"94"	"256"	"173"	"6"	"3"	"8"	"3"	"6"	"1"	"4"	"2"	"6"	"8"	"6"	"6"	"2"	"2"	"597"	"0"	"597"	"0"
"49"	"46"	"2"	"19"	"314"	"17"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"363"	"0"	"363"	"0"
"50"	"47"	"5"	"32"	"279"	"6"	"0"	"0"	"12"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"4"	"348"	"0"	"348"	"0"
"51"	"48"	"3"	"31"	"203"	"10"	"4"	"7"	"146"	"4"	"3"	"1"	"1"	"0"	"0"	"2"	"2"	"4"	"1"	"6"	"428"	"0"	"428"	"0"
"52"	"49"	"7"	"19"	"108"	"232"	"5"	"4"	"49"	"2"	"1"	"3"	"3"	"2"	"0"	"5"	"2"	"8"	"6"	"6"	"462"	"0"	"462"	"0"
"53"	"50"	"12"	"135"	"219"	"31"	"0"	"5"	"226"	"11"	"12"	"3"	"3"	"5"	"4"	"4"	"11"	"14"	"5"	"9"	"709"	"0"	"709"	"0"
"54"	"51"	"16"	"198"	"282"	"17"	"0"	"5"	"60"	"6"	"8"	"8"	"1"	"3"	"6"	"16"	"11"	"39"	"3"	"13"	"692"	"0"	"692"	"0"
"55"	"52"	"25"	"137"	"263"	"40"	"2"	"12"	"11"	"3"	"3"	"2"	"2"	"5"	"2"	"5"	"3"	"7"	"5"	"3"	"530"	"0"	"530"	"0"
