"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment- 211049"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/segment - 112-MAHARAJGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No -01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Umashanker Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"11"	"1"	"164"	"20"	"299"	"29"	"106"	"5"	"3"	"6"	"10"	"6"	"21"	"3"	"28"	"700"	"0"	"700"	"0"
"12"	"2"	"188"	"29"	"130"	"0"	"1"	"2"	"1"	"2"	"7"	"11"	"22"	"14"	"33"	"440"	"0"	"440"	"0"
"13"	"3"	"180"	"20"	"256"	"8"	"3"	"2"	"2"	"1"	"1"	"3"	"8"	"4"	"20"	"508"	"0"	"508"	"0"
"14"	"4"	"237"	"17"	"100"	"15"	"1"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"379"	"0"	"379"	"0"
"15"	"5"	"154"	"16"	"24"	"1"	"1"	"2"	"1"	"1"	"3"	"1"	"6"	"5"	"16"	"231"	"0"	"231"	"0"
"16"	"6"	"289"	"14"	"85"	"6"	"2"	"5"	"2"	"2"	"2"	"3"	"2"	"2"	"16"	"430"	"0"	"430"	"0"
"17"	"7"	"481"	"8"	"60"	"3"	"1"	"0"	"0"	"2"	"1"	"1"	"2"	"1"	"16"	"576"	"0"	"576"	"0"
"18"	"8"	"175"	"17"	"234"	"4"	"1"	"2"	"1"	"3"	"6"	"2"	"8"	"8"	"24"	"485"	"0"	"485"	"0"
"19"	"9"	"257"	"24"	"200"	"13"	"1"	"0"	"5"	"12"	"2"	"7"	"11"	"9"	"34"	"575"	"0"	"575"	"0"
"20"	"10"	"399"	"19"	"77"	"4"	"7"	"2"	"1"	"1"	"6"	"3"	"7"	"3"	"27"	"556"	"0"	"556"	"0"
