"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"1"	"1"	"224"	"19"	"67"	"8"	"1"	"8"	"0"	"0"	"50"	"17"	"16"	"2"	"2"	"1"	"0"	"3"	"2"	"0"	"1"	"5"	"427"	"0"	"427"	"0"
"4"	"2"	"2"	"7"	"128"	"5"	"10"	"2"	"2"	"0"	"1"	"0"	"35"	"8"	"2"	"1"	"7"	"2"	"3"	"19"	"8"	"2"	"3"	"3"	"248"	"0"	"248"	"0"
"5"	"3"	"3"	"1"	"112"	"0"	"9"	"2"	"1"	"2"	"0"	"3"	"134"	"12"	"2"	"0"	"5"	"3"	"2"	"12"	"3"	"1"	"0"	"3"	"307"	"0"	"307"	"0"
"6"	"4"	"4"	"3"	"90"	"2"	"11"	"2"	"1"	"6"	"6"	"1"	"45"	"9"	"10"	"3"	"7"	"9"	"11"	"8"	"3"	"0"	"0"	"5"	"232"	"0"	"232"	"0"
"7"	"5"	"5"	"1"	"19"	"4"	"190"	"6"	"0"	"1"	"2"	"4"	"137"	"2"	"13"	"4"	"5"	"4"	"3"	"0"	"0"	"0"	"5"	"1"	"401"	"0"	"401"	"0"
"8"	"6"	"6"	"3"	"3"	"49"	"33"	"3"	"2"	"2"	"2"	"2"	"228"	"0"	"6"	"0"	"2"	"3"	"1"	"32"	"4"	"0"	"1"	"4"	"380"	"0"	"380"	"0"
"9"	"7"	"7"	"5"	"74"	"43"	"154"	"16"	"0"	"2"	"2"	"2"	"26"	"2"	"3"	"12"	"4"	"4"	"14"	"3"	"1"	"0"	"2"	"4"	"373"	"0"	"373"	"0"
"10"	"8"	"8"	"1"	"50"	"4"	"220"	"7"	"1"	"6"	"1"	"0"	"23"	"1"	"2"	"4"	"0"	"0"	"2"	"4"	"2"	"0"	"0"	"3"	"331"	"0"	"331"	"0"
"11"	"9"	"9"	"3"	"69"	"18"	"151"	"6"	"0"	"2"	"0"	"1"	"46"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"309"	"0"	"309"	"0"
"12"	"10"	"10"	"18"	"147"	"18"	"96"	"8"	"0"	"7"	"0"	"1"	"42"	"4"	"2"	"4"	"4"	"4"	"4"	"0"	"4"	"3"	"6"	"5"	"377"	"0"	"377"	"0"
"13"	"11"	"11"	"8"	"58"	"89"	"54"	"4"	"0"	"2"	"2"	"0"	"65"	"3"	"3"	"6"	"5"	"3"	"8"	"2"	"1"	"1"	"1"	"2"	"317"	"0"	"317"	"0"
"14"	"12"	"12"	"15"	"103"	"49"	"11"	"9"	"9"	"5"	"8"	"10"	"81"	"63"	"9"	"5"	"4"	"18"	"19"	"106"	"13"	"9"	"4"	"15"	"565"	"0"	"565"	"0"
"15"	"13"	"13"	"3"	"136"	"3"	"123"	"41"	"0"	"5"	"2"	"1"	"62"	"0"	"2"	"5"	"2"	"6"	"8"	"2"	"1"	"1"	"3"	"2"	"408"	"0"	"408"	"0"
"16"	"14"	"14"	"61"	"106"	"8"	"55"	"11"	"0"	"0"	"1"	"0"	"18"	"0"	"2"	"3"	"2"	"5"	"8"	"2"	"2"	"0"	"0"	"2"	"286"	"0"	"286"	"0"
"17"	"Total Votes Polled"	""	"130"	"1319"	"311"	"1184"	"125"	"17"	"48"	"27"	"25"	"992"	"122"	"73"	"51"	"50"	"63"	"85"	"194"	"45"	"18"	"27"	"55"	"4961"	"0"	"4961"	"0"
"18"	"Place - Nawada
Date -             25/05/2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	" Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"22"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"23"	"1"	"15"	"7"	"59"	"2"	"31"	"9"	"0"	"1"	"1"	"1"	"107"	"0"	"5"	"0"	"0"	"1"	"0"	"12"	"0"	"1"	"1"	"2"	"240"	"0"	"240"	"0"
"24"	"2"	"16"	"6"	"69"	"174"	"105"	"5"	"1"	"13"	"3"	"1"	"15"	"10"	"36"	"4"	"1"	"3"	"8"	"4"	"3"	"3"	"3"	"5"	"472"	"0"	"472"	"0"
"25"	"3"	"17"	"6"	"55"	"120"	"28"	"0"	"0"	"0"	"4"	"0"	"11"	"0"	"5"	"2"	"5"	"1"	"2"	"6"	"1"	"1"	"4"	"3"	"254"	"0"	"254"	"0"
"26"	"4"	"18"	"5"	"9"	"1"	"36"	"1"	"2"	"9"	"5"	"4"	"116"	"2"	"8"	"5"	"0"	"3"	"14"	"5"	"2"	"0"	"4"	"14"	"245"	"0"	"245"	"0"
"27"	"5"	"19"	"1"	"181"	"1"	"41"	"37"	"2"	"13"	"1"	"0"	"46"	"3"	"8"	"1"	"2"	"2"	"2"	"1"	"5"	"0"	"4"	"4"	"355"	"0"	"355"	"0"
"28"	"6"	"20"	"11"	"203"	"3"	"82"	"6"	"1"	"2"	"2"	"0"	"46"	"3"	"0"	"0"	"2"	"5"	"9"	"3"	"2"	"0"	"1"	"5"	"386"	"0"	"386"	"0"
"29"	"7"	"21"	"4"	"131"	"12"	"17"	"5"	"4"	"6"	"2"	"1"	"4"	"1"	"6"	"10"	"7"	"40"	"19"	"35"	"5"	"2"	"2"	"3"	"316"	"0"	"316"	"0"
"30"	"8"	"22"	"3"	"183"	"5"	"7"	"0"	"1"	"59"	"5"	"0"	"13"	"15"	"2"	"3"	"6"	"10"	"6"	"3"	"3"	"0"	"0"	"0"	"324"	"0"	"324"	"0"
"31"	"9"	"23"	"3"	"116"	"6"	"270"	"12"	"3"	"9"	"2"	"3"	"7"	"121"	"8"	"13"	"1"	"2"	"0"	"1"	"1"	"0"	"3"	"5"	"586"	"0"	"586"	"0"
"32"	"10"	"24"	"6"	"37"	"11"	"19"	"21"	"5"	"17"	"4"	"5"	"143"	"20"	"47"	"4"	"5"	"7"	"16"	"24"	"6"	"5"	"3"	"16"	"421"	"0"	"421"	"0"
"33"	"11"	"25"	"1"	"40"	"17"	"42"	"7"	"4"	"5"	"6"	"0"	"25"	"100"	"6"	"11"	"7"	"7"	"7"	"8"	"6"	"3"	"1"	"5"	"308"	"0"	"308"	"0"
"34"	"12"	"26"	"2"	"20"	"1"	"11"	"34"	"0"	"1"	"3"	"4"	"438"	"3"	"3"	"1"	"2"	"0"	"1"	"2"	"0"	"0"	"2"	"3"	"531"	"0"	"531"	"0"
"35"	"13"	"27"	"15"	"24"	"2"	"36"	"9"	"2"	"29"	"2"	"1"	"66"	"3"	"0"	"3"	"0"	"3"	"2"	"3"	"0"	"0"	"1"	"1"	"202"	"0"	"202"	"0"
"36"	"14"	"28"	"5"	"5"	"0"	"13"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"10"	"2"	"1"	"2"	"4"	"127"	"0"	"1"	"1"	"2"	"180"	"0"	"180"	"0"
