"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-Arrah"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"PC No."	"AC No."	"BOOTH No."	"Meena Singh"	"Rama Kishore Singh"	""	"Reeta Singh"	"Haridwar Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadhar Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddin Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnath Singh"	"TOTAL"
"9"	"32"	"194"	"1"	"151"	"70"	""	"2"	"30"	"2"	"16"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"2"	"279"
"10"	"32"	"194"	"2"	"117"	"25"	""	"11"	"5"	"0"	"100"	"7"	"0"	"1"	"2"	"3"	"0"	"0"	"0"	"5"	"4"	"280"
"11"	"32"	"194"	"3"	"95"	"9"	""	"2"	"19"	"0"	"54"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"184"
"12"	"32"	"194"	"4"	"47"	"66"	""	"2"	"99"	"4"	"104"	"4"	"4"	"1"	"0"	"3"	"0"	"5"	"0"	"3"	"2"	"344"
"13"	"32"	"194"	"5"	"64"	"151"	""	"6"	"26"	"7"	"137"	"6"	"1"	"1"	"3"	"6"	"3"	"1"	"2"	"10"	"2"	"426"
"14"	"32"	"194"	"6"	"68"	"17"	""	"4"	"177"	"5"	"34"	"1"	"1"	"0"	"3"	"1"	"1"	"3"	"1"	"2"	"2"	"320"
"15"	"32"	"194"	"7"	"165"	"24"	""	"5"	"15"	"5"	"122"	"5"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"3"	"354"
"16"	"32"	"194"	"8"	"111"	"32"	""	"2"	"12"	"1"	"10"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"2"	"3"	"3"	"182"
"17"	"32"	"194"	"9"	"140"	"41"	""	"7"	"3"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"1"	"205"
"18"	"32"	"194"	"10"	"160"	"58"	""	"1"	"6"	"1"	"61"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"293"
"19"	"32"	"194"	"11"	"155"	"56"	""	"12"	"19"	"0"	"43"	"4"	"3"	"0"	"1"	"3"	"0"	"0"	"2"	"7"	"4"	"309"
"20"	"32"	"194"	"12"	"208"	"84"	""	"15"	"25"	"3"	"111"	"6"	"4"	"1"	"1"	"5"	"3"	"0"	"0"	"9"	"9"	"484"
"21"	"32"	"194"	"13"	"118"	"39"	""	"5"	"71"	"1"	"48"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"290"
"22"	"32"	"194"	"14"	"114"	"47"	""	"2"	"3"	"6"	"66"	"2"	"5"	"0"	"3"	"5"	"1"	"4"	"2"	"5"	"2"	"267"
"23"	"32"	"194"	"15"	"67"	"52"	""	"17"	"4"	"0"	"11"	"1"	"1"	"0"	"1"	"2"	"0"	"1"	"4"	"3"	"3"	"167"
"24"	"32"	"194"	"16"	"81"	"111"	""	"11"	"21"	"2"	"37"	"1"	"0"	"0"	"3"	"2"	"0"	"2"	"1"	"17"	"15"	"304"
"25"	"32"	"194"	"17"	"118"	"38"	""	"43"	"6"	"2"	"61"	"1"	"4"	"1"	"1"	"2"	"0"	"0"	"14"	"1"	"2"	"294"
"26"	"32"	"194"	"18"	"337"	"6"	""	"0"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"353"
"27"	"32"	"194"	"19"	"56"	"14"	""	"0"	"3"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"82"
"28"	"32"	"194"	"20"	"189"	"0"	""	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"
"29"	"32"	"194"	"21"	"131"	"37"	""	"0"	"3"	"0"	"11"	"0"	"2"	"0"	"4"	"1"	"0"	"1"	"5"	"6"	"15"	"216"
"30"	"32"	"194"	"22"	"139"	"21"	""	"0"	"2"	"1"	"36"	"0"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"205"
"31"	"32"	"194"	"23"	"113"	"88"	""	"16"	"4"	"1"	"158"	"6"	"12"	"4"	"2"	"1"	"0"	"1"	"2"	"1"	"1"	"410"
"32"	"[FORM 20]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32- Arrah  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"(To be used both for Parliamentary and Assembly election) Total No. of electors in Assembly Constituency/Segment:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-Arrah"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
