"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X238514.38.Jhanjharpur"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"4"	"Round No.1"	"1"	"125"	"3"	"192"	"59"	"4"	"3"	"5"	"3"	"6"	"4"	"12"	"416"	""	"416"	""
"5"	""	"2"	"114"	"10"	"27"	"133"	"4"	"4"	"4"	"3"	"1"	"6"	"21"	"327"	""	"327"	""
"6"	""	"3"	"77"	"11"	"187"	"172"	"16"	"14"	"4"	"8"	"4"	"8"	"7"	"508"	""	"508"	""
"7"	""	"4"	"48"	"5"	"120"	"322"	"2"	"3"	"2"	"1"	"1"	"2"	"5"	"511"	""	"511"	""
"8"	""	"5"	"39"	"6"	"226"	"116"	"2"	"7"	"2"	"4"	"6"	"6"	"10"	"424"	""	"424"	""
"9"	""	"6"	"84"	"5"	"64"	"105"	"1"	"6"	"0"	"0"	"1"	"3"	"16"	"285"	""	"285"	""
"10"	""	"7"	"19"	"9"	"200"	"172"	"10"	"10"	"5"	"2"	"3"	"4"	"6"	"440"	""	"440"	""
"11"	""	"8"	"26"	"1"	"57"	"244"	"5"	"3"	"4"	"0"	"3"	"6"	"7"	"356"	""	"356"	""
"12"	""	"9"	"56"	"10"	"258"	"28"	"3"	"0"	"0"	"1"	"3"	"6"	"11"	"376"	""	"376"	""
"13"	""	"10"	"36"	"8"	"157"	"160"	"2"	"3"	"0"	"2"	"4"	"4"	"212"	"588"	""	"588"	""
"14"	""	"11"	"3"	"3"	"70"	"96"	"5"	"2"	"0"	"3"	"3"	"0"	"7"	"192"	""	"192"	""
"15"	""	"12"	"11"	"4"	"121"	"65"	"4"	"2"	"1"	"6"	"1"	"4"	"5"	"224"	""	"224"	""
"16"	""	"13"	"62"	"10"	"130"	"56"	"1"	"2"	"0"	"2"	"2"	"4"	"6"	"275"	""	"275"	""
"17"	""	"14"	"97"	"3"	"220"	"142"	"3"	"1"	"0"	"1"	"1"	"5"	"7"	"480"	""	"480"	""
"18"	""	"Total -1"	"797"	"88"	"2029"	"1870"	"62"	"60"	"27"	"36"	"39"	"62"	"332"	"5402"	"0"	"5402"	"0"
"19"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"23"	"Round No.2"	"15"	"99"	"2"	"84"	"32"	"0"	"0"	"0"	"1"	"1"	"2"	"10"	"231"	""	"231"	""
"24"	""	"16"	"77"	"8"	"34"	"69"	"2"	"2"	"3"	"2"	"1"	"5"	"2"	"205"	""	"205"	""
"25"	""	"17"	"60"	"4"	"134"	"91"	"5"	"2"	"3"	"5"	"3"	"6"	"10"	"323"	""	"323"	""
"26"	""	"18"	"51"	"10"	"23"	"41"	"0"	"2"	"0"	"1"	"1"	"2"	"0"	"131"	""	"131"	""
"27"	""	"19"	"46"	"9"	"214"	"118"	"5"	"7"	"5"	"7"	"3"	"2"	"2"	"418"	""	"418"	""
"28"	""	"20"	"98"	"4"	"29"	"39"	"2"	"0"	"2"	"0"	"0"	"8"	"4"	"186"	""	"186"	""
"29"	""	"21"	"123"	"2"	"24"	"102"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"256"	""	"256"	""
"30"	""	"22"	"126"	"9"	"171"	"105"	"7"	"9"	"3"	"1"	"5"	"6"	"12"	"454"	""	"454"	""
"31"	""	"23"	"201"	"13"	"89"	"44"	"1"	"15"	"6"	"1"	"2"	"9"	"18"	"399"	""	"399"	""
"32"	""	"24"	"205"	"16"	"95"	"91"	"3"	"9"	"3"	"0"	"4"	"5"	"6"	"437"	""	"437"	""
"33"	""	"25"	"62"	"9"	"77"	"77"	"6"	"105"	"12"	"8"	"6"	"7"	"15"	"384"	""	"384"	""
"34"	""	"26"	"182"	"6"	"91"	"50"	"4"	"8"	"4"	"2"	"1"	"3"	"18"	"369"	""	"369"	""
"35"	""	"27"	"206"	"5"	"51"	"89"	"3"	"12"	"1"	"6"	"3"	"1"	"3"	"380"	""	"380"	""
"36"	""	"28"	"14"	"2"	"354"	"15"	"2"	"2"	"1"	"3"	"6"	"11"	"16"	"426"	""	"426"	""
"37"	""	"Total -2"	"1550"	"99"	"1470"	"963"	"41"	"173"	"44"	"38"	"36"	"67"	"118"	"4599"	"0"	"4599"	"0"
"38"	""	""	""	""	""	""	""	"238514
38-Jhanjharpur"	""	""	""	""	""	""	""	""	""
"39"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"40"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"41"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"42"	"Round No.3"	"29"	"131"	"4"	"13"	"128"	"7"	"4"	"3"	"2"	"0"	"4"	"12"	"308"	""	"308"	""
"43"	""	"30"	"96"	"9"	"84"	"116"	"3"	"5"	"2"	"9"	"2"	"8"	"27"	"361"	""	"361"	""
"44"	""	"31"	"78"	"4"	"252"	"74"	"5"	"50"	"2"	"2"	"12"	"3"	"34"	"516"	""	"516"	""
"45"	""	"32"	"173"	"9"	"93"	"51"	"4"	"3"	"4"	"4"	"3"	"6"	"10"	"360"	""	"360"	""
"46"	""	"33"	"135"	"6"	"77"	"76"	"8"	"5"	"4"	"2"	"8"	"2"	"8"	"331"	""	"331"	""
"47"	""	"34"	"92"	"11"	"217"	"115"	"3"	"2"	"6"	"2"	"11"	"11"	"19"	"489"	""	"489"	""
"48"	""	"35"	"108"	"2"	"159"	"92"	"1"	"4"	"1"	"0"	"3"	"2"	"14"	"386"	""	"386"	""
