"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-297660"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 183-KUMHRAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"11"	"1"	"30"	"176"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"0"	"254"	"0"
"12"	"2"	"28"	"185"	"52"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"268"	"0"	"268"	"0"
"13"	"3"	"52"	"181"	"30"	"2"	"1"	"2"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"275"	"0"	"275"	"0"
"14"	"4"	"18"	"222"	"40"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"282"	"0"	"282"	"0"
"15"	"5"	"28"	"181"	"36"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"250"	"0"	"250"	"0"
"16"	"6"	"37"	"161"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"0"	"221"	"0"
"17"	"7"	"67"	"180"	"33"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"282"	"0"	"282"	"0"
"18"	"8"	"47"	"179"	"67"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"303"	"0"	"303"	"0"
"19"	"9"	"54"	"192"	"32"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"286"	"0"	"286"	"0"
"20"	"10"	"94"	"213"	"97"	"2"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"420"	"0"	"420"	"0"
"21"	"11"	"28"	"178"	"66"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"277"	"0"	"277"	"0"
"22"	"12"	"54"	"101"	"196"	"4"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"362"	"0"	"362"	"0"
"23"	"13"	"47"	"116"	"228"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"397"	"0"	"397"	"0"
