"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-233977"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 190-PALIGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"11"	"1"	"50"	"340"	"21"	"4"	"7"	"3"	"1"	"1"	"6"	"5"	"4"	"81"	"6"	"3"	"3"	"6"	"541"	"0"	"541"	"0"
"12"	"2"	"176"	"10"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"7"	"4"	"3"	"2"	"7"	"219"	"0"	"219"	"0"
"13"	"3"	"147"	"57"	"3"	"0"	"2"	"6"	"0"	"1"	"0"	"2"	"0"	"4"	"2"	"2"	"4"	"5"	"235"	"0"	"235"	"0"
"14"	"4"	"130"	"17"	"1"	"8"	"5"	"3"	"0"	"3"	"5"	"5"	"2"	"66"	"13"	"4"	"8"	"10"	"280"	"0"	"280"	"0"
"15"	"5"	"27"	"444"	"8"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"4"	"490"	"0"	"490"	"0"
"16"	"6"	"74"	"18"	"6"	"8"	"2"	"1"	"2"	"0"	"1"	"2"	"2"	"71"	"6"	"1"	"1"	"6"	"201"	"0"	"201"	"0"
"17"	"7"	"99"	"107"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"15"	"4"	"2"	"3"	"5"	"241"	"0"	"241"	"0"
"18"	"8"	"419"	"12"	"7"	"4"	"1"	"17"	"0"	"0"	"0"	"2"	"0"	"41"	"5"	"1"	"2"	"9"	"520"	"0"	"520"	"0"
"19"	"9"	"242"	"18"	"14"	"1"	"1"	"3"	"8"	"1"	"0"	"5"	"7"	"88"	"6"	"3"	"0"	"9"	"406"	"0"	"406"	"0"
