"Total.No..of.Electors.in.Assembly.Constituency.Segment..189225"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Name of the Assembly/segment- 117-MARHAURA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No-01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"183"	"172"	"31"	"3"	"1"	"3"	"7"	"7"	"3"	"5"	"7"	"14"	"436"	"0"	"436"	"0"
