"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :49---Araria                                                                                                                                                No of Voters :220620"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"
"7"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""
"8"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"
"9"	"1"	"20"	"144"	""	"4"	""	"21"	""	"2"	""	"2"	""	"15"	""	"0"	""	"0"	""	"5"	""	"13"	""	"286"	"3"	""	"515"
"10"	"2"	"44"	"194"	""	"9"	""	"17"	""	"5"	""	"3"	""	"8"	""	"2"	""	"2"	""	"2"	""	"6"	""	"161"	"2"	""	"455"
"11"	"3"	"22"	"21"	""	"0"	""	"4"	""	"0"	""	"1"	""	"3"	""	"2"	""	"2"	""	"6"	""	"11"	""	"271"	"4"	""	"347"
"12"	"4"	"32"	"91"	""	"2"	""	"40"	""	"3"	""	"1"	""	"12"	""	"4"	""	"6"	""	"0"	""	"11"	""	"266"	"2"	""	"470"
"13"	"5"	"78"	"143"	""	"3"	""	"23"	""	"4"	""	"1"	""	"7"	""	"0"	""	"1"	""	"2"	""	"13"	""	"419"	"9"	""	"703"
"14"	"6"	"19"	"120"	""	"2"	""	"16"	""	"3"	""	"3"	""	"2"	""	"2"	""	"2"	""	"3"	""	"10"	""	"314"	"0"	""	"496"
"15"	"7"	"177"	"99"	""	"1"	""	"23"	""	"3"	""	"6"	""	"10"	""	"4"	""	"6"	""	"0"	""	"5"	""	"126"	"5"	""	"465"
"16"	"8"	"124"	"59"	""	"0"	""	"41"	""	"2"	""	"0"	""	"3"	""	"2"	""	"3"	""	"0"	""	"7"	""	"209"	"12"	""	"462"
"17"	"9"	"343"	"60"	""	"3"	""	"7"	""	"4"	""	"1"	""	"3"	""	"4"	""	"4"	""	"0"	""	"0"	""	"47"	"1"	""	"477"
