"X."	"X..1"	"No..of.valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	""	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"
"2"	"1"	"2"	"3"	""	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"3"	"1"	"1"	"3"	""	"43"	"17"	"17"	"1"	"3"	"1"	"0"	"1"	"0"	"0"	"43"	"0"	"0"	"1"	"2"	"137"	"4"	"3"	"1"	"1"	"278"	"0"	"278"
"4"	"2"	"2"	"3"	""	"42"	"14"	"43"	"6"	"0"	"0"	"2"	"0"	"3"	"3"	"108"	"1"	"26"	"4"	"5"	"29"	"2"	"1"	"0"	"1"	"293"	"0"	"293"
"5"	"3"	"3"	"17"	""	"115"	"16"	"20"	"1"	"7"	"3"	"3"	"1"	"3"	"40"	"83"	"9"	"7"	"4"	"11"	"61"	"10"	"18"	"6"	"17"	"452"	"0"	"452"
"6"	"4"	"4"	"12"	""	"29"	"81"	"131"	"13"	"3"	"3"	"3"	"4"	"3"	"7"	"74"	"13"	"6"	"6"	"11"	"7"	"1"	"1"	"2"	"5"	"415"	"0"	"415"
"7"	"5"	"5"	"5"	""	"8"	"4"	"16"	"2"	"3"	"0"	"3"	"0"	"0"	"4"	"399"	"5"	"6"	"0"	"2"	"10"	"1"	"2"	"1"	"1"	"472"	"0"	"472"
"8"	"6"	"6"	"4"	""	"70"	"2"	"6"	"2"	"1"	"0"	"0"	"0"	"4"	"2"	"24"	"1"	"2"	"2"	"4"	"113"	"9"	"0"	"0"	"7"	"253"	"0"	"253"
"9"	"7"	"7"	"17"	""	"130"	"9"	"11"	"10"	"7"	"13"	"1"	"20"	"1"	"2"	"17"	"1"	"6"	"2"	"9"	"23"	"6"	"1"	"2"	"6"	"294"	"0"	"294"
"10"	"8"	"8"	"5"	""	"64"	"92"	"43"	"6"	"4"	"10"	"4"	"6"	"2"	"1"	"30"	"7"	"5"	"2"	"5"	"42"	"2"	"0"	"1"	"1"	"332"	"0"	"332"
