"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947....U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915....U.0938..U.0902...U.092F..U.093E."
"1"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""	""
"3"	""	"1"	"1"	"8"	"217"	"68"	"2"	"5"	"1"	"5"	"85"	"0"	"2"	"2"	"0"	"6"	"0"	"2"	"404"	"0"	"404"	"0"	"0"
"4"	""	"2"	"16"	"29"	"139"	"137"	"7"	"25"	"1"	"3"	"27"	"7"	"3"	"2"	"7"	"6"	"6"	"5"	"420"	"0"	"420"	"0"	"0"
"5"	""	"3"	"40"	"4"	"131"	"70"	"2"	"4"	"0"	"1"	"18"	"7"	"4"	"2"	"3"	"5"	"4"	"6"	"301"	"0"	"301"	"0"	"0"
"6"	""	"4"	"28"	"32"	"151"	"67"	"1"	"0"	"0"	"2"	"18"	"3"	"4"	"1"	"1"	"2"	"0"	"4"	"314"	"0"	"314"	"0"	"0"
"7"	""	"5"	"42"	"5"	"87"	"121"	"5"	"6"	"2"	"3"	"20"	"2"	"9"	"5"	"10"	"2"	"1"	"7"	"327"	"0"	"327"	"0"	"0"
"8"	""	"6"	"13"	"26"	"173"	"132"	"3"	"1"	"1"	"0"	"2"	"1"	"2"	"3"	"2"	"1"	"1"	"5"	"366"	"0"	"366"	"0"	"0"
"9"	""	"7"	"52"	"10"	"234"	"23"	"3"	"0"	"0"	"0"	"15"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"340"	"0"	"340"	"0"	"0"
"10"	""	"8"	"19"	"0"	"98"	"260"	"5"	"5"	"1"	"0"	"14"	"0"	"2"	"1"	"10"	"4"	"3"	"8"	"430"	"0"	"430"	"0"	"0"
