"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 10---KISHANGANJ CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :10---KISHANGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :055---Kochadhaman"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"No of Voters :170703"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Candidates  Name"	"Zubair Alam"	"Tasleem Uddin"	"Mohammad Asrarul Haque"	"Syed Mahmood Ashraf"	"Tamajul Ali"	"Mohammad Khashiur
Rahman"	"Mohammad Nissar Alam"	"Rajit Podar"	"Abdul Rajjak urf Kal"	"Abhinav Modi"	"Asgar Malik"	"Chotay Lal Mahto"	"Md.Taslimuddi n"	"Total"
"8"	"Booth No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"10"	"1"	"11"	"92"	"256"	"86"	"2"	"6"	"39"	"7"	"4"	"2"	"1"	"4"	"3"	"513"
"11"	"2"	"5"	"25"	"266"	"5"	"4"	"3"	"1"	"3"	"1"	"0"	"3"	"0"	"2"	"318"
"12"	"3"	"6"	"27"	"156"	"15"	"2"	"3"	"20"	"1"	"0"	"2"	"1"	"2"	"6"	"241"
"13"	"4"	"13"	"127"	"318"	"103"	"4"	"5"	"24"	"7"	"0"	"1"	"1"	"7"	"3"	"613"
"14"	"5"	"12"	"113"	"376"	"6"	"3"	"3"	"5"	"3"	"2"	"3"	"3"	"5"	"13"	"547"
"15"	"6"	"13"	"54"	"454"	"19"	"4"	"11"	"0"	"2"	"1"	"1"	"1"	"2"	"2"	"564"
"16"	"7"	"7"	"102"	"292"	"209"	"1"	"2"	"53"	"2"	"12"	"4"	"2"	"3"	"7"	"696"
"17"	"8"	"16"	"50"	"409"	"11"	"6"	"9"	"10"	"4"	"5"	"2"	"3"	"6"	"6"	"537"
"18"	"9"	"13"	"70"	"397"	"99"	"5"	"13"	"32"	"4"	"15"	"4"	"0"	"4"	"2"	"658"
"19"	"10"	"11"	"19"	"461"	"10"	"5"	"13"	"2"	"3"	"3"	"3"	"0"	"2"	"14"	"546"
"20"	"11"	"7"	"50"	"344"	"8"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"2"	"417"
"21"	"12"	"7"	"25"	"499"	"28"	"5"	"4"	"11"	"1"	"5"	"4"	"4"	"4"	"8"	"605"
