"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-280450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189-MASAURHI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"11"	"1"	"135"	"177"	"7"	"17"	"1"	"0"	"3"	"2"	"0"	"3"	"2"	"6"	"3"	"6"	"4"	"12"	"378"	"0"	"378"	"0"
"12"	"2"	"101"	"15"	"1"	"5"	"0"	"0"	"2"	"0"	"2"	"3"	"2"	"74"	"6"	"7"	"1"	"10"	"229"	"0"	"229"	"0"
"13"	"3"	"142"	"26"	"1"	"15"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"51"	"1"	"1"	"0"	"2"	"246"	"0"	"246"	"0"
"14"	"4"	"14"	"19"	"2"	"9"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"39"	"7"	"0"	"0"	"4"	"98"	"0"	"98"	"0"
"15"	"5"	"48"	"93"	"6"	"3"	"3"	"1"	"5"	"0"	"2"	"5"	"1"	"47"	"7"	"0"	"3"	"5"	"229"	"0"	"229"	"0"
"16"	"6"	"62"	"139"	"7"	"14"	"7"	"4"	"1"	"2"	"1"	"7"	"3"	"10"	"5"	"3"	"9"	"8"	"282"	"0"	"282"	"0"
"17"	"7"	"280"	"92"	"10"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"3"	"2"	"395"	"0"	"395"	"0"
"18"	"8"	"84"	"112"	"12"	"0"	"1"	"3"	"1"	"2"	"2"	"21"	"1"	"51"	"3"	"2"	"2"	"4"	"301"	"0"	"301"	"0"
"19"	"9"	"94"	"78"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"176"	"0"	"176"	"0"
"20"	"10"	"62"	"64"	"4"	"0"	"1"	"4"	"0"	"1"	"3"	"2"	"0"	"76"	"15"	"1"	"1"	"5"	"239"	"0"	"239"	"0"
"21"	"11"	"209"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"1"	"0"	"5"	"238"	"0"	"238"	"0"
"22"	"12"	"259"	"26"	"4"	"18"	"4"	"3"	"4"	"4"	"2"	"27"	"5"	"99"	"10"	"4"	"0"	"14"	"483"	"0"	"483"	"0"
"23"	"13"	"150"	"21"	"4"	"0"	"3"	"1"	"1"	"1"	"0"	"2"	"0"	"28"	"7"	"1"	"1"	"3"	"223"	"0"	"223"	"0"
"24"	"14"	"123"	"21"	"2"	"6"	"2"	"4"	"2"	"3"	"3"	"19"	"10"	"146"	"15"	"2"	"2"	"12"	"372"	"0"	"372"	"0"
"25"	"Total :-"	"1763"	"899"	"62"	"91"	"24"	"22"	"21"	"15"	"18"	"93"	"26"	"632"	"81"	"29"	"27"	"86"	"3889"	"0"	"3889"	"0"
"26"	"Till Last Total :-"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"Grand Total
:-"	"1763"	"899"	"62"	"91"	"24"	"22"	"21"	"15"	"18"	"93"	"26"	"632"	"81"	"29"	"27"	"86"	"3889"	"0"	"3889"	"0"
"28"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"ROUND  2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"Total No. of electors in Assembly Constituency/Segment:-280450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189-MASAURHI(SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"37"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
