"fo.kku..l.Hkk..ks...l.a....k...oa.uke..01.okYehfduxj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdks dh dqy  l a[ ; k&241591"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~n hu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k
; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"8"	"1"	"24"	"396"	"14"	"132"	"7"	"7"	"3"	"2"	"2"	"4"	"3"	"4"	"2"	"5"	"18"	"13"	"636"	""	"636"	""
"9"	"2"	"28"	"319"	"50"	"154"	"2"	"4"	"2"	"4"	"4"	"5"	"9"	"3"	"7"	"4"	"10"	"15"	"620"	""	"620"	""
"10"	"3"	"19"	"579"	"66"	"28"	"26"	"4"	"11"	"6"	"0"	"2"	"4"	"2"	"0"	"4"	"2"	"4"	"757"	""	"757"	""
"11"	"4"	"7"	"334"	"34"	"108"	"6"	"3"	"3"	"3"	"1"	"2"	"12"	"0"	"4"	"0"	"7"	"5"	"529"	""	"529"	""
"12"	"5"	"5"	"95"	"266"	"31"	"4"	"4"	"7"	"0"	"1"	"2"	"7"	"2"	"2"	"2"	"4"	"0"	"432"	""	"432"	""
"13"	"6"	"17"	"374"	"39"	"63"	"17"	"2"	"5"	"3"	"4"	"6"	"6"	"4"	"5"	"9"	"9"	"18"	"581"	""	"581"	""
"14"	"7"	"2"	"328"	"5"	"73"	"28"	"0"	"1"	"0"	"2"	"1"	"6"	"0"	"1"	"1"	"0"	"6"	"454"	""	"454"	""
"15"	"8"	"10"	"200"	"9"	"131"	"32"	"1"	"0"	"2"	"0"	"2"	"5"	"1"	"2"	"1"	"3"	"8"	"407"	""	"407"	""
"16"	"9"	"15"	"363"	"1"	"78"	"33"	"3"	"2"	"3"	"0"	"2"	"13"	"0"	"0"	"6"	"4"	"3"	"526"	""	"526"	""
"17"	"10"	"9"	"457"	"21"	"87"	"32"	"1"	"13"	"1"	"1"	"2"	"2"	"3"	"2"	"4"	"4"	"16"	"655"	""	"655"	""
"18"	"11"	"13"	"223"	"9"	"85"	"34"	"3"	"0"	"0"	"0"	"3"	"3"	"2"	"2"	"2"	"4"	"5"	"388"	""	"388"	""
"19"	"12"	"23"	"483"	"8"	"33"	"7"	"2"	"2"	"0"	"2"	"5"	"4"	"3"	"3"	"12"	"23"	"15"	"625"	""	"625"	""
"20"	"13"	"11"	"386"	"5"	"19"	"1"	"0"	"6"	"2"	"1"	"1"	"0"	"3"	"0"	"4"	"11"	"5"	"455"	""	"455"	""
"21"	"14"	"14"	"403"	"16"	"11"	"1"	"1"	"2"	"0"	"3"	"2"	"1"	"2"	"3"	"5"	"4"	"3"	"471"	""	"471"	""
"22"	"VksVy"	"197"	"4940"	"543"	"1033"	"230"	"35"	"57"	"26"	"21"	"39"	"75"	"29"	"33"	"59"	"103"	"116"	"7536"	"0"	"7536"	"0"
"23"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &01 okYehfduxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"fuokZpdks dh dqy  l a[ ; k&241591                                                                                  vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
