"Total.No..of.Electors.in.Assembly.Constituency.Segment..189073"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Name of the Assembly/segment- 120-AMNOUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No   1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"148"	"62"	"69"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"286"	"0"	"286"	"0"
"12"	"2"	"205"	"131"	"63"	"2"	"0"	"1"	"4"	"1"	"4"	"2"	"3"	"4"	"420"	"0"	"420"	"0"
"13"	"3"	"388"	"93"	"13"	"0"	"0"	"0"	"11"	"2"	"1"	"0"	"1"	"3"	"512"	"0"	"512"	"0"
"14"	"4"	"110"	"144"	"15"	"1"	"0"	"3"	"9"	"4"	"3"	"6"	"14"	"15"	"324"	"0"	"324"	"0"
"15"	"5"	"236"	"323"	"31"	"2"	"3"	"2"	"18"	"0"	"1"	"4"	"3"	"4"	"627"	"0"	"627"	"0"
"16"	"6"	"262"	"88"	"25"	"4"	"2"	"2"	"8"	"4"	"0"	"1"	"12"	"7"	"415"	"0"	"415"	"0"
"17"	"7"	"63"	"198"	"7"	"7"	"2"	"1"	"2"	"2"	"1"	"2"	"6"	"8"	"299"	"0"	"299"	"0"
"18"	"8"	"104"	"121"	"11"	"0"	"2"	"0"	"3"	"0"	"0"	"3"	"2"	"2"	"248"	"0"	"248"	"0"
"19"	"9"	"136"	"218"	"32"	"1"	"1"	"3"	"4"	"0"	"2"	"4"	"12"	"9"	"422"	"0"	"422"	"0"
"20"	"10"	"121"	"214"	"110"	"9"	"1"	"0"	"9"	"5"	"5"	"7"	"22"	"38"	"541"	"0"	"541"	"0"
"21"	"11"	"151"	"163"	"25"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"5"	"12"	"361"	"0"	"361"	"0"
"22"	"12"	"267"	"77"	"6"	"4"	"1"	"1"	"4"	"1"	"0"	"1"	"4"	"13"	"379"	"0"	"379"	"0"
"23"	"13"	"259"	"190"	"19"	"1"	"1"	"2"	"3"	"2"	"1"	"2"	"17"	"19"	"516"	"0"	"516"	"0"
"24"	"14"	"138"	"207"	"15"	"2"	"0"	"2"	"6"	"0"	"2"	"1"	"16"	"7"	"396"	"0"	"396"	"0"
"25"	"Total"	"2588"	"2229"	"441"	"34"	"15"	"18"	"82"	"22"	"20"	"36"	"120"	"141"	"5746"	"0"	"5746"	"0"
"26"	"B.F."	""	""	""	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"
"27"	"G. Total"	"2588"	"2229"	"441"	"34"	"15"	"18"	"82"	"22"	"20"	"36"	"120"	"141"	"5746"	"0"	"5746"	"0"
"28"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Total No. of Electors in Assembly Constituency/Segment- 189073"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"31"	"Name of the Assembly/segment- 120-AMNOUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"32"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"33"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"34"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"35"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"36"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Round No 2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"39"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"41"	"15"	"174"	"312"	"35"	"3"	"1"	"0"	"3"	"2"	"1"	"7"	"7"	"14"	"559"	"0"	"559"	"0"
"42"	"16"	"306"	"88"	"7"	"0"	"0"	"1"	"1"	"0"	"2"	"3"	"13"	"4"	"425"	"0"	"425"	"0"
"43"	"17"	"153"	"99"	"5"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"6"	"1"	"268"	"0"	"268"	"0"
"44"	"18"	"94"	"106"	"25"	"2"	"3"	"1"	"3"	"7"	"7"	"8"	"49"	"20"	"325"	"0"	"325"	"0"
"45"	"19"	"218"	"90"	"5"	"0"	"1"	"1"	"2"	"1"	"2"	"4"	"3"	"6"	"333"	"0"	"333"	"0"
"46"	"20"	"258"	"349"	"43"	"3"	"6"	"4"	"11"	"2"	"3"	"5"	"22"	"25"	"731"	"0"	"731"	"0"
"47"	"21"	"542"	"149"	"52"	"5"	"2"	"2"	"5"	"3"	"5"	"0"	"7"	"17"	"789"	"0"	"789"	"0"
"48"	"22"	"225"	"130"	"10"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"2"	"1"	"371"	"0"	"371"	"0"
"49"	"23"	"389"	"139"	"8"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"551"	"0"	"551"	"0"
"50"	"24"	"126"	"128"	"13"	"1"	"0"	"0"	"3"	"1"	"1"	"3"	"3"	"7"	"286"	"0"	"286"	"0"
"51"	"25"	"200"	"91"	"9"	"5"	"1"	"2"	"1"	"2"	"0"	"0"	"2"	"3"	"316"	"0"	"316"	"0"
