"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 31-PATLIPUTRA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-255794"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :-191- BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Ranjan Prasad Yadav"	"Lalu Prasad"	"Vijay Singh Yadav"	"Harendra Kumar Patel"	"Kiran Devi"	"Kundan Kumar"	"Dr.
Krishnadhar Singh"	"Pancha Devi"	"Prabhunath Yadav"	"Mohammad Aftab Alam"	"Mohammad Sadruddin"	"Rameshwar Prasad"	"Hasan Manzoor Hashmi"	"Awadesh Sharma"	"Durgesh Nandan Singh"	"Sunil Kumar Singh"	""	""	""	""
"11"	"1"	"34"	"313"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"355"	"0"	"355"	"0"
"12"	"2"	"136"	"150"	"7"	"3"	"1"	"0"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"1"	"3"	"3"	"310"	"0"	"310"	"0"
"13"	"3"	"193"	"134"	"5"	"29"	"4"	"2"	"1"	"1"	"1"	"1"	"1"	"46"	"5"	"3"	"10"	"16"	"452"	"0"	"452"	"0"
"14"	"4"	"1"	"218"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"223"	"0"	"223"	"0"
"15"	"5"	"139"	"162"	"9"	"1"	"2"	"0"	"0"	"1"	"2"	"4"	"1"	"3"	"1"	"0"	"1"	"3"	"329"	"0"	"329"	"0"
"16"	"6"	"163"	"88"	"6"	"10"	"0"	"1"	"2"	"1"	"1"	"11"	"0"	"14"	"2"	"1"	"4"	"6"	"310"	"0"	"310"	"0"
"17"	"7"	"125"	"103"	"6"	"6"	"2"	"0"	"0"	"2"	"3"	"4"	"0"	"57"	"10"	"4"	"0"	"2"	"324"	"0"	"324"	"0"
"18"	"8"	"110"	"69"	"15"	"1"	"1"	"3"	"0"	"0"	"1"	"3"	"0"	"0"	"2"	"2"	"1"	"5"	"213"	"0"	"213"	"0"
"19"	"9"	"248"	"131"	"22"	"5"	"2"	"2"	"0"	"0"	"2"	"4"	"0"	"11"	"3"	"0"	"1"	"7"	"438"	"0"	"438"	"0"
"20"	"10"	"14"	"157"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"0"	"175"	"0"
"21"	"11"	"8"	"178"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"0"	"187"	"0"
"22"	"12"	"213"	"62"	"7"	"45"	"1"	"2"	"0"	"0"	"2"	"2"	"1"	"7"	"6"	"4"	"7"	"13"	"372"	"0"	"372"	"0"
"23"	"13"	"217"	"143"	"8"	"18"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"6"	"4"	"0"	"4"	"2"	"403"	"0"	"403"	"0"
"24"	"14"	"33"	"282"	"4"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"1"	"332"	"0"	"332"	"0"
