"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"1"	""	""	"AKHILES"	"ARVIND"	"GAGAND"	"RADHA"	"RAM"	"UMESH"	"NAGENDRA"	"SURESH"	"SURESH"	"JHAGAR"	"PARASN"	"MD."	""	""	""	""
"2"	""	""	"H PRASAD"	"KUMAR GUPTA"	"EO YADAV"	"MOHAN
SINGH"	"CHANDRA
PRASAD"	"KUMAR
SINGH"	"SAHANI"	"KUMAR RAJAK"	"KUMAR RAI"	"U MAHATO"	"ATHPAN DEY"	"MURTUJ A"	""	""	""	""
"3"	""	""	"SINGH"	""	""	""	""	""	""	""	""	""	""	"ANSARI"	""	""	""	""
"4"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"5"	"1"	"1"	"127"	"123"	"9"	"81"	"12"	"8"	"19"	"2"	"0"	"0"	"6"	"9"	"396"	"0"	"396"	""
"6"	"2"	"2"	"33"	"18"	"5"	"190"	"18"	"4"	"157"	"10"	"0"	"1"	"3"	"0"	"439"	"0"	"439"	""
"7"	"3"	"3"	"22"	"3"	"4"	"319"	"22"	"10"	"19"	"0"	"3"	"2"	"0"	"0"	"404"	"0"	"404"	""
"8"	"4"	"4"	"13"	"29"	"10"	"340"	"37"	"10"	"39"	"6"	"7"	"1"	"4"	"12"	"508"	"0"	"508"	""
"9"	"5"	"5"	"190"	"93"	"4"	"101"	"48"	"6"	"2"	"4"	"9"	"0"	"7"	"16"	"480"	"0"	"480"	""
"10"	"6"	"6"	"170"	"42"	"15"	"36"	"18"	"0"	"3"	"1"	"0"	"0"	"4"	"4"	"293"	"0"	"293"	""
"11"	"7"	"7"	"55"	"40"	"28"	"120"	"35"	"3"	"1"	"0"	"1"	"2"	"7"	"10"	"302"	"0"	"302"	""
"12"	"8"	"8"	"186"	"30"	"11"	"154"	"15"	"5"	"2"	"3"	"3"	"3"	"9"	"9"	"430"	"0"	"430"	""
"13"	"9"	"9"	"123"	"76"	"11"	"361"	"26"	"10"	"3"	"5"	"5"	"2"	"7"	"18"	"647"	"0"	"647"	""
"14"	"10"	"10"	"32"	"27"	"1"	"102"	"5"	"1"	"1"	"0"	"2"	"3"	"1"	"6"	"181"	"0"	"181"	""
"15"	"11"	"11"	"3"	"20"	"9"	"411"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"452"	"0"	"452"	""
