"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…79 - GAURA BAURAM Total No. of electors in Assembly constituency / Segment    : 191746"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"6"	""	""	"Ajay Kumar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Kumari Sureshwari"	"Md.
Khursheed Alam"	"Durga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mukhiya"	"Abdur Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadur
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"8"	"1"	"1"	"11"	"281"	"63"	"3"	"3"	"2"	"2"	"1"	"2"	"0"	"0"	"3"	"8"	"2"	"381"	"-"	"381"	""
"9"	"2"	"2"	"10"	"63"	"109"	"12"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"200"	"-"	"200"	""
"10"	"3"	"3"	"18"	"58"	"219"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"-"	"303"	""
"11"	"4"	"4"	"26"	"289"	"121"	"16"	"3"	"3"	"7"	"2"	"15"	"4"	"2"	"2"	"7"	"8"	"505"	"-"	"505"	""
"12"	"5"	"5"	"29"	"227"	"49"	"12"	"3"	"0"	"2"	"2"	"4"	"0"	"2"	"9"	"18"	"33"	"390"	"-"	"390"	""
"13"	"6"	"6"	"23"	"160"	"199"	"1"	"3"	"2"	"1"	"2"	"3"	"3"	"1"	"6"	"9"	"17"	"430"	"-"	"430"	""
"14"	"7"	"7"	"12"	"162"	"175"	"32"	"3"	"6"	"4"	"10"	"3"	"5"	"6"	"7"	"14"	"13"	"452"	"-"	"452"	""
"15"	"8"	"8"	"38"	"134"	"214"	"50"	"4"	"7"	"2"	"6"	"7"	"9"	"7"	"11"	"15"	"10"	"514"	"-"	"514"	""
"16"	"9"	"9"	"20"	"568"	"73"	"2"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"0"	"2"	"673"	"-"	"673"	""
"17"	"10"	"10"	"39"	"115"	"251"	"10"	"4"	"3"	"1"	"3"	"6"	"6"	"4"	"9"	"20"	"14"	"485"	"-"	"485"	""
"18"	"11"	"11"	"16"	"120"	"108"	"7"	"2"	"1"	"5"	"3"	"1"	"2"	"1"	"0"	"9"	"1"	"276"	"-"	"276"	""
"19"	"12"	"12"	"22"	"78"	"222"	"27"	"6"	"3"	"3"	"9"	"6"	"8"	"3"	"8"	"10"	"20"	"425"	"-"	"425"	""
"20"	"13"	"13"	"11"	"53"	"167"	"4"	"1"	"1"	"4"	"1"	"3"	"1"	"2"	"2"	"1"	"4"	"255"	"-"	"255"	""
"21"	"14"	"14"	"13"	"63"	"201"	"9"	"1"	"2"	"2"	"2"	"2"	"3"	"4"	"2"	"4"	"8"	"316"	"-"	"316"	""
"22"	"15"	"15"	"11"	"86"	"423"	"7"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"535"	"-"	"535"	""
"23"	"16"	"16"	"11"	"59"	"228"	"9"	"2"	"6"	"0"	"5"	"2"	"3"	"2"	"3"	"8"	"10"	"348"	"-"	"348"	""
"24"	"17"	"17"	"23"	"184"	"153"	"7"	"3"	"5"	"4"	"3"	"4"	"11"	"5"	"7"	"16"	"8"	"433"	"-"	"433"	""
"25"	"18"	"18"	"34"	"19"	"215"	"7"	"1"	"1"	"3"	"2"	"2"	"8"	"2"	"12"	"21"	"15"	"342"	"-"	"342"	""
"26"	"19"	"19"	"23"	"58"	"374"	"10"	"4"	"4"	"8"	"6"	"6"	"5"	"3"	"3"	"6"	"10"	"520"	"-"	"520"	""
"27"	"20"	"20"	"19"	"111"	"126"	"23"	"2"	"6"	"2"	"8"	"15"	"5"	"3"	"6"	"19"	"28"	"373"	"-"	"373"	""
"28"	"21"	"21"	"24"	"140"	"252"	"15"	"9"	"3"	"7"	"9"	"11"	"9"	"6"	"7"	"20"	"48"	"560"	"-"	"560"	""
"29"	"22"	"22"	"26"	"113"	"194"	"14"	"6"	"9"	"8"	"16"	"8"	"6"	"8"	"10"	"12"	"38"	"468"	"-"	"468"	""
"30"	"23"	"23"	"11"	"401"	"68"	"4"	"0"	"2"	"1"	"3"	"1"	"3"	"0"	"2"	"4"	"1"	"501"	"-"	"501"	""
"31"	"24"	"24"	"54"	"100"	"239"	"6"	"2"	"4"	"4"	"4"	"13"	"7"	"9"	"18"	"11"	"25"	"496"	"-"	"496"	""
"32"	"25"	"25"	"22"	"54"	"248"	"7"	"3"	"6"	"0"	"5"	"13"	"3"	"2"	"3"	"5"	"1"	"372"	"-"	"372"	""
"33"	"26"	"26"	"15"	"192"	"45"	"4"	"0"	"0"	"1"	"3"	"1"	"1"	"1"	"3"	"6"	"6"	"278"	"-"	"278"	""
"34"	"27"	"27"	"9"	"454"	"10"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"477"	"-"	"477"	""
"35"	"28"	"28"	"22"	"40"	"187"	"12"	"3"	"2"	"3"	"5"	"7"	"5"	"3"	"1"	"4"	"16"	"310"	"-"	"310"	""
"36"	"29"	"29"	"17"	"52"	"152"	"5"	"3"	"4"	"0"	"2"	"2"	"1"	"5"	"4"	"2"	"8"	"257"	"-"	"257"	""
"37"	"30"	"30"	"49"	"170"	"256"	"15"	"5"	"5"	"6"	"8"	"40"	"7"	"5"	"7"	"8"	"15"	"596"	"-"	"596"	""
"38"	"31"	"31"	"19"	"173"	"181"	"6"	"3"	"4"	"7"	"2"	"3"	"2"	"0"	"2"	"0"	"3"	"405"	"-"	"405"	""
"39"	"32"	"32"	"28"	"138"	"142"	"10"	"2"	"4"	"3"	"10"	"5"	"8"	"3"	"3"	"6"	"8"	"370"	"-"	"370"	""
"40"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"41"	""	""	"Ajay Kumar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Kumari Sureshwari"	"Md.
Khursheed Alam"	"Durga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mukhiya"	"Abdur Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadur
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"42"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"43"	"33"	"33"	"53"	"229"	"24"	"6"	"0"	"3"	"1"	"4"	"0"	"6"	"7"	"5"	"12"	"17"	"367"	"-"	"367"	""
"44"	"34"	"34"	"94"	"109"	"243"	"8"	"5"	"6"	"7"	"5"	"4"	"10"	"4"	"14"	"17"	"11"	"537"	"-"	"537"	""
"45"	"35"	"35"	"69"	"5"	"285"	"5"	"0"	"1"	"1"	"1"	"0"	"5"	"1"	"5"	"6"	"16"	"400"	"-"	"400"	""
"46"	"36"	"36"	"106"	"74"	"303"	"10"	"2"	"1"	"5"	"6"	"7"	"13"	"6"	"10"	"10"	"25"	"578"	"-"	"578"	""
"47"	"37"	"37"	"27"	"195"	"128"	"3"	"0"	"3"	"3"	"2"	"9"	"9"	"8"	"4"	"16"	"15"	"422"	"-"	"422"	""
"48"	"38"	"38"	"22"	"262"	"201"	"3"	"3"	"1"	"4"	"5"	"11"	"10"	"8"	"21"	"11"	"28"	"590"	"-"	"590"	""
"49"	"39"	"39"	"18"	"124"	"212"	"13"	"3"	"2"	"2"	"7"	"10"	"10"	"5"	"24"	"9"	"41"	"480"	"-"	"480"	""
"50"	"40"	"40"	"11"	"581"	"6"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"605"	"-"	"605"	""
"51"	"41"	"41"	"29"	"267"	"33"	"8"	"4"	"4"	"11"	"8"	"22"	"3"	"2"	"2"	"14"	"20"	"427"	"-"	"427"	""
"52"	"42"	"42"	"4"	"18"	"346"	"4"	"3"	"0"	"2"	"0"	"14"	"5"	"2"	"1"	"5"	"6"	"410"	""	"410"	""
"53"	"43"	"43"	"31"	"113"	"350"	"19"	"5"	"6"	"9"	"13"	"8"	"18"	"13"	"14"	"14"	"19"	"632"	"-"	"632"	""
"54"	"44"	"44"	"15"	"269"	"19"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"1"	"1"	"0"	"310"	"-"	"310"	""
"55"	"45"	"45"	"20"	"78"	"291"	"24"	"2"	"0"	"3"	"1"	"0"	"3"	"2"	"0"	"2"	"0"	"426"	"-"	"426"	""
"56"	"46"	"46"	"48"	"256"	"184"	"10"	"9"	"8"	"9"	"5"	"4"	"4"	"4"	"13"	"5"	"6"	"565"	"-"	"565"	""
"57"	"47"	"47"	"40"	"53"	"216"	"11"	"4"	"10"	"14"	"0"	"7"	"3"	"4"	"12"	"7"	"40"	"421"	"-"	"421"	""
"58"	"48"	"48"	"17"	"24"	"532"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"574"	"-"	"574"	""
"59"	"49"	"49"	"6"	"27"	"169"	"1"	"3"	"3"	"0"	"0"	"8"	"2"	"0"	"1"	"0"	"1"	"221"	"-"	"221"	""
"60"	"50"	"50"	"48"	"25"	"263"	"2"	"2"	"0"	"3"	"1"	"0"	"1"	"0"	"2"	"2"	"2"	"351"	"-"	"351"	""
"61"	"51"	"51"	"27"	"15"	"259"	"12"	"1"	"4"	"3"	"1"	"1"	"9"	"6"	"16"	"6"	"8"	"368"	"-"	"368"	""
"62"	"52"	"52"	"61"	"41"	"255"	"18"	"8"	"5"	"5"	"4"	"17"	"6"	"2"	"2"	"2"	"7"	"433"	"-"	"433"	""
"63"	"53"	"53"	"24"	"345"	"80"	"2"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"7"	"8"	"472"	"-"	"472"	""
"64"	"54"	"54"	"13"	"346"	"25"	"2"	"0"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"4"	"4"	"401"	"-"	"401"	""
"65"	"55"	"55"	"27"	"65"	"349"	"20"	"3"	"2"	"5"	"6"	"2"	"6"	"3"	"8"	"8"	"18"	"522"	"-"	"522"	""
"66"	"56"	"56"	"40"	"163"	"237"	"6"	"4"	"1"	"6"	"7"	"5"	"10"	"7"	"8"	"26"	"14"	"534"	"-"	"534"	""
"67"	"57"	"57"	"10"	"30"	"352"	"19"	"6"	"3"	"1"	"2"	"5"	"15"	"10"	"20"	"11"	"26"	"510"	"-"	"510"	""
"68"	"58"	"58"	"92"	"182"	"78"	"5"	"2"	"1"	"0"	"2"	"1"	"3"	"0"	"2"	"22"	"34"	"424"	"-"	"424"	""
"69"	"59"	"59"	"27"	"316"	"179"	"2"	"2"	"2"	"0"	"1"	"3"	"0"	"0"	"2"	"8"	"6"	"548"	"-"	"548"	""
