"TOTAL.NO.OF.ELECTORS.IN.98.SAHEBGANJ.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	212928	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"3"	1	"162"	"226"	"2"	"6"	"6"	"2"	"0"	"2"	"5"	"7"	"8"	"20"	"446"	""	""	""
"4"	2	"129"	"200"	"4"	"2"	"6"	"1"	"2"	"5"	"3"	"12"	"20"	"44"	"428"	""	""	""
"5"	3	"374"	"174"	"7"	"3"	"4"	"2"	"5"	"0"	"1"	"7"	"20"	"12"	"609"	""	""	""
"6"	4	"215"	"86"	"7"	"2"	"3"	"1"	"1"	"2"	"0"	"3"	"4"	"9"	"333"	""	""	""
"7"	5	"48"	"138"	"2"	"3"	"1"	"1"	"1"	"1"	"0"	"2"	"4"	"9"	"210"	""	""	""
"8"	6	"43"	"122"	"5"	"2"	"3"	"1"	"4"	"7"	"4"	"2"	"3"	"9"	"205"	""	""	""
"9"	7	"218"	"178"	"0"	"4"	"4"	"1"	"1"	"1"	"2"	"3"	"8"	"5"	"425"	""	""	""
"10"	8	"142"	"262"	"6"	"4"	"2"	"1"	"0"	"1"	"1"	"2"	"6"	"6"	"433"	""	""	""
"11"	9	"156"	"362"	"5"	"10"	"1"	"1"	"3"	"4"	"1"	"3"	"4"	"10"	"560"	""	""	""
"12"	10	"147"	"348"	"7"	"3"	"7"	"0"	"2"	"0"	"1"	"2"	"10"	"12"	"539"	""	""	""
"13"	11	"393"	"404"	"15"	"4"	"2"	"1"	"1"	"0"	"2"	"3"	"3"	"12"	"840"	""	""	""
"14"	12	"118"	"119"	"4"	"3"	"6"	"1"	"0"	"0"	"0"	"3"	"2"	"9"	"265"	""	""	""
"15"	13	"514"	"106"	"11"	"12"	"6"	"0"	"2"	"0"	"4"	"3"	"5"	"20"	"683"	""	""	""
"16"	14	"265"	"292"	"60"	"6"	"3"	"4"	"4"	"4"	"5"	"7"	"9"	"17"	"676"	""	""	""
"17"	15	"252"	"157"	"5"	"9"	"10"	"2"	"1"	"5"	"0"	"7"	"7"	"22"	"477"	""	""	""
"18"	16	"290"	"167"	"10"	"6"	"4"	"3"	"1"	"3"	"3"	"9"	"4"	"9"	"509"	""	""	""
"19"	17	"202"	"186"	"5"	"4"	"0"	"1"	"1"	"0"	"1"	"12"	"6"	"13"	"431"	""	""	""
"20"	18	"374"	"163"	"14"	"13"	"1"	"4"	"3"	"1"	"3"	"4"	"1"	"7"	"588"	""	""	""
"21"	19	"346"	"73"	"6"	"9"	"3"	"2"	"1"	"0"	"1"	"2"	"1"	"9"	"453"	""	""	""
