"TOTAL.NO.OF.ELECTORS.IN.95.KANTI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	208580	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"3"	1	"80"	"202"	"4"	"3"	"4"	"1"	"3"	"1"	"5"	"5"	"11"	"22"	"341"	""	""	""
"4"	2	"159"	"274"	"5"	"8"	"7"	"3"	"4"	"1"	"2"	"2"	"1"	"10"	"476"	""	""	""
"5"	3	"210"	"184"	"5"	"8"	"7"	"4"	"0"	"2"	"1"	"7"	"7"	"14"	"449"	""	""	""
"6"	4	"45"	"190"	"6"	"2"	"5"	"2"	"1"	"1"	"0"	"0"	"2"	"3"	"257"	""	""	""
"7"	5	"294"	"139"	"4"	"0"	"7"	"3"	"1"	"0"	"5"	"1"	"3"	"17"	"474"	""	""	""
"8"	6	"252"	"142"	"4"	"22"	"8"	"4"	"3"	"3"	"3"	"6"	"8"	"24"	"479"	""	""	""
"9"	7	"189"	"291"	"2"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"493"	""	""	""
"10"	8	"89"	"34"	"0"	"7"	"3"	"0"	"2"	"0"	"1"	"2"	"0"	"10"	"148"	""	""	""
"11"	9	"76"	"78"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"157"	""	""	""
"12"	10	"135"	"393"	"9"	"3"	"3"	"1"	"1"	"3"	"3"	"8"	"10"	"10"	"579"	""	""	""
"13"	11	"215"	"197"	"27"	"4"	"4"	"1"	"4"	"1"	"2"	"6"	"8"	"16"	"485"	""	""	""
"14"	12	"77"	"118"	"5"	"7"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"216"	""	""	""
"15"	13	"338"	"58"	"6"	"9"	"0"	"2"	"2"	"1"	"3"	"11"	"5"	"20"	"455"	""	""	""
"16"	14	"17"	"222"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	""	""	""
"17"	15	"162"	"239"	"7"	"9"	"1"	"4"	"2"	"2"	"3"	"8"	"13"	"20"	"470"	""	""	""
"18"	16	"131"	"261"	"4"	"23"	"7"	"4"	"3"	"1"	"0"	"9"	"9"	"10"	"462"	""	""	""
"19"	17	"145"	"161"	"1"	"9"	"4"	"2"	"1"	"1"	"2"	"11"	"25"	"21"	"383"	""	""	""
"20"	18	"75"	"147"	"2"	"4"	"1"	"0"	"2"	"0"	"0"	"3"	"3"	"7"	"244"	""	""	""
"21"	19	"157"	"210"	"3"	"0"	"1"	"1"	"5"	"2"	"2"	"0"	"1"	"0"	"382"	""	""	""
