"Candidate.Name.Booth.No."	"No.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"3"	"1"	"49"	"107"	"201"	"28"	"3"	"1"	"10"	"4"	"4"	"3"	"7"	"5"	"5"	"16"	"11"	"18"	"472"
"4"	"2"	"75"	"74"	"170"	"44"	"3"	"4"	"9"	"15"	"1"	"1"	"2"	"2"	"3"	"2"	"7"	"5"	"417"
"5"	"3"	"23"	"52"	"64"	"3"	"3"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"153"
"6"	"4"	"118"	"40"	"177"	"64"	"6"	"2"	"6"	"3"	"1"	"1"	"4"	"6"	"1"	"4"	"3"	"4"	"440"
"7"	"5"	"133"	"17"	"284"	"39"	"8"	"10"	"15"	"11"	"7"	"2"	"14"	"7"	"8"	"26"	"12"	"14"	"607"
"8"	"6"	"49"	"50"	"236"	"14"	"3"	"4"	"13"	"12"	"4"	"18"	"19"	"10"	"8"	"17"	"14"	"26"	"497"
"9"	"7"	"173"	"69"	"168"	"36"	"6"	"2"	"8"	"2"	"0"	"3"	"4"	"4"	"3"	"0"	"2"	"11"	"491"
"10"	"8"	"96"	"52"	"189"	"19"	"3"	"2"	"8"	"1"	"1"	"0"	"6"	"0"	"0"	"2"	"2"	"4"	"385"
"11"	"9"	"47"	"41"	"69"	"3"	"0"	"1"	"7"	"5"	"0"	"3"	"11"	"4"	"6"	"14"	"8"	"26"	"245"
"12"	"10"	"180"	"16"	"255"	"50"	"6"	"4"	"10"	"11"	"5"	"4"	"9"	"6"	"1"	"6"	"4"	"4"	"571"
"13"	"11"	"72"	"46"	"124"	"11"	"3"	"3"	"7"	"1"	"1"	"2"	"5"	"3"	"0"	"4"	"2"	"9"	"293"
"14"	"12"	"80"	"28"	"88"	"4"	"3"	"2"	"8"	"1"	"3"	"3"	"6"	"4"	"1"	"6"	"5"	"9"	"251"
"15"	"13"	"211"	"50"	"313"	"25"	"7"	"13"	"19"	"7"	"5"	"5"	"8"	"2"	"0"	"6"	"2"	"5"	"678"
"16"	"14"	"135"	"71"	"293"	"19"	"9"	"6"	"10"	"14"	"1"	"1"	"12"	"2"	"4"	"9"	"13"	"6"	"605"
"17"	"15"	"149"	"54"	"164"	"17"	"6"	"4"	"9"	"18"	"1"	"1"	"5"	"4"	"4"	"5"	"8"	"27"	"476"
"18"	"16"	"160"	"66"	"214"	"10"	"6"	"7"	"11"	"13"	"3"	"2"	"12"	"6"	"0"	"11"	"7"	"7"	"535"
"19"	"17"	"82"	"69"	"200"	"15"	"4"	"6"	"5"	"1"	"2"	"1"	"5"	"0"	"4"	"4"	"1"	"2"	"401"
"20"	"18"	"145"	"14"	"173"	"29"	"4"	"3"	"6"	"1"	"0"	"1"	"4"	"1"	"1"	"1"	"2"	"8"	"393"
"21"	"19"	"68"	"120"	"226"	"26"	"4"	"5"	"6"	"3"	"4"	"6"	"13"	"7"	"4"	"20"	"5"	"26"	"543"
"22"	"20"	"191"	"21"	"221"	"17"	"7"	"3"	"9"	"8"	"2"	"2"	"11"	"6"	"5"	"8"	"4"	"7"	"522"
"23"	"21"	"77"	"25"	"229"	"5"	"2"	"3"	"9"	"20"	"4"	"1"	"5"	"7"	"1"	"7"	"9"	"5"	"409"
"24"	"22"	"64"	"105"	"177"	"3"	"2"	"3"	"6"	"3"	"1"	"2"	"8"	"8"	"2"	"13"	"9"	"12"	"418"
"25"	"23"	"109"	"37"	"166"	"6"	"1"	"1"	"20"	"16"	"2"	"3"	"8"	"3"	"1"	"2"	"2"	"9"	"386"
"26"	"24"	"43"	"8"	"113"	"8"	"5"	"2"	"6"	"4"	"3"	"1"	"2"	"3"	"0"	"5"	"1"	"1"	"205"
"27"	"Candidate Name
Booth No."	"No valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
