"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  144 Matihani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"6"	"1"	"51"	"88"	"3"	"75"	"330"	"9"	"4"	"1"	"0"	"5"	"4"	"133"	"3"	"2"	"0"	"4"	"5"	"9"	"6"	"732"	"0"	"732"	"0"
"7"	"2"	"10"	"118"	"4"	"84"	"222"	"9"	"2"	"1"	"0"	"0"	"0"	"4"	"3"	"4"	"5"	"9"	"3"	"2"	"2"	"482"	"0"	"482"	"0"
"8"	"3"	"10"	"130"	"5"	"143"	"343"	"9"	"2"	"2"	"0"	"3"	"2"	"11"	"3"	"1"	"2"	"2"	"2"	"2"	"1"	"673"	"0"	"673"	"0"
"9"	"4"	"6"	"109"	"0"	"33"	"112"	"0"	"1"	"0"	"0"	"2"	"1"	"31"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"299"	"0"	"299"	"0"
"10"	"5"	"14"	"62"	"1"	"72"	"194"	"6"	"4"	"0"	"2"	"4"	"4"	"43"	"2"	"2"	"5"	"12"	"1"	"1"	"4"	"433"	"0"	"433"	"0"
"11"	"6"	"10"	"62"	"34"	"79"	"245"	"5"	"2"	"0"	"2"	"1"	"0"	"27"	"2"	"2"	"7"	"18"	"2"	"0"	"1"	"499"	"0"	"499"	"0"
"12"	"7"	"12"	"48"	"0"	"90"	"57"	"0"	"4"	"1"	"0"	"5"	"1"	"96"	"2"	"5"	"1"	"2"	"1"	"3"	"0"	"328"	"0"	"328"	"0"
"13"	"8"	"11"	"171"	"4"	"135"	"123"	"3"	"7"	"0"	"5"	"3"	"2"	"62"	"6"	"3"	"8"	"16"	"3"	"9"	"3"	"574"	"0"	"574"	"0"
"14"	"9"	"28"	"98"	"21"	"75"	"164"	"5"	"5"	"1"	"3"	"17"	"5"	"258"	"6"	"2"	"2"	"7"	"8"	"3"	"4"	"712"	"0"	"712"	"0"
"15"	"10"	"18"	"17"	"8"	"72"	"222"	"6"	"5"	"2"	"0"	"10"	"0"	"199"	"5"	"1"	"2"	"2"	"7"	"3"	"1"	"580"	"0"	"580"	"0"
"16"	"11"	"23"	"40"	"4"	"29"	"342"	"12"	"7"	"2"	"5"	"10"	"6"	"218"	"11"	"5"	"10"	"10"	"3"	"3"	"7"	"747"	"0"	"747"	"0"
"17"	"12"	"22"	"10"	"2"	"22"	"55"	"2"	"2"	"6"	"2"	"11"	"1"	"397"	"13"	"3"	"2"	"3"	"7"	"2"	"1"	"563"	"0"	"563"	"0"
"18"	"13"	"9"	"23"	"2"	"28"	"63"	"3"	"3"	"3"	"1"	"16"	"11"	"366"	"5"	"1"	"2"	"1"	"5"	"3"	"9"	"554"	"0"	"554"	"0"
"19"	"14"	"26"	"49"	"5"	"44"	"87"	"6"	"4"	"4"	"5"	"8"	"1"	"503"	"13"	"7"	"7"	"14"	"3"	"5"	"8"	"799"	"0"	"799"	"0"
"20"	"15"	"23"	"112"	"1"	"49"	"110"	"2"	"0"	"4"	"0"	"8"	"3"	"283"	"8"	"8"	"6"	"15"	"0"	"0"	"1"	"633"	"0"	"633"	"0"
"21"	"16"	"2"	"60"	"2"	"28"	"77"	"3"	"1"	"2"	"6"	"2"	"0"	"52"	"3"	"2"	"8"	"9"	"0"	"1"	"1"	"259"	"0"	"259"	"0"
"22"	"17"	"16"	"230"	"23"	"173"	"186"	"2"	"1"	"1"	"2"	"6"	"2"	"67"	"2"	"0"	"3"	"1"	"3"	"2"	"0"	"720"	"0"	"720"	"0"
"23"	"18"	"45"	"182"	"6"	"112"	"111"	"4"	"1"	"2"	"2"	"7"	"3"	"271"	"3"	"0"	"0"	"2"	"3"	"0"	"1"	"755"	"0"	"755"	"0"
