"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"5"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"6"	"159"	"1"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"460"	"1"	"1"	"470"	"Nil"
"7"	"159"	"2"	"18"	"124"	"293"	"6"	"2"	"1"	"5"	"5"	"4"	"3"	"89"	"6"	"17"	"89"	"16"	"15"	"693"	"Nil"
"8"	"159"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"0"	"0"	"1"	"423"	"0"	"0"	"437"	"Nil"
"9"	"159"	"4"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"598"	"13"	"7"	"629"	"Nil"
"10"	"159"	"5"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"3"	"0"	"0"	"589"	"0"	"0"	"601"	"Nil"
"11"	"159"	"6"	"4"	"1"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"4"	"875"	"4"	"1"	"907"	"Nil"
"12"	"159"	"7"	"7"	"2"	"8"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"171"	"9"	"0"	"204"	"Nil"
"13"	"159"	"8"	"15"	"12"	"237"	"5"	"12"	"1"	"3"	"0"	"1"	"1"	"13"	"3"	"1"	"83"	"5"	"4"	"396"	"Nil"
"14"	"159"	"9"	"7"	"81"	"202"	"4"	"10"	"2"	"2"	"2"	"0"	"0"	"14"	"2"	"5"	"17"	"3"	"1"	"352"	"Nil"
"15"	"159"	"10"	"2"	"4"	"138"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"21"	"2"	"8"	"192"	"6"	"7"	"384"	"Nil"
