"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"3"	"1"	"85"	"163"	"12"	"4"	"64"	"2"	"3"	"36"	"5"	"2"	"0"	"2"	"2"	"6"	"0"	"10"	"9"	"3"	"3"	"3"	"1"	"3"	"418"	"0"	"418"	"0"
"4"	"2"	"29"	"115"	"2"	"1"	"31"	"1"	"1"	"11"	"0"	"1"	"2"	"1"	"0"	"1"	"7"	"5"	"2"	"5"	"0"	"1"	"3"	"1"	"220"	"0"	"220"	"0"
"5"	"3"	"45"	"209"	"5"	"5"	"13"	"1"	"1"	"14"	"0"	"4"	"0"	"2"	"1"	"4"	"1"	"6"	"5"	"7"	"0"	"0"	"0"	"1"	"324"	"0"	"324"	"0"
"6"	"4"	"76"	"164"	"4"	"2"	"16"	"0"	"4"	"31"	"5"	"2"	"2"	"1"	"1"	"5"	"25"	"28"	"4"	"2"	"0"	"2"	"0"	"1"	"375"	"0"	"375"	"0"
"7"	"5"	"147"	"112"	"8"	"2"	"103"	"3"	"2"	"59"	"3"	"1"	"6"	"2"	"1"	"5"	"28"	"22"	"1"	"0"	"0"	"0"	"1"	"0"	"506"	"0"	"506"	"0"
"8"	"6"	"115"	"223"	"9"	"1"	"83"	"1"	"1"	"21"	"3"	"3"	"2"	"2"	"4"	"4"	"29"	"18"	"10"	"6"	"3"	"2"	"0"	"7"	"547"	"0"	"547"	"0"
"9"	"7"	"25"	"171"	"3"	"2"	"157"	"4"	"4"	"5"	"0"	"1"	"0"	"1"	"1"	"3"	"12"	"4"	"0"	"1"	"0"	"4"	"1"	"0"	"399"	"0"	"399"	"0"
"10"	"8"	"29"	"110"	"3"	"0"	"83"	"3"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"19"	"1"	"5"	"2"	"0"	"1"	"7"	"3"	"272"	"0"	"272"	"0"
"11"	"9"	"57"	"304"	"24"	"23"	"48"	"2"	"1"	"24"	"2"	"3"	"2"	"5"	"1"	"1"	"12"	"21"	"6"	"3"	"0"	"0"	"2"	"4"	"545"	"0"	"545"	"0"
"12"	"10"	"53"	"130"	"5"	"15"	"103"	"4"	"5"	"28"	"4"	"4"	"4"	"2"	"5"	"3"	"11"	"26"	"5"	"1"	"3"	"2"	"8"	"3"	"424"	"0"	"424"	"0"
"13"	"11"	"98"	"171"	"11"	"4"	"181"	"6"	"4"	"28"	"1"	"3"	"4"	"7"	"2"	"6"	"21"	"15"	"5"	"1"	"0"	"1"	"3"	"6"	"578"	"0"	"578"	"0"
"14"	"12"	"35"	"273"	"18"	"5"	"91"	"10"	"3"	"8"	"3"	"0"	"3"	"0"	"2"	"3"	"7"	"10"	"0"	"0"	"1"	"2"	"1"	"6"	"481"	"0"	"481"	"0"
"15"	"13"	"83"	"173"	"7"	"2"	"68"	"5"	"0"	"3"	"0"	"1"	"2"	"6"	"2"	"2"	"8"	"18"	"6"	"1"	"0"	"0"	"0"	"1"	"388"	"0"	"388"	"0"
"16"	"14"	"144"	"184"	"1"	"2"	"65"	"2"	"0"	"5"	"1"	"1"	"1"	"1"	"0"	"2"	"5"	"8"	"3"	"3"	"0"	"0"	"0"	"0"	"428"	"0"	"428"	"0"
"17"	"l hV dk
; ksx"	"1021"	"2502"	"112"	"68"	"1106"	"44"	"29"	"277"	"27"	"26"	"29"	"32"	"22"	"46"	"185"	"192"	"61"	"35"	"10"	"18"	"27"	"36"	"5905"	"0"	"5905"	"0"
"18"	"d qy  &"	"1021"	"2502"	"112"	"68"	"1106"	"44"	"29"	"277"	"27"	"26"	"29"	"32"	"22"	"46"	"185"	"192"	"61"	"35"	"10"	"18"	"27"	"36"	"5905"	"0"	"5905"	"0"
"19"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"20"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"21"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"22"	"i woZ  dk
; ksx&"	"1021"	"2502"	"112"	"68"	"1106"	"44"	"29"	"277"	"27"	"26"	"29"	"32"	"22"	"46"	"185"	"192"	"61"	"35"	"10"	"18"	"27"	"36"	"5905"	"0"	"5905"	"0"
"23"	"15"	"77"	"286"	"6"	"0"	"16"	"0"	"1"	"13"	"0"	"0"	"0"	"1"	"1"	"1"	"12"	"3"	"1"	"4"	"1"	"1"	"0"	"1"	"425"	"0"	"425"	"0"
"24"	"16"	"180"	"242"	"16"	"2"	"11"	"0"	"2"	"23"	"8"	"1"	"1"	"2"	"0"	"4"	"6"	"3"	"11"	"4"	"2"	"5"	"1"	"6"	"530"	"0"	"530"	"0"
"25"	"17"	"48"	"163"	"6"	"2"	"16"	"3"	"1"	"4"	"0"	"5"	"2"	"0"	"1"	"5"	"8"	"23"	"4"	"7"	"1"	"1"	"2"	"0"	"302"	"0"	"302"	"0"
"26"	"18"	"47"	"219"	"13"	"11"	"206"	"8"	"4"	"13"	"2"	"7"	"3"	"1"	"0"	"2"	"12"	"7"	"6"	"5"	"2"	"1"	"4"	"0"	"573"	"0"	"573"	"0"
"27"	"19"	"9"	"244"	"1"	"3"	"97"	"2"	"1"	"7"	"1"	"2"	"1"	"0"	"1"	"1"	"14"	"10"	"1"	"0"	"1"	"1"	"2"	"3"	"402"	"0"	"402"	"0"
"28"	"20"	"20"	"234"	"2"	"3"	"86"	"3"	"1"	"4"	"1"	"2"	"0"	"0"	"1"	"0"	"16"	"2"	"1"	"1"	"0"	"2"	"0"	"4"	"383"	"0"	"383"	"0"
"29"	"21"	"27"	"142"	"4"	"5"	"179"	"1"	"0"	"6"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"5"	"2"	"4"	"3"	"1"	"387"	"0"	"387"	"0"
"30"	"22"	"24"	"71"	"6"	"0"	"110"	"6"	"0"	"11"	"1"	"3"	"4"	"2"	"2"	"4"	"87"	"7"	"0"	"1"	"0"	"1"	"0"	"3"	"343"	"0"	"343"	"0"
"31"	"23"	"31"	"25"	"8"	"101"	"275"	"3"	"1"	"10"	"1"	"2"	"3"	"3"	"0"	"0"	"17"	"0"	"11"	"3"	"5"	"6"	"2"	"9"	"516"	"0"	"516"	"0"
"32"	"24"	"15"	"61"	"5"	"4"	"216"	"4"	"2"	"9"	"4"	"7"	"0"	"4"	"2"	"4"	"92"	"17"	"2"	"3"	"1"	"2"	"4"	"3"	"461"	"0"	"461"	"0"
"33"	"25"	"16"	"33"	"4"	"3"	"299"	"2"	"0"	"4"	"0"	"2"	"0"	"1"	"0"	"2"	"8"	"2"	"10"	"0"	"1"	"5"	"4"	"0"	"396"	"0"	"396"	"0"
"34"	"26"	"40"	"38"	"4"	"0"	"138"	"1"	"0"	"5"	"0"	"0"	"1"	"1"	"0"	"0"	"23"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"256"	"0"	"256"	"0"
"35"	"27"	"55"	"315"	"20"	"22"	"43"	"2"	"3"	"16"	"3"	"2"	"1"	"1"	"3"	"3"	"3"	"11"	"1"	"3"	"0"	"2"	"1"	"10"	"520"	"0"	"520"	"0"
"36"	"28"	"23"	"145"	"51"	"4"	"10"	"0"	"1"	"15"	"3"	"0"	"2"	"1"	"1"	"4"	"2"	"3"	"1"	"2"	"1"	"4"	"2"	"3"	"278"	"0"	"278"	"0"
"37"	"l hV dk
; ksx"	"612"	"2218"	"146"	"160"	"1702"	"35"	"17"	"140"	"24"	"36"	"19"	"17"	"12"	"30"	"300"	"90"	"54"	"40"	"17"	"35"	"25"	"43"	"5772"	"0"	"5772"	"0"
"38"	"d qy  &"	"1633"	"4720"	"258"	"228"	"2808"	"79"	"46"	"417"	"51"	"62"	"48"	"49"	"34"	"76"	"485"	"282"	"115"	"75"	"27"	"53"	"52"	"79"	"11677"	"0"	"11677"	"0"
"39"	"er nku dsUnz l a[ ; k"	"mEehnokj  ds Ik{k esa Mkys x; s oS|   er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy  oS|   er i ="	"j Ì  er ksa dh l a[ ; k"	"; ksx"	"fufonÙk
er ksa dh l a[ ; k"
"40"	""	"v' oes?k nsoh"	"vkyksd  dqekj  esgr k"	"j kenso oekZ"	"fot ; oUr  dqekj  pkS/kj h"	"' khy  dqekj  j k;"	"pUnz nso j k;"	"t ;  ukj k; .k l kg"	"ft r sUnz dqekj  j k;"	"r ks\"k.k l kg"	"eks0 r kSfd j"	"el mn gl u"	"j keukFk fl ag"	"vt qZu l guh"	"i znhi  dqekj"	"czt s' k dqekj  fuj kyk"	"eal wj"	"eksgu i kWy"	"eksgEen dqj cku"	"j r u l guh"	"j ke l kxj  egr ks"	"l at ;  dqekj  >k"	"l qt hr  dqekj  Hkxr"	""	""	""	""
"41"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"42"	"i woZ  dk
; ksx&"	"1633"	"4720"	"258"	"228"	"2808"	"79"	"46"	"417"	"51"	"62"	"48"	"49"	"34"	"76"	"485"	"282"	"115"	"75"	"27"	"53"	"52"	"79"	"11677"	"0"	"11677"	"0"
"43"	"29"	"144"	"9"	"6"	"1"	"16"	"2"	"1"	"31"	"2"	"2"	"0"	"0"	"0"	"2"	"3"	"5"	"1"	"0"	"1"	"0"	"0"	"0"	"226"	"0"	"226"	"0"
"44"	"30"	"114"	"60"	"18"	"4"	"4"	"0"	"2"	"28"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"10"	"11"	"9"	"3"	"2"	"1"	"3"	"274"	"0"	"274"	"0"
"45"	"31"	"64"	"158"	"7"	"2"	"24"	"0"	"1"	"19"	"0"	"1"	"0"	"0"	"1"	"11"	"1"	"1"	"10"	"4"	"1"	"2"	"2"	"4"	"313"	"0"	"313"	"0"
"46"	"32"	"76"	"147"	"8"	"2"	"11"	"2"	"0"	"31"	"2"	"2"	"0"	"0"	"1"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"288"	"0"	"288"	"0"
"47"	"33"	"144"	"27"	"7"	"1"	"3"	"0"	"0"	"49"	"2"	"0"	"1"	"0"	"6"	"2"	"5"	"5"	"4"	"1"	"0"	"1"	"0"	"1"	"259"	"0"	"259"	"0"
"48"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"49"	"35"	"261"	"9"	"3"	"1"	"7"	"1"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"300"	"0"	"300"	"0"
"50"	"36"	"253"	"14"	"34"	"2"	"38"	"0"	"3"	"59"	"7"	"3"	"3"	"3"	"2"	"7"	"8"	"26"	"3"	"0"	"0"	"2"	"1"	"4"	"472"	"0"	"472"	"0"
"51"	"37"	"233"	"20"	"24"	"21"	"44"	"2"	"0"	"19"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"373"	"0"	"373"	"0"
"52"	"38"	"22"	"10"	"18"	"4"	"1"	"0"	"5"	"6"	"41"	"1"	"5"	"32"	"3"	"89"	"30"	"115"	"32"	"9"	"19"	"10"	"10"	"11"	"473"	"0"	"473"	"0"
"53"	"39"	"121"	"42"	"35"	"3"	"34"	"1"	"1"	"42"	"5"	"0"	"2"	"3"	"3"	"8"	"8"	"17"	"11"	"3"	"3"	"4"	"2"	"7"	"355"	"0"	"355"	"0"
"54"	"40"	"45"	"168"	"8"	"0"	"1"	"1"	"1"	"22"	"1"	"1"	"1"	"1"	"0"	"5"	"4"	"4"	"6"	"3"	"2"	"1"	"1"	"1"	"277"	"0"	"277"	"0"
"55"	"41"	"51"	"328"	"12"	"4"	"19"	"3"	"1"	"10"	"1"	"0"	"1"	"0"	"1"	"2"	"3"	"2"	"11"	"13"	"4"	"1"	"3"	"1"	"471"	"0"	"471"	"0"
"56"	"42"	"218"	"59"	"20"	"11"	"6"	"0"	"3"	"46"	"3"	"2"	"0"	"2"	"1"	"5"	"6"	"10"	"15"	"4"	"2"	"0"	"0"	"5"	"418"	"0"	"418"	"0"
