"X.v...k....XIV..i.kj.k.26.9.."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"v afr e  i fj . kke  Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[fu; e  56 C (2) nsf[ k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"34&l kl kj ke l al nh;  fuokZpu {ks= l s yksd  l Hkk ds fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Hkkx  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku l Hkk fuokZpu {ks= esa fuokZpdksa dh dqy  l a[ ; k 205843"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"fo/kku l Hkk fuokZpu {ks= dk l a[ ; k , oa uke 205&HkHkqv k  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"er nku dsUnz
l a[ ; k"	"fuEufy f[ kr  d s  Ik{k  esa  fn,  x,  fof/kekU;  er ksa  dh  l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr {ksfi r er ksa dh l a[ ; k"	"; ksx"	"fufonÙk er ksa dh l a[ ; k"
"9"	""	"xkU/kh vkt kn"	"ehj k dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[ kh j ke"	"cCcu pkS/kj h"	"cfyj ke j ke"	"Hkksy k i zl kn"	"j k/kk nsch"	"j ke uxhuk j ke"	"j ke ; knh j ke"	"i zeksn dqekj"	"Hkj r  j ke"	"eqfu; k nsch"	"j ke i zos' k j ke"	"l qj sUnz j ke"	""	""	""	""
"10"	"1"	"42"	"47"	"143"	"17"	"0"	"1"	"12"	"2"	"3"	"2"	"0"	"1"	"2"	"1"	"0"	"3"	"276"	""	"276"	""
"11"	"2"	"77"	"21"	"65"	"28"	"0"	"2"	"70"	"2"	"0"	"5"	"0"	"2"	"0"	"1"	"2"	"14"	"289"	""	"289"	""
"12"	"3"	"41"	"214"	"174"	"11"	"59"	"4"	"0"	"3"	"1"	"6"	"0"	"3"	"1"	"3"	"2"	"7"	"529"	""	"529"	""
"13"	"4"	"164"	"52"	"88"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"7"	"1"	"2"	"338"	""	"338"	""
"14"	"5"	"62"	"34"	"16"	"131"	"2"	"0"	"0"	"3"	"1"	"0"	"0"	"3"	"3"	"4"	"3"	"7"	"269"	""	"269"	""
"15"	"6"	"13"	"33"	"233"	"34"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"316"	""	"316"	""
"16"	"7"	"226"	"10"	"160"	"15"	"0"	"2"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	"0"	"421"	""	"421"	""
"17"	"8"	"20"	"100"	"56"	"5"	"2"	"3"	"153"	"3"	"2"	"2"	"0"	"2"	"1"	"1"	"1"	"1"	"352"	""	"352"	""
"18"	"9"	"21"	"105"	"119"	"76"	"8"	"7"	"238"	"16"	"8"	"42"	"12"	"6"	"7"	"8"	"7"	"30"	"710"	""	"710"	""
"19"	"10"	"99"	"323"	"13"	"4"	"49"	"7"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"499"	""	"499"	""
"20"	"11"	"9"	"233"	"50"	"10"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"5"	"316"	""	"316"	""
"21"	"12"	"173"	"89"	"115"	"25"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"1"	"4"	"0"	"0"	"2"	"413"	""	"413"	""
"22"	"13"	"151"	"197"	"35"	"62"	"1"	"12"	"3"	"1"	"6"	"1"	"2"	"0"	"4"	"4"	"0"	"2"	"481"	""	"481"	""
"23"	"14"	"109"	"162"	"154"	"29"	"6"	"12"	"5"	"1"	"1"	"3"	"0"	"2"	"2"	"3"	"2"	"9"	"500"	""	"500"	""
"24"	"TOTAL"	"1207"	"1620"	"1421"	"467"	"130"	"53"	"485"	"36"	"23"	"65"	"17"	"21"	"27"	"34"	"21"	"82"	"5709"	"0"	"5709"	"0"
