"X.....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff......................................................................................................................................................................................................"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  147 Bakhri (s.C.)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshray a Nishad"	"Sajjan Chaudhary"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"6"	"1"	"43"	"64"	"1"	"65"	"203"	"8"	"1"	"0"	"1"	"7"	"5"	"50"	"4"	"4"	"6"	"22"	"4"	"6"	"7"	"501"	"0"	"501"	"0"
"7"	"2"	"18"	"8"	"0"	"98"	"146"	"6"	"2"	"0"	"1"	"0"	"2"	"14"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"297"	"0"	"297"	"0"
"8"	"3"	"65"	"23"	"4"	"157"	"167"	"9"	"0"	"1"	"2"	"4"	"3"	"76"	"7"	"6"	"10"	"23"	"5"	"4"	"5"	"571"	"0"	"571"	"0"
"9"	"4"	"47"	"23"	"3"	"136"	"212"	"6"	"1"	"7"	"6"	"5"	"4"	"52"	"2"	"1"	"1"	"7"	"4"	"1"	"5"	"523"	"0"	"523"	"0"
"10"	"5"	"80"	"13"	"0"	"53"	"133"	"9"	"4"	"2"	"2"	"3"	"5"	"43"	"3"	"0"	"0"	"3"	"9"	"0"	"2"	"364"	"0"	"364"	"0"
"11"	"6"	"105"	"21"	"4"	"216"	"99"	"7"	"1"	"6"	"4"	"9"	"17"	"35"	"11"	"8"	"18"	"38"	"6"	"3"	"6"	"614"	"0"	"614"	"0"
"12"	"7"	"160"	"32"	"5"	"105"	"122"	"9"	"1"	"4"	"4"	"5"	"10"	"81"	"8"	"7"	"7"	"45"	"14"	"1"	"18"	"638"	"0"	"638"	"0"
"13"	"8"	"83"	"21"	"6"	"132"	"124"	"7"	"5"	"8"	"3"	"4"	"17"	"48"	"7"	"6"	"10"	"33"	"10"	"4"	"12"	"540"	"0"	"540"	"0"
"14"	"9"	"105"	"9"	"7"	"30"	"367"	"18"	"7"	"5"	"1"	"4"	"6"	"185"	"13"	"6"	"5"	"14"	"40"	"18"	"31"	"871"	"0"	"871"	"0"
"15"	"10"	"13"	"27"	"2"	"87"	"125"	"3"	"3"	"3"	"5"	"7"	"10"	"137"	"14"	"6"	"6"	"23"	"5"	"2"	"23"	"501"	"0"	"501"	"0"
"16"	"11"	"68"	"24"	"14"	"126"	"193"	"17"	"4"	"5"	"8"	"14"	"23"	"84"	"13"	"13"	"11"	"39"	"15"	"5"	"93"	"769"	"0"	"769"	"0"
"17"	"12"	"64"	"27"	"12"	"36"	"128"	"13"	"3"	"0"	"7"	"8"	"35"	"10"	"6"	"4"	"4"	"10"	"60"	"7"	"225"	"659"	"0"	"659"	"0"
"18"	"13"	"68"	"11"	"13"	"11"	"27"	"8"	"3"	"3"	"1"	"2"	"24"	"11"	"4"	"17"	"6"	"32"	"52"	"8"	"242"	"543"	"0"	"543"	"0"
"19"	"14"	"106"	"25"	"4"	"174"	"75"	"24"	"3"	"5"	"12"	"14"	"12"	"76"	"7"	"6"	"14"	"35"	"7"	"3"	"16"	"618"	"0"	"618"	"0"
"20"	"15"	"80"	"9"	"0"	"135"	"66"	"11"	"1"	"3"	"4"	"5"	"15"	"15"	"6"	"3"	"8"	"29"	"0"	"1"	"2"	"393"	"0"	"393"	"0"
"21"	"16"	"233"	"28"	"4"	"245"	"44"	"6"	"1"	"2"	"0"	"4"	"9"	"23"	"4"	"1"	"2"	"10"	"9"	"4"	"3"	"632"	"0"	"632"	"0"
"22"	"17"	"164"	"25"	"0"	"211"	"67"	"14"	"3"	"3"	"7"	"14"	"11"	"77"	"8"	"12"	"15"	"47"	"11"	"1"	"4"	"694"	"0"	"694"	"0"
"23"	"18"	"107"	"8"	"3"	"265"	"42"	"3"	"1"	"0"	"1"	"0"	"7"	"9"	"21"	"4"	"6"	"16"	"5"	"3"	"3"	"504"	"0"	"504"	"0"
