"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…82 DARBHANGA RURAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment  : 218797"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"7"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"9"	"1"	"1"	"24"	"284"	"60"	"6"	"2"	"6"	"5"	"9"	"24"	"3"	"4"	"4"	"12"	"19"	"462"	"-"	"462"	""
"10"	"2"	"2"	"9"	"47"	"147"	"0"	"3"	"4"	"3"	"1"	"14"	"2"	"3"	"3"	"3"	"6"	"245"	"-"	"245"	""
"11"	"3"	"3"	"17"	"118"	"109"	"8"	"0"	"3"	"3"	"8"	"3"	"4"	"10"	"18"	"17"	"25"	"343"	"-"	"343"	""
"12"	"4"	"4"	"15"	"8"	"173"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"199"	"-"	"199"	""
"13"	"5"	"5"	"9"	"255"	"74"	"0"	"1"	"3"	"2"	"3"	"5"	"3"	"5"	"1"	"9"	"19"	"389"	"-"	"389"	""
"14"	"6"	"5A"	"11"	"264"	"50"	"2"	"0"	"4"	"1"	"4"	"4"	"3"	"0"	"2"	"9"	"5"	"359"	"-"	"359"	""
"15"	"7"	"6"	"9"	"120"	"17"	"2"	"0"	"0"	"2"	"3"	"13"	"5"	"1"	"4"	"6"	"20"	"202"	"-"	"202"	""
"16"	"8"	"7"	"7"	"51"	"48"	"4"	"1"	"3"	"1"	"2"	"11"	"1"	"0"	"2"	"4"	"5"	"140"	"-"	"140"	""
"17"	"9"	"8"	"51"	"97"	"29"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	"3"	"8"	"197"	"-"	"197"	""
"18"	"10"	"9"	"48"	"306"	"64"	"2"	"0"	"2"	"0"	"0"	"1"	"4"	"0"	"2"	"1"	"6"	"436"	"-"	"436"	""
"19"	"11"	"10"	"15"	"148"	"71"	"1"	"0"	"1"	"2"	"0"	"3"	"1"	"0"	"0"	"4"	"5"	"251"	"-"	"251"	""
"20"	"12"	"11"	"8"	"68"	"70"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"4"	"1"	"158"	"-"	"158"	""
"21"	"13"	"12"	"15"	"197"	"97"	"6"	"4"	"4"	"1"	"4"	"3"	"0"	"3"	"2"	"6"	"11"	"353"	"-"	"353"	""
"22"	"14"	"13"	"38"	"241"	"302"	"7"	"2"	"5"	"6"	"5"	"54"	"3"	"12"	"18"	"18"	"24"	"735"	"-"	"735"	""
"23"	"15"	"14"	"29"	"320"	"58"	"4"	"0"	"3"	"4"	"2"	"15"	"1"	"1"	"8"	"17"	"43"	"505"	"-"	"505"	""
"24"	"16"	"15"	"27"	"229"	"99"	"9"	"0"	"2"	"2"	"2"	"3"	"1"	"2"	"0"	"7"	"10"	"393"	"-"	"393"	""
"25"	"17"	"16"	"9"	"62"	"212"	"7"	"4"	"2"	"12"	"8"	"71"	"7"	"7"	"12"	"3"	"11"	"427"	"-"	"427"	""
"26"	"18"	"17"	"20"	"26"	"226"	"7"	"3"	"2"	"4"	"3"	"46"	"5"	"5"	"11"	"7"	"29"	"394"	"-"	"394"	""
"27"	"19"	"18"	"38"	"277"	"135"	"7"	"5"	"4"	"3"	"4"	"27"	"2"	"5"	"1"	"7"	"7"	"522"	"-"	"522"	""
"28"	"20"	"19"	"49"	"160"	"93"	"4"	"1"	"4"	"1"	"0"	"0"	"3"	"0"	"3"	"2"	"0"	"320"	"-"	"320"	""
"29"	"21"	"20"	"100"	"317"	"41"	"2"	"1"	"4"	"2"	"2"	"1"	"2"	"2"	"1"	"4"	"4"	"483"	"-"	"483"	""
