"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"5"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"6"	"160"	"1"	"27"	"119"	"45"	"19"	"100"	"5"	"3"	"3"	"1"	"5"	"32"	"12"	"16"	"87"	"17"	"9"	"500"	"Nil"
"7"	"160"	"2"	"14"	"91"	"36"	"4"	"40"	"3"	"3"	"38"	"1"	"2"	"14"	"1"	"9"	"111"	"13"	"9"	"389"	"Nil"
"8"	"160"	"3"	"12"	"53"	"16"	"57"	"84"	"2"	"0"	"1"	"1"	"2"	"8"	"1"	"6"	"30"	"4"	"1"	"278"	"Nil"
"9"	"160"	"4"	"7"	"65"	"58"	"13"	"78"	"2"	"0"	"0"	"0"	"0"	"21"	"4"	"20"	"58"	"7"	"6"	"339"	"Nil"
"10"	"160"	"5"	"40"	"131"	"84"	"14"	"55"	"5"	"5"	"1"	"4"	"3"	"14"	"1"	"21"	"94"	"9"	"9"	"490"	"Nil"
"11"	"160"	"6"	"4"	"137"	"8"	"0"	"9"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"3"	"3"	"170"	"Nil"
"12"	"160"	"7"	"6"	"107"	"60"	"16"	"12"	"0"	"1"	"0"	"0"	"2"	"14"	"0"	"39"	"19"	"10"	"4"	"290"	"Nil"
"13"	"160"	"8"	"14"	"101"	"3"	"12"	"1"	"1"	"0"	"3"	"2"	"1"	"2"	"2"	"1"	"89"	"6"	"8"	"246"	"Nil"
"14"	"160"	"9"	"54"	"280"	"8"	"117"	"68"	"3"	"0"	"0"	"3"	"1"	"1"	"1"	"3"	"24"	"6"	"12"	"581"	"Nil"
"15"	"160"	"10"	"27"	"58"	"14"	"6"	"43"	"1"	"0"	"1"	"1"	"2"	"7"	"1"	"2"	"8"	"5"	"30"	"206"	"Nil"
