"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"[ SEE RULE 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"( To be used for recording the result of voting at polling station other than notitied polling stations) Election to the House of People from the 21- Hajipur (SC) PARLIAMENTARY CONSTITUENCY PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"( To be used both for parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of Assembly segment (in the case of election from a parlimentary constituency) :- 127- Rajapakar (sc) Total No. of Electors in Assembly Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"7"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"8"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"9"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendere"
"10"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"d votes"
"12"	"1"	"7"	"0"	"150"	"150"	"11"	"0"	"2"	"2"	"2"	"6"	"4"	"334"	""	""
"13"	"2"	"47"	"4"	"115"	"275"	"4"	"6"	"3"	"14"	"2"	"3"	"12"	"485"	""	""
"14"	"3"	"5"	"3"	"8"	"157"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"176"	""	""
"15"	"4"	"16"	"4"	"93"	"230"	"8"	"1"	"9"	"9"	"7"	"8"	"20"	"405"	""	""
"16"	"5"	"13"	"4"	"186"	"226"	"5"	"4"	"8"	"13"	"11"	"8"	"19"	"497"	""	""
"17"	"6"	"13"	"1"	"109"	"446"	"8"	"3"	"8"	"6"	"4"	"4"	"5"	"607"	""	""
"18"	"7"	"20"	"1"	"133"	"211"	"2"	"6"	"4"	"25"	"20"	"10"	"24"	"456"	""	""
"19"	"8"	"9"	"6"	"138"	"182"	"9"	"4"	"6"	"19"	"11"	"12"	"16"	"412"	""	""
"20"	"9"	"8"	"5"	"74"	"281"	"12"	"7"	"8"	"31"	"9"	"12"	"32"	"479"	""	""
"21"	"10"	"42"	"5"	"101"	"268"	"12"	"3"	"12"	"16"	"10"	"12"	"16"	"497"	""	""
"22"	"11"	"17"	"7"	"122"	"178"	"6"	"5"	"6"	"17"	"14"	"7"	"15"	"394"	""	""
"23"	"12"	"19"	"1"	"137"	"169"	"8"	"2"	"0"	"5"	"9"	"3"	"4"	"357"	""	""
"24"	"13"	"10"	"0"	"26"	"187"	"2"	"1"	"3"	"12"	"3"	"1"	"17"	"262"	""	""
"25"	"14"	"5"	"1"	"299"	"75"	"2"	"0"	"4"	"5"	"2"	"1"	"7"	"401"	""	""
"26"	"Total No. of Votes"	"231"	"42"	"1691"	"3035"	"89"	"42"	"74"	"175"	"104"	"87"	"192"	"5762"	""	""
