"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 9---ARARIA CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :9---ARARIA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Assembly Constituency :50---Jokihat                                                                                                                                              No of Voters :202817"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Candidates Name
----->
BOOTH NO"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes (Part I-A)"	""
"7"	""	"ZAKIR HUSSAIN KHAN"	"PRADEEP KUMAR SINGH"	""	"RAJA RAMAN BHASKAR"	""	"DR. SHAKEEL AHMAD KHAN"	""	"AYAJUDIN"	""	"KAMALI DEVI"	""	"NASIM AHMAD GHAZI"	""	"ABDUL GAFOOR"	""	"ABDUL WAHAB"	""	"OM PRAKASH"	""	"KANHAIYA KUMAR DAS"	""	"DINESH RATHOUR"	"NAND LAL PASWAN"	""	""	""
"8"	"1"	"2"	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	""	"13"	"14"	""	"15"	""
"9"	"1"	"141"	"325"	""	"6"	""	"3"	""	"2"	""	"0"	""	"1"	""	"2"	""	"2"	""	"0"	""	"0"	""	"1"	"0"	""	"483"	""
"10"	"2"	"24"	"275"	""	"2"	""	"15"	""	"3"	""	"1"	""	"7"	""	"1"	""	"2"	""	"4"	""	"10"	""	"282"	"2"	""	"628"	""
"11"	"3"	"24"	"238"	""	"8"	""	"38"	""	"3"	""	"2"	""	"9"	""	"5"	""	"4"	""	"4"	""	"17"	""	"365"	"7"	""	"724"	""
"12"	"4"	"265"	"100"	""	"11"	""	"116"	""	"6"	""	"1"	""	"3"	""	"3"	""	"6"	""	"0"	""	"3"	""	"20"	"1"	""	"535"	""
"13"	"5"	"64"	"263"	""	"10"	""	"74"	""	"3"	""	"3"	""	"1"	""	"4"	""	"3"	""	"1"	""	"4"	""	"5"	"2"	""	"437"	""
"14"	"6"	"11"	"216"	""	"4"	""	"26"	""	"1"	""	"1"	""	"2"	""	"0"	""	"3"	""	"5"	""	"1"	""	"4"	"0"	""	"274"	""
"15"	"7"	"110"	"29"	""	"9"	""	"227"	""	"6"	""	"5"	""	"1"	""	"4"	""	"1"	""	"1"	""	"4"	""	"1"	"6"	""	"404"	""
"16"	"8"	"190"	"10"	""	"4"	""	"228"	""	"1"	""	"1"	""	"2"	""	"3"	""	"6"	""	"1"	""	"1"	""	"2"	"4"	""	"453"	""
"17"	"9"	"230"	"67"	""	"5"	""	"106"	""	"6"	""	"1"	""	"2"	""	"6"	""	"4"	""	"1"	""	"2"	""	"1"	"5"	""	"436"	""
