"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment- 210416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/segment - 114-MANJHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No. 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Umashanker Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"11"	"1"	"159"	"13"	"89"	"14"	"15"	"4"	"0"	"2"	"2"	"1"	"9"	"5"	"12"	"325"	"0"	"325"	"0"
"12"	"2"	"56"	"1"	"76"	"28"	"4"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"0"	"170"	"0"	"170"	"0"
"13"	"3"	"280"	"9"	"69"	"6"	"18"	"2"	"1"	"5"	"0"	"2"	"10"	"6"	"22"	"430"	"0"	"430"	"0"
"14"	"4"	"183"	"8"	"69"	"10"	"5"	"1"	"4"	"2"	"0"	"1"	"1"	"1"	"10"	"295"	"0"	"295"	"0"
"15"	"5"	"94"	"16"	"639"	"4"	"0"	"0"	"0"	"0"	"1"	"2"	"4"	"3"	"10"	"773"	"0"	"773"	"0"
"16"	"6"	"48"	"36"	"469"	"2"	"2"	"1"	"1"	"4"	"11"	"7"	"14"	"4"	"28"	"627"	"0"	"627"	"0"
"17"	"7"	"315"	"15"	"276"	"6"	"32"	"2"	"2"	"4"	"0"	"6"	"16"	"8"	"25"	"707"	"0"	"707"	"0"
"18"	"8"	"187"	"20"	"116"	"34"	"3"	"2"	"1"	"2"	"7"	"9"	"19"	"7"	"35"	"442"	"0"	"442"	"0"
"19"	"9"	"168"	"7"	"243"	"9"	"1"	"1"	"0"	"0"	"2"	"1"	"4"	"4"	"8"	"448"	"0"	"448"	"0"
"20"	"10"	"141"	"12"	"35"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"194"	"0"	"194"	"0"
