"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19- MAHARAJGANJ PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment- 232819"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Name of the Assembly/segment - 111- GOREYAKOTHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No       1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	""	"No. of tendered Votes"	""	""	""	""	""	""	""
"9"	""	"Umashank er Singh"	"Tarkeshwar Singh"	"Prabhu Nath Singh"	"Ravindra Nath Mishra"	"Ramesh Singh Kushwaha"	""	"Satyendra Kr. Sahani"	"Gautam Prasad"	"Dhurendra Ram"	"Nayan Prasad"	"Pradeep Manjhi"	""	"Banke Bihari Singh"	"Rajesh Kumar Singh"	"Breenda Pathak"	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	"8"	"9"	"10"	"11"	""	"12"	"13"	"14"	"15"	"16"	"17"	""	"18"	""	""	""	""	""	""	""
"11"	"1"	"31"	"5"	"310"	"4"	"0"	""	"2"	"1"	"0"	"0"	"3"	""	"15"	"1"	"8"	"380"	"0"	"380"	""	"0"	""	""	""	""	""	""	""
"12"	"2"	"216"	"14"	"24"	"6"	"1"	""	"2"	"0"	"2"	"2"	"1"	""	"1"	"4"	"10"	"283"	"0"	"283"	""	"0"	""	""	""	""	""	""	""
"13"	"3"	"254"	"7"	"158"	"5"	"4"	""	"2"	"3"	"1"	"3"	"4"	""	"12"	"7"	"29"	"489"	"0"	"489"	""	"0"	""	""	""	""	""	""	""
"14"	"4"	"141"	"16"	"270"	"5"	"6"	""	"2"	"0"	"0"	"2"	"4"	""	"8"	"0"	"11"	"465"	"0"	"465"	""	"0"	""	""	""	""	""	""	""
"15"	"5"	"199"	"22"	"245"	"18"	"8"	""	"13"	"5"	"6"	"8"	"4"	""	"17"	"5"	"25"	"575"	"0"	"575"	""	"0"	""	""	""	""	""	""	""
