"Candidate.Name.Booth.No."	"No.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANK AR RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDR A KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"3"	"1"	"76"	"107"	"232"	"6"	"5"	"3"	"5"	"5"	"1"	"4"	"1"	"4"	"1"	"3"	"4"	"10"	"467"
"4"	"2"	"154"	"63"	"51"	"3"	"1"	"0"	"2"	"14"	"1"	"2"	"5"	"0"	"2"	"3"	"5"	"8"	"314"
"5"	"3"	"176"	"10"	"125"	"4"	"1"	"1"	"5"	"5"	"0"	"4"	"4"	"1"	"1"	"5"	"4"	"7"	"353"
"6"	"4"	"38"	"3"	"83"	"6"	"1"	"2"	"1"	"3"	"0"	"2"	"3"	"1"	"2"	"1"	"0"	"1"	"147"
"7"	"5"	"134"	"9"	"98"	"6"	"1"	"1"	"5"	"4"	"2"	"2"	"4"	"0"	"2"	"3"	"3"	"2"	"276"
"8"	"6"	"153"	"17"	"84"	"4"	"1"	"0"	"2"	"2"	"0"	"1"	"6"	"0"	"0"	"1"	"1"	"8"	"280"
"9"	"7"	"193"	"28"	"119"	"2"	"2"	"1"	"3"	"3"	"0"	"2"	"9"	"9"	"6"	"9"	"3"	"16"	"405"
"10"	"8"	"81"	"24"	"135"	"17"	"4"	"2"	"4"	"1"	"0"	"0"	"5"	"1"	"1"	"4"	"3"	"14"	"296"
"11"	"9"	"57"	"7"	"127"	"8"	"4"	"2"	"9"	"4"	"0"	"0"	"4"	"2"	"0"	"0"	"2"	"0"	"226"
"12"	"10"	"87"	"28"	"86"	"33"	"6"	"5"	"13"	"4"	"2"	"4"	"7"	"5"	"3"	"7"	"6"	"3"	"299"
"13"	"11"	"70"	"10"	"63"	"11"	"1"	"1"	"7"	"3"	"0"	"3"	"2"	"5"	"3"	"3"	"4"	"4"	"190"
"14"	"12"	"4"	"3"	"87"	"8"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"108"
"15"	"13"	"147"	"30"	"107"	"7"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"1"	"3"	"303"
"16"	"14"	"87"	"24"	"50"	"25"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"3"	"196"
"17"	"15"	"154"	"10"	"118"	"5"	"3"	"1"	"9"	"1"	"0"	"2"	"5"	"2"	"1"	"10"	"1"	"10"	"332"
"18"	"16"	"502"	"7"	"121"	"7"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"645"
"19"	"17"	"165"	"21"	"155"	"4"	"2"	"3"	"8"	"63"	"8"	"2"	"11"	"2"	"1"	"3"	"4"	"5"	"457"
"20"	"18"	"98"	"4"	"31"	"4"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"144"
"21"	"19"	"299"	"46"	"41"	"3"	"1"	"0"	"3"	"3"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"8"	"408"
"22"	"Candidate Name
Booth No."	"No valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANK AR RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDR A KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"24"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"25"	"20"	"92"	"1"	"58"	"5"	"1"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"165"
"26"	"21"	"174"	"7"	"41"	"0"	"1"	"0"	"4"	"0"	"1"	"1"	"2"	"3"	"2"	"2"	"2"	"9"	"249"
