"ANNEXURE...XLII..CHAPTER.XIV...PARA.25.9."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET OF ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 058-KASBA ASSEMBLY CONSTITUENCY                                             FINAL SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"XI"	"XII"	"XIII"	"XIV"	"XV"	"XVI"	"XVII"	"XVIII"	"XIX"	"XX"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"4"	""	"UDAY SINGH ALIAS PAPPU SINGH"	"NAVEEN KUMAR SINGH"	"SHANKAR JHA"	"ANIL KUMAR BHARTI"	"ASHOK KUMAR SAH"	"IRSHAD AHMAD KHAN"	"MADHAVI SARKAR"	"MD. AISUR RAHMAN"	"ABDUL SATTAR"	"ALIMUDDIN ANSARI"	"UPENDRAN ATH SAGAR"	"KAUSHALY A DEVI"	"JAGDISH PRASAD YADAV"	"JIVACHH PASWAN"	"DEEP NARAYAN SINGH"	"PROMOD NARAYAN PODDAR"	"BIJAY KUMAR SAH"	"SANTI PRIYA"	"SHEIKH AKBAR ALI"	"SUNIL KUMAR"	""	""	""
"5"	""	"BHARTI JANTA PARTY"	"BAHUJAN SAMAJ PARTY"	"LOK JAN SAKTI PARTY"	"RASHTRAVA DI JANTA PARTY"	"JHARKHAND MUKTI MORCHA"	"LOKTANTRIK SAMATA DAL"	"COMMUNIST PARTY OF INDIA (MLL)"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	"Independent"	""	""	""
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"7"	"1"	"372"	"49"	"2"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"13"	"1"	"2"	"3"	"2"	"18"	"13"	"3"	"0"	"2"	"485"	"0"	"485"
"8"	"2"	"430"	"44"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"3"	"2"	"0"	"3"	"25"	"28"	"21"	"2"	"7"	"571"	"0"	"571"
"9"	"3"	"171"	"11"	"22"	"2"	"2"	"1"	"2"	"1"	"3"	"7"	"3"	"4"	"1"	"1"	"1"	"11"	"38"	"23"	"9"	"9"	"322"	"0"	"322"
"10"	"4"	"312"	"13"	"16"	"1"	"5"	"3"	"2"	"3"	"2"	"8"	"7"	"4"	"7"	"7"	"6"	"39"	"28"	"134"	"4"	"11"	"612"	"0"	"612"
"11"	"5"	"684"	"22"	"16"	"1"	"2"	"0"	"2"	"1"	"0"	"2"	"8"	"2"	"2"	"2"	"5"	"26"	"18"	"45"	"5"	"5"	"848"	"0"	"848"
"12"	"6"	"488"	"16"	"6"	"0"	"5"	"5"	"3"	"5"	"4"	"7"	"18"	"2"	"5"	"8"	"5"	"20"	"25"	"104"	"6"	"15"	"747"	"0"	"747"
"13"	"7"	"321"	"18"	"1"	"2"	"1"	"0"	"4"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"4"	"5"	"1"	"0"	"363"	"0"	"363"
"14"	"8"	"455"	"53"	"3"	"3"	"2"	"1"	"1"	"3"	"3"	"2"	"1"	"1"	"1"	"0"	"1"	"5"	"6"	"6"	"2"	"0"	"549"	"0"	"549"
"15"	"9"	"83"	"3"	"4"	"3"	"3"	"7"	"0"	"4"	"7"	"14"	"36"	"3"	"5"	"3"	"2"	"6"	"11"	"256"	"19"	"12"	"481"	"0"	"481"
"16"	"10"	"305"	"7"	"8"	"2"	"3"	"64"	"4"	"4"	"9"	"11"	"24"	"6"	"12"	"14"	"11"	"42"	"12"	"127"	"6"	"8"	"679"	"0"	"679"
"17"	"11"	"6"	"0"	"0"	"0"	"0"	"17"	"1"	"0"	"2"	"2"	"11"	"1"	"0"	"2"	"0"	"4"	"7"	"254"	"9"	"4"	"320"	"0"	"320"
"18"	"12"	"122"	"3"	"1"	"0"	"22"	"16"	"2"	"4"	"8"	"4"	"10"	"2"	"5"	"4"	"10"	"12"	"11"	"217"	"6"	"5"	"464"	"0"	"464"
"19"	"13"	"352"	"16"	"1"	"1"	"2"	"32"	"9"	"1"	"5"	"6"	"14"	"4"	"4"	"9"	"5"	"29"	"23"	"137"	"8"	"2"	"660"	"0"	"660"
"20"	"14"	"9"	"2"	"6"	"4"	"2"	"55"	"1"	"1"	"3"	"1"	"13"	"3"	"1"	"6"	"0"	"8"	"2"	"260"	"9"	"6"	"392"	"0"	"392"
"21"	"15"	"272"	"24"	"4"	"1"	"2"	"2"	"0"	"1"	"4"	"3"	"16"	"4"	"5"	"6"	"12"	"40"	"38"	"238"	"11"	"4"	"687"	"0"	"687"
"22"	"16"	"427"	"13"	"4"	"3"	"3"	"6"	"0"	"6"	"7"	"3"	"20"	"5"	"8"	"4"	"6"	"42"	"30"	"205"	"11"	"6"	"809"	"0"	"809"
"23"	"17"	"206"	"3"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"1"	"2"	"6"	"2"	"43"	"2"	"1"	"275"	"0"	"275"
"24"	"18"	"302"	"6"	"7"	"1"	"2"	"3"	"1"	"0"	"5"	"5"	"8"	"6"	"3"	"4"	"0"	"20"	"18"	"242"	"13"	"16"	"662"	"0"	"662"
"25"	"18A"	"149"	"6"	"3"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"8"	"0"	"3"	"3"	"5"	"17"	"7"	"112"	"4"	"3"	"325"	"0"	"325"
"26"	"19"	"405"	"14"	"3"	"3"	"2"	"1"	"4"	"5"	"2"	"2"	"17"	"5"	"9"	"7"	"9"	"41"	"19"	"233"	"6"	"9"	"796"	"0"	"796"
"27"	"20"	"513"	"18"	"4"	"1"	"1"	"2"	"3"	"4"	"5"	"5"	"8"	"8"	"9"	"4"	"3"	"44"	"35"	"23"	"4"	"3"	"697"	"0"	"697"
"28"	"21"	"315"	"18"	"10"	"3"	"0"	"0"	"1"	"0"	"7"	"19"	"8"	"4"	"3"	"9"	"7"	"41"	"15"	"57"	"6"	"2"	"525"	"0"	"525"
"29"	"22"	"448"	"11"	"7"	"3"	"3"	"1"	"4"	"4"	"3"	"2"	"10"	"3"	"7"	"2"	"2"	"22"	"6"	"62"	"1"	"4"	"605"	"0"	"605"
"30"	"Polling Station No."	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"XI"	"XII"	"XIII"	"XIV"	"XV"	"XVI"	"XVII"	"XVIII"	"XIX"	"XX"	"Total Gen Votes"	"Total Postal Votes"	"Total Votes"
"31"	""	"UDAY SINGH ALIAS PAPPU SINGH"	"NAVEEN KUMAR SINGH"	"SHANKAR JHA"	"ANIL KUMAR BHARTI"	"ASHOK KUMAR SAH"	"IRSHAD AHMAD KHAN"	"MADHAVI SARKAR"	"MD. AISUR RAHMAN"	"ABDUL SATTAR"	"ALIMUDDIN ANSARI"	"UPENDRAN ATH SAGAR"	"KAUSHALY A DEVI"	"JAGDISH PRASAD YADAV"	"JIVACHH PASWAN"	"DEEP NARAYAN SINGH"	"PROMOD NARAYAN PODDAR"	"BIJAY KUMAR SAH"	"SANTI PRIYA"	"SHEIKH AKBAR ALI"	"SUNIL KUMAR"	""	""	""
