"Candidate.Name.Booth.No."	"No.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"3"	"1"	"127"	"11"	"123"	"5"	"5"	"5"	"12"	"3"	"4"	"3"	"11"	"3"	"1"	"0"	"3"	"5"	"321"
"4"	"2"	"61"	"32"	"185"	"11"	"3"	"5"	"24"	"18"	"3"	"11"	"9"	"2"	"0"	"3"	"3"	"3"	"373"
"5"	"3"	"33"	"80"	"324"	"8"	"7"	"8"	"14"	"11"	"2"	"0"	"7"	"2"	"2"	"3"	"3"	"5"	"509"
"6"	"4"	"144"	"42"	"116"	"2"	"3"	"3"	"11"	"5"	"0"	"4"	"2"	"1"	"2"	"8"	"1"	"5"	"349"
"7"	"5"	"264"	"44"	"43"	"7"	"3"	"2"	"8"	"1"	"2"	"1"	"5"	"5"	"0"	"5"	"0"	"6"	"396"
"8"	"6"	"5"	"6"	"118"	"16"	"0"	"0"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"151"
"9"	"7"	"73"	"15"	"97"	"3"	"3"	"1"	"5"	"0"	"1"	"0"	"3"	"1"	"2"	"0"	"2"	"5"	"211"
"10"	"8"	"163"	"14"	"128"	"9"	"2"	"2"	"9"	"5"	"4"	"0"	"2"	"5"	"4"	"2"	"3"	"6"	"358"
"11"	"9"	"4"	"0"	"50"	"0"	"1"	"3"	"3"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"67"
"12"	"10"	"104"	"11"	"186"	"2"	"5"	"4"	"14"	"6"	"3"	"3"	"7"	"9"	"6"	"6"	"6"	"8"	"380"
"13"	"11"	"30"	"9"	"36"	"2"	"1"	"3"	"8"	"2"	"5"	"1"	"2"	"2"	"2"	"0"	"1"	"0"	"104"
"14"	"12"	"129"	"7"	"4"	"4"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"2"	"4"	"157"
"15"	"13"	"141"	"28"	"159"	"6"	"1"	"2"	"6"	"3"	"2"	"6"	"8"	"3"	"6"	"5"	"6"	"26"	"408"
"16"	"14"	"63"	"19"	"120"	"9"	"7"	"4"	"25"	"168"	"13"	"8"	"31"	"3"	"2"	"3"	"3"	"4"	"482"
"17"	"15"	"203"	"35"	"106"	"7"	"4"	"2"	"7"	"34"	"5"	"3"	"8"	"0"	"1"	"1"	"1"	"8"	"425"
"18"	"16"	"37"	"5"	"184"	"5"	"5"	"3"	"6"	"2"	"2"	"2"	"7"	"4"	"4"	"15"	"6"	"6"	"293"
"19"	"17"	"30"	"79"	"126"	"3"	"1"	"3"	"8"	"13"	"0"	"4"	"7"	"1"	"2"	"5"	"3"	"2"	"287"
"20"	"18"	"57"	"58"	"160"	"8"	"3"	"4"	"23"	"34"	"4"	"2"	"22"	"5"	"3"	"5"	"4"	"9"	"401"
"21"	"Candidate Name
Booth No."	"No valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	""	"ANIL KUMAR"	"JANAK RAM"	"PURNMASI RAM"	"RAMAI RAM"	"MADHU BHARTI"	"RAM KUMAR MANJHI"	"RAMASHANKA R RAM"	"SATYADEO RAM"	"ASHA DEVI"	"DINANATH MANJHI"	"DHARMENDRA KUMAR HAZRA"	"BINITA BAITHA"	"RAJESH KUMAR RAM"	"RAM SURAT RAM"	"SHAMBHU DOM"	"SURENDRA PASWAN"	"Total vailid votes (Part I-A)"
"23"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"24"	"19"	"49"	"33"	"181"	"14"	"1"	"8"	"20"	"24"	"3"	"8"	"34"	"9"	"6"	"9"	"9"	"20"	"428"
"25"	"20"	"33"	"19"	"177"	"3"	"2"	"2"	"25"	"20"	"1"	"2"	"13"	"0"	"2"	"7"	"1"	"5"	"312"
"26"	"21"	"20"	"94"	"65"	"0"	"0"	"1"	"5"	"7"	"3"	"0"	"6"	"2"	"3"	"4"	"5"	"5"	"220"
