"TOTAL.NO.OF.ELECTORS.IN.92.SAKRA.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X196221"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"2"	"1"	"229"	"117"	"31"	"5"	"5"	"5"	"3"	"1"	"3"	"7"	"4"	"0"	"1"	"11"	"13"	"15"	"14"	"5"	"2"	"42"	"3"	"5"	"6"	"1"	"528"	""	""
"3"	"2"	"89"	"92"	"173"	"4"	"3"	"5"	"1"	"4"	"3"	"7"	"4"	"4"	"3"	"12"	"10"	"29"	"6"	"8"	"8"	"39"	"0"	"5"	"4"	"3"	"516"	""	""
"4"	"3"	"118"	"104"	"22"	"1"	"0"	"4"	"1"	"4"	"3"	"8"	"2"	"1"	"1"	"2"	"6"	"10"	"7"	"2"	"1"	"29"	"2"	"2"	"1"	"4"	"335"	""	""
"5"	"4"	"254"	"91"	"173"	"1"	"4"	"1"	"5"	"2"	"5"	"6"	"0"	"1"	"2"	"8"	"9"	"13"	"33"	"6"	"4"	"12"	"2"	"2"	"4"	"8"	"646"	""	""
"6"	"5"	"142"	"235"	"41"	"6"	"8"	"7"	"8"	"1"	"7"	"9"	"3"	"6"	"7"	"4"	"18"	"21"	"23"	"36"	"10"	"21"	"2"	"7"	"11"	"17"	"650"	""	""
"7"	"6"	"331"	"104"	"5"	"4"	"2"	"4"	"3"	"0"	"4"	"2"	"0"	"0"	"0"	"5"	"3"	"3"	"11"	"6"	"0"	"19"	"0"	"2"	"3"	"3"	"514"	""	""
"8"	"7"	"181"	"62"	"32"	"1"	"3"	"2"	"0"	"3"	"4"	"2"	"1"	"0"	"0"	"9"	"11"	"13"	"5"	"4"	"3"	"52"	"1"	"0"	"4"	"4"	"397"	""	""
"9"	"8"	"105"	"225"	"40"	"6"	"2"	"13"	"2"	"2"	"6"	"6"	"3"	"5"	"5"	"5"	"7"	"9"	"18"	"26"	"8"	"52"	"5"	"6"	"4"	"8"	"568"	""	""
"10"	"9"	"165"	"177"	"162"	"80"	"1"	"5"	"4"	"4"	"6"	"4"	"2"	"4"	"7"	"13"	"13"	"20"	"5"	"8"	"7"	"28"	"3"	"0"	"1"	"4"	"723"	""	""
"11"	"10"	"177"	"143"	"176"	"20"	"2"	"5"	"3"	"2"	"5"	"3"	"2"	"6"	"3"	"20"	"11"	"23"	"3"	"6"	"0"	"42"	"0"	"0"	"2"	"3"	"657"	""	""
"12"	"11"	"164"	"61"	"138"	"7"	"1"	"5"	"3"	"5"	"8"	"7"	"5"	"5"	"3"	"16"	"19"	"19"	"6"	"4"	"2"	"11"	"2"	"1"	"5"	"4"	"501"	""	""
"13"	"12"	"36"	"50"	"25"	"5"	"1"	"1"	"0"	"2"	"4"	"2"	"0"	"0"	"2"	"3"	"7"	"5"	"8"	"4"	"3"	"14"	"0"	"3"	"1"	"2"	"178"	""	""
"14"	"13"	"130"	"43"	"39"	"3"	"3"	"3"	"1"	"2"	"1"	"4"	"3"	"1"	"5"	"11"	"9"	"13"	"8"	"1"	"5"	"27"	"1"	"1"	"5"	"7"	"326"	""	""
"15"	"14"	"87"	"119"	"54"	"5"	"1"	"7"	"4"	"1"	"4"	"1"	"0"	"1"	"0"	"0"	"2"	"3"	"1"	"3"	"3"	"6"	"0"	"1"	"0"	"0"	"303"	""	""
"16"	"15"	"89"	"99"	"85"	"8"	"2"	"11"	"2"	"0"	"3"	"3"	"4"	"3"	"7"	"10"	"21"	"21"	"2"	"11"	"0"	"70"	"1"	"1"	"4"	"5"	"462"	""	""
"17"	"16"	"210"	"113"	"64"	"10"	"3"	"5"	"0"	"11"	"5"	"3"	"2"	"2"	"1"	"6"	"6"	"10"	"17"	"12"	"3"	"41"	"4"	"4"	"2"	"6"	"540"	""	""
"18"	"17"	"265"	"100"	"38"	"7"	"1"	"4"	"2"	"5"	"5"	"4"	"2"	"2"	"3"	"14"	"18"	"53"	"22"	"22"	"3"	"15"	"1"	"3"	"5"	"13"	"607"	""	""
"19"	"18"	"205"	"49"	"47"	"0"	"1"	"3"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"1"	"2"	"5"	"7"	"20"	"1"	"16"	"0"	"1"	"0"	"1"	"365"	""	""
"20"	"19"	"178"	"164"	"130"	"7"	"3"	"6"	"4"	"6"	"3"	"13"	"4"	"6"	"4"	"14"	"8"	"18"	"3"	"6"	"2"	"25"	"2"	"1"	"1"	"4"	"612"	""	""
"21"	"20"	"166"	"144"	"60"	"2"	"3"	"7"	"2"	"4"	"4"	"3"	"5"	"3"	"2"	"7"	"13"	"16"	"9"	"20"	"2"	"13"	"0"	"1"	"5"	"10"	"501"	""	""
"22"	"TOTAL NO OF ELECTORS IN 92-SAKRA ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"196221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"24"	"21"	"139"	"205"	"129"	"12"	"4"	"7"	"4"	"2"	"2"	"3"	"1"	"1"	"0"	"4"	"3"	"6"	"6"	"4"	"4"	"23"	"2"	"3"	"2"	"0"	"566"	""	""
"25"	"22"	"127"	"24"	"24"	"3"	"0"	"1"	"0"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"2"	"9"	"13"	"4"	"6"	"45"	"2"	"0"	"2"	"1"	"269"	""	""
"26"	"23"	"73"	"209"	"53"	"6"	"1"	"6"	"5"	"7"	"2"	"7"	"1"	"1"	"6"	"11"	"11"	"18"	"24"	"30"	"10"	"39"	"3"	"2"	"5"	"10"	"540"	""	""
"27"	"24"	"85"	"151"	"199"	"8"	"6"	"3"	"4"	"2"	"3"	"2"	"5"	"3"	"1"	"5"	"9"	"13"	"11"	"26"	"1"	"10"	"1"	"2"	"3"	"5"	"558"	""	""
"28"	"25"	"267"	"165"	"35"	"4"	"4"	"6"	"1"	"2"	"2"	"5"	"1"	"1"	"3"	"1"	"4"	"6"	"5"	"10"	"0"	"38"	"1"	"0"	"3"	"0"	"564"	""	""
"29"	"26"	"132"	"189"	"60"	"3"	"3"	"4"	"4"	"3"	"5"	"5"	"1"	"1"	"2"	"4"	"2"	"3"	"8"	"7"	"0"	"23"	"1"	"2"	"2"	"1"	"465"	""	""
"30"	"27"	"178"	"199"	"20"	"9"	"0"	"1"	"3"	"1"	"2"	"6"	"0"	"8"	"5"	"5"	"4"	"19"	"3"	"10"	"1"	"33"	"0"	"2"	"1"	"3"	"513"	""	""
"31"	"28"	"39"	"387"	"10"	"1"	"2"	"5"	"1"	"2"	"1"	"6"	"0"	"2"	"0"	"3"	"12"	"7"	"2"	"10"	"2"	"9"	"2"	"1"	"0"	"1"	"505"	""	""
"32"	"29"	"95"	"138"	"44"	"8"	"0"	"2"	"3"	"0"	"3"	"4"	"0"	"1"	"1"	"4"	"2"	"4"	"19"	"11"	"9"	"53"	"4"	"3"	"5"	"12"	"425"	""	""
"33"	"30"	"285"	"76"	"7"	"3"	"1"	"7"	"1"	"4"	"3"	"5"	"1"	"2"	"2"	"10"	"4"	"8"	"8"	"9"	"0"	"19"	"1"	"1"	"5"	"3"	"465"	""	""
"34"	"31"	"347"	"83"	"78"	"4"	"3"	"4"	"3"	"2"	"0"	"3"	"1"	"0"	"2"	"1"	"2"	"2"	"1"	"31"	"2"	"20"	"1"	"0"	"0"	"1"	"591"	""	""
