"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"5"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKANAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"6"	"157"	"1"	"150"	"73"	"42"	"15"	"25"	"1"	"0"	"0"	"1"	"3"	"21"	"4"	"4"	"16"	"2"	"26"	"383"	"Nil"
"7"	"157"	"2"	"18"	"156"	"205"	"3"	"4"	"1"	"0"	"0"	"0"	"3"	"38"	"3"	"7"	"17"	"7"	"5"	"467"	"Nil"
"8"	"157"	"3"	"31"	"193"	"78"	"29"	"2"	"0"	"2"	"1"	"0"	"2"	"35"	"7"	"7"	"57"	"4"	"11"	"459"	"Nil"
"9"	"157"	"4"	"26"	"290"	"150"	"10"	"20"	"3"	"1"	"2"	"2"	"1"	"40"	"2"	"7"	"113"	"19"	"10"	"696"	"Nil"
"10"	"157"	"5"	"43"	"173"	"192"	"5"	"20"	"3"	"4"	"0"	"4"	"3"	"61"	"6"	"6"	"21"	"5"	"16"	"562"	"Nil"
"11"	"157"	"6"	"14"	"159"	"70"	"4"	"4"	"1"	"1"	"4"	"1"	"1"	"40"	"2"	"1"	"37"	"8"	"1"	"348"	"Nil"
"12"	"157"	"7"	"17"	"136"	"42"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"22"	"3"	"3"	"65"	"17"	"11"	"327"	"Nil"
"13"	"157"	"8"	"15"	"434"	"30"	"4"	"5"	"0"	"2"	"0"	"0"	"3"	"9"	"1"	"1"	"15"	"8"	"5"	"532"	"Nil"
"14"	"157"	"9"	"11"	"141"	"111"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"14"	"1"	"0"	"18"	"2"	"12"	"315"	"Nil"
"15"	"157"	"10"	"8"	"249"	"101"	"3"	"2"	"1"	"2"	"3"	"2"	"1"	"16"	"2"	"4"	"17"	"6"	"2"	"419"	"Nil"
