"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X248211.40.Laukaha"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"2"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"3"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"4"	"Round No.1"	"1"	"48"	"4"	"180"	"266"	"9"	"6"	"13"	"8"	"6"	"15"	"35"	"590"	""	"590"	""
"5"	""	"2"	"32"	"5"	"96"	"218"	"5"	"6"	"9"	"5"	"2"	"10"	"26"	"414"	""	"414"	""
"6"	""	"3"	"132"	"4"	"239"	"184"	"4"	"2"	"4"	"4"	"2"	"6"	"7"	"588"	""	"588"	""
"7"	""	"4"	"222"	"27"	"190"	"137"	"9"	"4"	"7"	"3"	"3"	"9"	"11"	"622"	""	"622"	""
"8"	""	"5"	"43"	"10"	"94"	"295"	"14"	"7"	"10"	"4"	"10"	"12"	"34"	"533"	""	"533"	""
"9"	""	"6"	"151"	"4"	"147"	"175"	"11"	"3"	"2"	"2"	"0"	"3"	"5"	"503"	""	"503"	""
"10"	""	"7"	"40"	"12"	"287"	"180"	"11"	"12"	"5"	"7"	"4"	"13"	"7"	"578"	""	"578"	""
"11"	""	"8"	"3"	"2"	"133"	"169"	"15"	"2"	"6"	"5"	"2"	"4"	"8"	"349"	""	"349"	""
"12"	""	"9"	"12"	"4"	"60"	"284"	"3"	"4"	"3"	"3"	"3"	"2"	"9"	"387"	""	"387"	""
"13"	""	"10"	"23"	"5"	"117"	"327"	"15"	"6"	"13"	"7"	"3"	"7"	"12"	"535"	""	"535"	""
"14"	""	"11"	"10"	"3"	"134"	"355"	"8"	"6"	"4"	"2"	"7"	"9"	"24"	"562"	""	"562"	""
"15"	""	"12"	"24"	"4"	"209"	"181"	"6"	"10"	"1"	"5"	"1"	"3"	"17"	"461"	""	"461"	""
"16"	""	"13"	"25"	"8"	"202"	"384"	"9"	"9"	"4"	"11"	"11"	"10"	"20"	"693"	""	"693"	""
"17"	""	"14"	"33"	"4"	"241"	"148"	"3"	"5"	"1"	"0"	"3"	"8"	"18"	"464"	""	"464"	""
"18"	""	"Total -1"	"798"	"96"	"2329"	"3303"	"122"	"82"	"82"	"66"	"57"	"111"	"233"	"7279"	"0"	"7279"	"0"
"19"	""	""	""	""	""	""	""	"248211
40-Laukaha"	""	""	""	""	""	""	""	""	""
"20"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"21"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Alam, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"22"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"23"	"Round No.2"	"15"	"16"	"2"	"59"	"213"	"0"	"4"	"1"	"0"	"0"	"2"	"1"	"298"	""	"298"	""
"24"	""	"16"	"24"	"6"	"126"	"372"	"9"	"9"	"5"	"4"	"4"	"4"	"10"	"573"	""	"573"	""
"25"	""	"17"	"40"	"7"	"563"	"74"	"7"	"2"	"6"	"0"	"1"	"0"	"5"	"705"	""	"705"	""
"26"	""	"18"	"23"	"4"	"141"	"169"	"9"	"8"	"6"	"1"	"2"	"2"	"5"	"370"	""	"370"	""
"27"	""	"19"	"8"	"2"	"298"	"86"	"4"	"5"	"0"	"1"	"0"	"0"	"0"	"404"	""	"404"	""
"28"	""	"20"	"2"	"1"	"302"	"60"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"368"	""	"368"	""
"29"	""	"21"	"64"	"8"	"270"	"255"	"4"	"7"	"5"	"3"	"3"	"7"	"15"	"641"	""	"641"	""
"30"	""	"22"	"13"	"8"	"115"	"242"	"10"	"5"	"8"	"5"	"4"	"5"	"8"	"423"	""	"423"	""
"31"	""	"23"	"18"	"4"	"209"	"365"	"10"	"8"	"10"	"7"	"4"	"11"	"22"	"668"	""	"668"	""
"32"	""	"24"	"8"	"0"	"114"	"255"	"8"	"6"	"5"	"5"	"3"	"2"	"5"	"411"	""	"411"	""
"33"	""	"25"	"24"	"1"	"352"	"73"	"3"	"1"	"1"	"0"	"1"	"2"	"5"	"463"	""	"463"	""
