"er.nku.dsUnz.l.a....k"	"mEehnokj..ds.Ik.k.esa.Mkys.x..s.oS....er.ksa.dh.l.a....k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy..oS....er.i.."	"j.Ì..er.ksa.dh.l.a....k"	"X..ksx"	"fufonÙk.er.ksa.dh.l.a....k"
"1"	""	"Mk0 v' kksd  dqekj"	"egs' oj  gt kj h"	"j ke pUnz i kl oku"	"foUns' oj  j ke"	"mi sUnz i kl oku"	"t hcN i kl oku"	"j .kohj  i kl oku"	"j kt k j ke nkl"	"j s[ kk dqekj h"	"f' kopUnz i kl oku"	"l r h' k egr ks"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"35"	"261"	"39"	"7"	"1"	"8"	"9"	"4"	"5"	"4"	"7"	"380"	"0"	"380"	"0"
"4"	"2"	"15"	"123"	"68"	"3"	"1"	"98"	"4"	"5"	"3"	"5"	"15"	"340"	"0"	"340"	"0"
"5"	"3"	"35"	"317"	"46"	"2"	"14"	"18"	"8"	"4"	"5"	"2"	"2"	"453"	"0"	"453"	"0"
"6"	"4"	"37"	"101"	"217"	"9"	"35"	"38"	"6"	"10"	"24"	"17"	"20"	"514"	"0"	"514"	"0"
"7"	"5"	"170"	"343"	"97"	"9"	"3"	"6"	"17"	"3"	"14"	"14"	"29"	"705"	"0"	"705"	"0"
"8"	"6"	"21"	"217"	"44"	"1"	"4"	"7"	"6"	"5"	"8"	"2"	"3"	"318"	"0"	"318"	"0"
"9"	"7"	"33"	"325"	"84"	"10"	"4"	"7"	"18"	"7"	"5"	"5"	"25"	"523"	"0"	"523"	"0"
"10"	"8"	"15"	"423"	"95"	"8"	"32"	"9"	"7"	"3"	"3"	"4"	"14"	"613"	"0"	"613"	"0"
"11"	"9"	"17"	"159"	"90"	"6"	"2"	"3"	"3"	"1"	"2"	"3"	"1"	"287"	"0"	"287"	"0"
"12"	"10"	"43"	"258"	"237"	"35"	"11"	"4"	"8"	"4"	"12"	"4"	"2"	"618"	"0"	"618"	"0"
"13"	"11"	"46"	"159"	"20"	"1"	"1"	"0"	"4"	"2"	"2"	"8"	"13"	"256"	"0"	"256"	"0"
"14"	"12"	"100"	"256"	"149"	"12"	"28"	"11"	"17"	"7"	"12"	"6"	"19"	"617"	"0"	"617"	"0"
"15"	"13"	"64"	"354"	"203"	"10"	"64"	"15"	"12"	"2"	"5"	"3"	"8"	"740"	"0"	"740"	"0"
"16"	"14"	"52"	"264"	"240"	"42"	"56"	"17"	"13"	"10"	"9"	"4"	"16"	"723"	"0"	"723"	"0"
"17"	"l hV dk
; ksx"	"683"	"3560"	"1629"	"155"	"256"	"241"	"132"	"67"	"109"	"81"	"174"	"7087"	"0"	"7087"	"0"
