"Candidates..Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahaset.h"	"Sitar.am.Yad.av"	"S..Abu.Daujana"	"Chitra.njan.Giri"	"Moham.mad.Afzal.Painther"	"Shankar.Sinha"	"Chandrika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"1"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"4"	"1"	"129"	"18"	"96"	"140"	"4"	"2"	"4"	"3"	"0"	"4"	"4"	"3"	"3"	"410"
"5"	"2"	"162"	"8"	"67"	"169"	"3"	"0"	"0"	"10"	"4"	"2"	"0"	"1"	"2"	"428"
"6"	"3"	"273"	"28"	"108"	"48"	"1"	"3"	"3"	"5"	"3"	"3"	"2"	"0"	"1"	"478"
"7"	"4"	"117"	"17"	"191"	"58"	"18"	"7"	"1"	"4"	"1"	"3"	"1"	"1"	"1"	"420"
"8"	"5"	"203"	"3"	"292"	"51"	"60"	"3"	"1"	"3"	"3"	"1"	"4"	"2"	"4"	"630"
"9"	"6"	"153"	"4"	"64"	"47"	"2"	"1"	"3"	"6"	"5"	"1"	"0"	"0"	"0"	"286"
"10"	"7"	"205"	"11"	"289"	"68"	"6"	"2"	"2"	"5"	"2"	"1"	"1"	"0"	"0"	"592"
"11"	"8"	"330"	"3"	"58"	"9"	"4"	"2"	"4"	"5"	"6"	"0"	"0"	"0"	"0"	"421"
"12"	"9"	"158"	"4"	"223"	"49"	"5"	"0"	"3"	"11"	"2"	"1"	"1"	"2"	"1"	"460"
"13"	"10"	"228"	"5"	"192"	"13"	"10"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"453"
"14"	"11"	"244"	"2"	"99"	"42"	"40"	"3"	"5"	"10"	"4"	"2"	"4"	"2"	"0"	"457"
"15"	"12"	"349"	"3"	"140"	"83"	"6"	"2"	"2"	"7"	"3"	"2"	"1"	"0"	"1"	"599"
"16"	"13"	"377"	"17"	"71"	"90"	"66"	"3"	"7"	"24"	"11"	"2"	"4"	"2"	"3"	"677"
"17"	"14"	"183"	"3"	"11"	"114"	"68"	"0"	"1"	"4"	"2"	"0"	"1"	"4"	"3"	"394"
"18"	"15"	"176"	"13"	"11"	"197"	"12"	"2"	"2"	"3"	"1"	"1"	"0"	"1"	"1"	"420"
"19"	"16"	"90"	"14"	"7"	"89"	"103"	"0"	"2"	"10"	"2"	"1"	"3"	"8"	"5"	"334"
"20"	"17"	"116"	"32"	"63"	"113"	"52"	"2"	"2"	"3"	"1"	"0"	"1"	"1"	"0"	"386"
"21"	"18"	"78"	"5"	"73"	"71"	"56"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"288"
"22"	"19"	"184"	"7"	"73"	"143"	"49"	"0"	"3"	"2"	"2"	"0"	"1"	"1"	"0"	"465"
"23"	"20"	"214"	"12"	"33"	"186"	"3"	"4"	"1"	"8"	"1"	"2"	"4"	"0"	"0"	"468"
"24"	"21"	"153"	"1"	"6"	"220"	"2"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"388"
"25"	"22"	"253"	"6"	"39"	"199"	"5"	"0"	"3"	"5"	"1"	"1"	"2"	"1"	"1"	"516"
"26"	"23"	"330"	"10"	"16"	"53"	"2"	"1"	"0"	"4"	"1"	"1"	"2"	"1"	"0"	"421"
"27"	"24"	"177"	"19"	"55"	"97"	"18"	"0"	"1"	"5"	"1"	"0"	"7"	"0"	"1"	"381"
"28"	"25"	"158"	"7"	"89"	"219"	"11"	"2"	"2"	"6"	"2"	"2"	"4"	"1"	"1"	"504"
"29"	"26"	"159"	"3"	"239"	"136"	"8"	"1"	"2"	"1"	"1"	"1"	"20"	"1"	"3"	"575"
"30"	"27"	"239"	"44"	"47"	"124"	"12"	"2"	"5"	"21"	"10"	"7"	"8"	"7"	"8"	"534"
"31"	"28"	"156"	"6"	"72"	"129"	"7"	"1"	"2"	"5"	"3"	"1"	"3"	"1"	"3"	"389"
"32"	"29"	"244"	"8"	"77"	"124"	"15"	"3"	"2"	"5"	"2"	"1"	"2"	"0"	"2"	"485"
