"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the House of the people from the 39- Nawada  Parliamentary Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment   170- BARBIGHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"GANESH SHANKAR VIDYARTHI"	"BHOLA SINGH"	"MASIH UDDIN"	"VEENA DEVI"	"SUNILA DEVI"	"UMAKANT RAHI"	"KAILASH PAL"	"VIDHYAPATI SINGH"	"SURENDRA KUMAR CHAUDHARY"	"AKHILESH SINGH"	"ANIL MEHTA"	"KAUSHAL YADAV"	"CHANCHALA DEVI"	"DURGA PRASAD DHAR"	"NAVIN KUMAR VERMA"	"RAJ KISHOR RAJ"	"RAJ BALLABH PRASAD"	"RAJENDRA VISHAL"	"RAJENDRA SINGH"	"SHAMBHU PRASAD"	"SUNIL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"11"	"1"	"1"	"9"	"402"	"7"	"112"	"6"	"0"	"1"	"3"	"0"	"0"	"0"	"1"	"1"	"2"	"7"	"0"	"8"	"7"	"1"	"4"	"5"	"576"	"0"	"576"	"0"
"12"	"2"	"2"	"15"	"128"	"5"	"196"	"31"	"2"	"4"	"8"	"1"	"14"	"2"	"6"	"12"	"5"	"5"	"7"	"23"	"9"	"6"	"20"	"41"	"540"	"0"	"540"	"0"
"13"	"3"	"3"	"21"	"125"	"5"	"174"	"37"	"2"	"4"	"6"	"3"	"12"	"2"	"3"	"5"	"4"	"0"	"1"	"6"	"3"	"1"	"6"	"5"	"425"	"0"	"425"	"0"
"14"	"4"	"4"	"9"	"142"	"8"	"165"	"17"	"1"	"67"	"4"	"2"	"8"	"5"	"4"	"19"	"8"	"7"	"6"	"13"	"3"	"0"	"11"	"15"	"514"	"0"	"514"	"0"
"15"	"5"	"5"	"11"	"308"	"8"	"45"	"19"	"0"	"1"	"5"	"0"	"2"	"2"	"1"	"6"	"15"	"18"	"13"	"6"	"2"	"2"	"2"	"4"	"470"	"0"	"470"	"0"
"16"	"6"	"6"	"10"	"164"	"5"	"24"	"0"	"2"	"1"	"4"	"0"	"1"	"0"	"0"	"4"	"3"	"8"	"2"	"9"	"15"	"7"	"20"	"21"	"300"	"0"	"300"	"0"
"17"	"7"	"7"	"9"	"241"	"9"	"153"	"26"	"1"	"2"	"6"	"2"	"52"	"1"	"14"	"8"	"3"	"2"	"4"	"0"	"1"	"1"	"4"	"3"	"542"	"0"	"542"	"0"
"18"	"8"	"8"	"4"	"27"	"29"	"61"	"8"	"2"	"1"	"0"	"2"	"3"	"0"	"2"	"1"	"2"	"4"	"1"	"1"	"0"	"0"	"2"	"2"	"152"	"0"	"152"	"0"
"19"	"9"	"9"	"7"	"22"	"22"	"120"	"6"	"1"	"0"	"4"	"0"	"0"	"1"	"3"	"4"	"3"	"1"	"2"	"2"	"3"	"0"	"5"	"4"	"210"	"0"	"210"	"0"
"20"	"10"	"10"	"27"	"310"	"21"	"95"	"32"	"3"	"3"	"6"	"5"	"11"	"6"	"11"	"5"	"7"	"13"	"12"	"18"	"5"	"3"	"5"	"4"	"602"	"0"	"602"	"0"
"21"	"11"	"11"	"7"	"181"	"8"	"281"	"12"	"1"	"3"	"0"	"1"	"5"	"3"	"13"	"27"	"9"	"11"	"15"	"51"	"7"	"4"	"8"	"9"	"656"	"0"	"656"	"0"
