"Total.No..of.Electors.in.Assembly.Constituency.Segment..262884"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Name of the Assembly/segment- 118-CHAPRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round N0:- 01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"96"	"68"	"5"	"2"	"1"	"0"	"2"	"1"	"0"	"2"	"0"	"3"	"180"	"0"	"180"	"0"
"12"	"2"	"69"	"97"	"38"	"4"	"3"	"5"	"8"	"4"	"4"	"2"	"5"	"2"	"241"	"0"	"241"	"0"
"13"	"3"	"181"	"316"	"33"	"9"	"2"	"1"	"16"	"2"	"2"	"2"	"5"	"6"	"575"	"0"	"575"	"0"
"14"	"4"	"345"	"29"	"8"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"385"	"0"	"385"	"0"
"15"	"5"	"73"	"80"	"14"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"1"	"14"	"188"	"0"	"188"	"0"
"16"	"6"	"179"	"95"	"24"	"2"	"1"	"0"	"2"	"0"	"2"	"4"	"6"	"9"	"324"	"0"	"324"	"0"
"17"	"7"	"125"	"101"	"126"	"7"	"2"	"1"	"5"	"1"	"4"	"1"	"7"	"11"	"391"	"0"	"391"	"0"
"18"	"8"	"119"	"239"	"67"	"2"	"1"	"6"	"2"	"3"	"0"	"2"	"9"	"10"	"460"	"0"	"460"	"0"
"19"	"9"	"204"	"144"	"27"	"4"	"3"	"3"	"6"	"5"	"10"	"3"	"13"	"10"	"432"	"0"	"432"	"0"
"20"	"10"	"77"	"183"	"28"	"3"	"3"	"1"	"4"	"3"	"0"	"2"	"9"	"6"	"319"	"0"	"319"	"0"
"21"	"11"	"42"	"41"	"55"	"3"	"0"	"2"	"1"	"2"	"2"	"1"	"3"	"4"	"156"	"0"	"156"	"0"
"22"	"12"	"156"	"92"	"5"	"0"	"2"	"1"	"3"	"0"	"0"	"0"	"3"	"0"	"262"	"0"	"262"	"0"
"23"	"13"	"132"	"254"	"37"	"2"	"3"	"2"	"11"	"3"	"5"	"4"	"3"	"10"	"466"	"0"	"466"	"0"
"24"	"14"	"216"	"26"	"71"	"3"	"0"	"0"	"5"	"0"	"0"	"2"	"3"	"3"	"329"	"0"	"329"	"0"
"25"	"Total"	"2014"	"1765"	"538"	"41"	"22"	"22"	"67"	"25"	"32"	"27"	"67"	"88"	"4708"	"0"	"4708"	"0"
"26"	"B.F."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"27"	"G. Total"	"2014"	"1765"	"538"	"41"	"22"	"22"	"67"	"25"	"32"	"27"	"67"	"88"	"4708"	"0"	"4708"	"0"
"28"	"Signature of Asstt. Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"30"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
