"i.zi...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fuokZpdksa dh dqy  l a[ ; k&221699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz
i zl kn   xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"6"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"7"	"1"	"28"	"475"	"5"	"6"	"7"	"10"	"14"	"3"	"1"	"2"	"4"	"5"	"1"	"4"	"1"	"6"	"572"	""	"572"	""
"8"	"2"	"11"	"195"	"5"	"3"	"0"	"10"	"30"	"6"	"3"	"9"	"3"	"5"	"6"	"7"	"8"	"11"	"312"	""	"312"	""
"9"	"3"	"13"	"266"	"9"	"5"	"1"	"5"	"8"	"1"	"2"	"3"	"3"	"6"	"3"	"8"	"2"	"9"	"344"	""	"344"	""
"10"	"4"	"6"	"240"	"30"	"6"	"0"	"3"	"13"	"2"	"1"	"3"	"3"	"5"	"2"	"1"	"4"	"13"	"332"	""	"332"	""
"11"	"5"	"31"	"157"	"4"	"0"	"1"	"4"	"133"	"1"	"3"	"5"	"2"	"3"	"2"	"4"	"3"	"4"	"357"	""	"357"	""
"12"	"6"	"28"	"447"	"12"	"28"	"8"	"19"	"182"	"10"	"6"	"10"	"13"	"6"	"1"	"6"	"8"	"4"	"788"	""	"788"	""
"13"	"7"	"4"	"254"	"34"	"13"	"5"	"5"	"76"	"4"	"2"	"6"	"15"	"1"	"7"	"7"	"4"	"8"	"445"	""	"445"	""
"14"	"8"	"13"	"309"	"20"	"29"	"3"	"4"	"21"	"1"	"2"	"4"	"8"	"3"	"2"	"6"	"19"	"26"	"470"	""	"470"	""
"15"	"9"	"20"	"494"	"8"	"4"	"2"	"13"	"5"	"4"	"0"	"7"	"1"	"5"	"2"	"5"	"9"	"26"	"605"	""	"605"	""
"16"	"10"	"13"	"317"	"4"	"4"	"0"	"1"	"5"	"4"	"0"	"3"	"3"	"0"	"4"	"3"	"13"	"10"	"384"	""	"384"	""
"17"	"11"	"10"	"311"	"9"	"6"	"0"	"4"	"41"	"1"	"3"	"3"	"9"	"6"	"5"	"10"	"18"	"14"	"450"	""	"450"	""
"18"	"12"	"18"	"278"	"23"	"29"	"18"	"2"	"98"	"2"	"3"	"2"	"7"	"1"	"3"	"2"	"2"	"12"	"500"	""	"500"	""
"19"	"13"	"6"	"200"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"2"	"5"	"219"	""	"219"	""
"20"	"14"	"11"	"365"	"20"	"8"	"58"	"7"	"2"	"1"	"1"	"4"	"13"	"5"	"1"	"3"	"10"	"8"	"517"	""	"517"	""
"21"	"VksVy"	"212"	"4308"	"184"	"141"	"103"	"87"	"628"	"40"	"28"	"61"	"85"	"53"	"40"	"66"	"103"	"156"	"6295"	"0"	"6295"	"0"
"22"	"fo/kku  l Hkk {ks=  l a[ ; k , oa uke &02&j keuxj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"fuokZpdksa dh dqy  l a[ ; k&221699                                                                                                 vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
