"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"[ SEE RULE 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"( To be used for recording the result of voting at polling station other than notitied polling stations) Election to the House of People from the 21- Hajipur (SC) PARLIAMENTARY CONSTITUENCY PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"( To be used both for parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of Assembly segment (in the case of election from a parlimentary constituency) :- 128- Raghopur Total No. of Electors in Assembly Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"7"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"8"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"9"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"10"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA
BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR
PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR
VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"12"	"1"	"17"	"1"	"78"	"299"	"5"	"3"	"4"	"3"	"3"	"2"	"5"	"420"	""	""
"13"	"2"	"13"	"3"	"78"	"326"	"9"	"6"	"3"	"19"	"4"	"10"	"12"	"483"	""	""
"14"	"3"	"21"	"1"	"77"	"124"	"6"	"0"	"1"	"3"	"2"	"4"	"4"	"243"	""	""
"15"	"4"	"18"	"1"	"87"	"67"	"1"	"1"	"2"	"7"	"6"	"2"	"8"	"200"	""	""
"16"	"5"	"25"	"7"	"349"	"90"	"19"	"11"	"4"	"11"	"23"	"7"	"6"	"552"	""	""
"17"	"6"	"4"	"1"	"76"	"231"	"10"	"1"	"4"	"12"	"4"	"2"	"6"	"351"	""	""
"18"	"7"	"17"	"1"	"318"	"135"	"9"	"4"	"4"	"7"	"13"	"4"	"13"	"525"	""	""
"19"	"8"	"5"	"1"	"187"	"135"	"5"	"1"	"3"	"7"	"2"	"2"	"4"	"352"	""	""
"20"	"9"	"6"	"2"	"181"	"131"	"4"	"0"	"3"	"3"	"2"	"5"	"11"	"348"	""	""
"21"	"10"	"14"	"3"	"256"	"92"	"6"	"1"	"1"	"6"	"7"	"8"	"16"	"410"	""	""
"22"	"11"	"5"	"6"	"117"	"244"	"8"	"2"	"8"	"11"	"4"	"5"	"17"	"427"	""	""
"23"	"12"	"6"	"7"	"45"	"226"	"5"	"4"	"6"	"7"	"9"	"4"	"8"	"327"	""	""
"24"	"13"	"23"	"6"	"156"	"137"	"2"	"5"	"4"	"5"	"6"	"6"	"10"	"360"	""	""
"25"	"14"	"2"	"2"	"216"	"58"	"6"	"4"	"3"	"6"	"6"	"3"	"8"	"314"	""	""
"26"	"Total No. of Votes"	"176"	"42"	"2221"	"2295"	"95"	"43"	"50"	"107"	"91"	"64"	"128"	"5312"	""	""
"27"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"28"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"29"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"30"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"31"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH
CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA
KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY
KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"32"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"33"	"15"	"11"	"3"	"292"	"200"	"10"	"6"	"3"	"13"	"7"	"8"	"15"	"568"	""	""
"34"	"16"	"2"	"2"	"159"	"43"	"1"	"0"	"0"	"3"	"4"	"3"	"6"	"223"	""	""
"35"	"17"	"19"	"4"	"197"	"205"	"7"	"8"	"5"	"8"	"17"	"9"	"8"	"487"	""	""
"36"	"18"	"17"	"2"	"79"	"234"	"10"	"4"	"6"	"6"	"4"	"7"	"9"	"378"	""	""
"37"	"19"	"28"	"8"	"250"	"273"	"25"	"11"	"1"	"11"	"10"	"6"	"7"	"630"	""	""
"38"	"20"	"6"	"1"	"148"	"191"	"10"	"0"	"1"	"5"	"5"	"5"	"6"	"378"	""	""
"39"	"21"	"13"	"3"	"251"	"102"	"8"	"2"	"4"	"4"	"16"	"8"	"5"	"416"	""	""
"40"	"22"	"24"	"2"	"192"	"88"	"6"	"1"	"1"	"4"	"2"	"5"	"2"	"327"	""	""
"41"	"23"	"13"	"1"	"102"	"306"	"6"	"3"	"6"	"15"	"12"	"6"	"13"	"483"	""	""
"42"	"24"	"5"	"0"	"9"	"164"	"1"	"1"	"2"	"3"	"0"	"0"	"2"	"187"	""	""
"43"	"25"	"9"	"4"	"195"	"209"	"7"	"3"	"0"	"12"	"11"	"13"	"14"	"477"	""	""
"44"	"26"	"8"	"4"	"143"	"207"	"8"	"3"	"4"	"25"	"9"	"4"	"8"	"423"	""	""
"45"	"27"	"7"	"0"	"102"	"190"	"3"	"1"	"5"	"8"	"8"	"3"	"3"	"330"	""	""
"46"	"28"	"19"	"3"	"198"	"196"	"15"	"6"	"8"	"16"	"18"	"6"	"23"	"508"	""	""
"47"	"Total No. of Votes"	"181"	"37"	"2317"	"2608"	"117"	"49"	"46"	"133"	"123"	"83"	"121"	"5815"	""	""
"48"	"Grand Total"	"357"	"79"	"4538"	"4903"	"212"	"92"	"96"	"240"	"214"	"147"	"249"	"11127"	""	""
"49"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"50"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"51"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"52"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"53"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH
CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA
KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY
KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"54"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"55"	"29"	"5"	"4"	"94"	"218"	"6"	"6"	"4"	"17"	"5"	"10"	"23"	"392"	""	""
"56"	"30"	"12"	"4"	"213"	"234"	"9"	"6"	"3"	"16"	"7"	"5"	"9"	"518"	""	""
"57"	"31"	"3"	"7"	"161"	"155"	"11"	"7"	"14"	"11"	"14"	"13"	"21"	"417"	""	""
"58"	"32"	"6"	"2"	"75"	"142"	"7"	"1"	"0"	"5"	"4"	"2"	"5"	"249"	""	""
"59"	"33"	"9"	"4"	"229"	"101"	"7"	"2"	"3"	"8"	"4"	"13"	"5"	"385"	""	""
"60"	"34"	"8"	"1"	"171"	"103"	"3"	"2"	"2"	"8"	"3"	"4"	"2"	"307"	""	""
"61"	"35"	"2"	"2"	"159"	"147"	"4"	"5"	"1"	"11"	"7"	"6"	"13"	"357"	""	""
"62"	"36"	"4"	"1"	"335"	"58"	"2"	"1"	"1"	"1"	"3"	"3"	"1"	"410"	""	""
"63"	"37"	"0"	"3"	"218"	"54"	"1"	"1"	"0"	"0"	"2"	"0"	"3"	"282"	""	""
"64"	"38"	"7"	"2"	"241"	"216"	"2"	"4"	"1"	"7"	"1"	"2"	"8"	"491"	""	""
"65"	"39"	"10"	"2"	"66"	"162"	"7"	"4"	"2"	"7"	"2"	"3"	"5"	"270"	""	""
"66"	"40"	"10"	"0"	"236"	"59"	"7"	"1"	"3"	"4"	"10"	"14"	"28"	"372"	""	""
"67"	"41"	"19"	"4"	"121"	"151"	"10"	"5"	"8"	"20"	"13"	"7"	"11"	"369"	""	""
"68"	"42"	"3"	"1"	"162"	"22"	"7"	"4"	"2"	"1"	"5"	"6"	"11"	"224"	""	""
"69"	"Total No. of Votes"	"98"	"37"	"2481"	"1822"	"83"	"49"	"44"	"116"	"80"	"88"	"145"	"5043"	""	""
"70"	"Grand Total"	"455"	"116"	"7019"	"6725"	"295"	"141"	"140"	"356"	"294"	"235"	"394"	"16170"	""	""
"71"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"72"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"73"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"74"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"75"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH
CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA
KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY
KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"76"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"77"	"43"	"10"	"0"	"107"	"130"	"12"	"3"	"9"	"10"	"9"	"12"	"25"	"327"	""	""
"78"	"44"	"14"	"2"	"92"	"207"	"7"	"6"	"6"	"12"	"7"	"6"	"3"	"362"	""	""
"79"	"45"	"13"	"2"	"122"	"205"	"49"	"1"	"5"	"11"	"7"	"4"	"0"	"419"	""	""
"80"	"46"	"5"	"4"	"83"	"113"	"3"	"1"	"2"	"4"	"5"	"6"	"6"	"232"	""	""
"81"	"47"	"8"	"4"	"110"	"37"	"53"	"3"	"1"	"2"	"5"	"0"	"3"	"226"	""	""
"82"	"48"	"4"	"3"	"418"	"16"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"451"	""	""
"83"	"49"	"16"	"5"	"272"	"119"	"5"	"2"	"7"	"6"	"17"	"9"	"17"	"475"	""	""
"84"	"50"	"14"	"2"	"203"	"158"	"10"	"3"	"4"	"11"	"14"	"16"	"16"	"451"	""	""
"85"	"51"	"48"	"2"	"206"	"112"	"10"	"1"	"8"	"7"	"8"	"8"	"25"	"435"	""	""
"86"	"52"	"51"	"7"	"195"	"208"	"9"	"2"	"5"	"9"	"13"	"6"	"9"	"514"	""	""
"87"	"53"	"18"	"6"	"262"	"85"	"11"	"7"	"5"	"5"	"8"	"6"	"15"	"428"	""	""
"88"	"54"	"26"	"7"	"102"	"197"	"10"	"3"	"5"	"8"	"5"	"5"	"6"	"374"	""	""
"89"	"55"	"27"	"2"	"152"	"179"	"8"	"2"	"4"	"10"	"4"	"13"	"15"	"416"	""	""
"90"	"56"	"17"	"5"	"168"	"271"	"8"	"3"	"1"	"5"	"15"	"8"	"14"	"515"	""	""
"91"	"Total No. of Votes"	"271"	"51"	"2492"	"2037"	"197"	"38"	"63"	"101"	"119"	"100"	"156"	"5625"	""	""
"92"	"Grand Total"	"726"	"167"	"9511"	"8762"	"492"	"179"	"203"	"457"	"413"	"335"	"550"	"21795"	""	""
"93"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"94"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"95"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"96"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
