"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-336948"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 181-DIGHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"
"10"	""	"Vijay Kumar"	"Shatrughan Sinha"	"Shekhar Suman"	"On Masumi"	"Dr. Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""
"11"	"1"	"68"	"141"	"46"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"265"	"0"	"265"	"0"
"12"	"2"	"106"	"192"	"41"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"5"	"353"	"0"	"353"	"0"
"13"	"3"	"9"	"338"	"19"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"376"	"0"	"376"	"0"
"14"	"4"	"94"	"335"	"24"	"1"	"0"	"8"	"1"	"0"	"1"	"3"	"4"	"0"	"1"	"2"	"0"	"2"	"476"	"0"	"476"	"0"
"15"	"5"	"238"	"137"	"17"	"1"	"0"	"5"	"1"	"1"	"3"	"1"	"1"	"0"	"2"	"2"	"1"	"11"	"421"	"0"	"421"	"0"
"16"	"6"	"111"	"97"	"12"	"1"	"0"	"2"	"0"	"0"	"3"	"1"	"1"	"0"	"2"	"0"	"2"	"2"	"234"	"0"	"234"	"0"
"17"	"7"	"241"	"266"	"41"	"1"	"0"	"6"	"1"	"1"	"1"	"2"	"2"	"0"	"1"	"1"	"3"	"11"	"578"	"0"	"578"	"0"
"18"	"8"	"178"	"267"	"32"	"3"	"3"	"4"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"5"	"3"	"500"	"0"	"500"	"0"
"19"	"9"	"207"	"307"	"38"	"1"	"2"	"6"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"568"	"0"	"568"	"0"
