"Candidates"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"3"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"11"	"1"	"33"	"2"	"0"	"40"	"53"	"6"	"1"	"2"	"1"	"3"	"23"	"1"	"0"	"0"	"1"	"5"	"2"	"1"	"0"	"174"	""	"174"	""
"12"	"2"	"1"	"1"	"1"	"157"	"9"	"1"	"0"	"1"	"2"	"0"	"26"	"1"	"6"	"0"	"3"	"0"	"1"	"0"	"0"	"210"	""	"210"	""
"13"	"3"	"14"	"0"	"8"	"97"	"266"	"5"	"2"	"0"	"6"	"0"	"34"	"6"	"7"	"2"	"4"	"15"	"2"	"1"	"8"	"477"	""	"477"	""
"14"	"4"	"12"	"3"	"4"	"125"	"308"	"5"	"0"	"0"	"0"	"0"	"41"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"501"	""	"501"	""
"15"	"5"	"6"	"4"	"3"	"116"	"118"	"3"	"1"	"2"	"10"	"2"	"41"	"4"	"3"	"2"	"2"	"7"	"0"	"0"	"0"	"324"	""	"324"	""
"16"	"6"	"2"	"0"	"1"	"27"	"745"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"776"	""	"776"	""
"17"	"7"	"4"	"0"	"2"	"297"	"23"	"0"	"0"	"0"	"4"	"0"	"14"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"348"	""	"348"	""
"18"	"8"	"24"	"4"	"19"	"50"	"55"	"0"	"5"	"1"	"22"	"2"	"29"	"2"	"5"	"2"	"1"	"14"	"1"	"0"	"1"	"237"	""	"237"	""
"19"	"9"	"6"	"0"	"3"	"60"	"82"	"3"	"3"	"8"	"137"	"3"	"14"	"4"	"4"	"5"	"0"	"21"	"3"	"2"	"2"	"360"	""	"360"	""
"20"	"10"	"7"	"0"	"3"	"97"	"74"	"2"	"2"	"2"	"19"	"0"	"14"	"0"	"3"	"2"	"0"	"2"	"0"	"3"	"0"	"230"	""	"230"	""
"21"	"11"	"48"	"5"	"7"	"69"	"95"	"5"	"3"	"5"	"61"	"2"	"14"	"4"	"1"	"3"	"2"	"3"	"1"	"0"	"0"	"328"	""	"328"	""
"22"	"12"	"30"	"5"	"1"	"23"	"69"	"0"	"1"	"3"	"6"	"1"	"3"	"0"	"1"	"0"	"1"	"7"	"4"	"2"	"3"	"160"	""	"160"	""
"23"	"13"	"31"	"1"	"0"	"94"	"160"	"2"	"1"	"0"	"4"	"0"	"15"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"312"	""	"312"	""
"24"	"14"	"16"	"5"	"0"	"30"	"116"	"2"	"4"	"0"	"44"	"4"	"46"	"7"	"1"	"1"	"1"	"4"	"0"	"0"	"0"	"281"	""	"281"	""
"25"	"15"	"23"	"4"	"14"	"247"	"74"	"9"	"2"	"5"	"5"	"0"	"81"	"4"	"10"	"0"	"0"	"7"	"1"	"0"	"1"	"487"	""	"487"	""
"26"	"16"	"37"	"2"	"16"	"91"	"82"	"3"	"3"	"0"	"0"	"2"	"28"	"7"	"4"	"2"	"3"	"11"	"1"	"8"	"1"	"301"	""	"301"	""
"27"	"17"	"30"	"2"	"3"	"198"	"181"	"8"	"1"	"0"	"0"	"1"	"55"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"0"	"487"	""	"487"	""
"28"	"18"	"15"	"3"	"2"	"115"	"115"	"2"	"1"	"1"	"0"	"1"	"34"	"1"	"4"	"1"	"1"	"6"	"1"	"1"	"1"	"305"	""	"305"	""
"29"	"19"	"84"	"14"	"4"	"48"	"119"	"3"	"2"	"2"	"5"	"1"	"18"	"0"	"1"	"1"	"0"	"5"	"3"	"1"	"0"	"311"	""	"311"	""
"30"	"20"	"20"	"2"	"1"	"143"	"165"	"3"	"2"	"0"	"3"	"1"	"36"	"4"	"2"	"0"	"1"	"5"	"1"	"9"	"2"	"400"	""	"400"	""
"31"	"21"	"7"	"1"	"1"	"166"	"122"	"5"	"1"	"3"	"0"	"0"	"28"	"1"	"3"	"0"	"1"	"4"	"0"	"10"	"1"	"354"	""	"354"	""
"32"	"22"	"48"	"6"	"13"	"139"	"73"	"2"	"0"	"3"	"2"	"1"	"34"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"324"	""	"324"	""
"33"	"23"	"45"	"4"	"26"	"37"	"123"	"3"	"3"	"1"	"0"	"0"	"16"	"0"	"0"	"1"	"2"	"3"	"3"	"1"	"1"	"269"	""	"269"	""
"34"	"24"	"4"	"0"	"3"	"118"	"1"	"0"	"0"	"0"	"0"	"0"	"14"	"6"	"6"	"2"	"0"	"4"	"0"	"0"	"0"	"158"	""	"158"	""
"35"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"36"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"38"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"39"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"40"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"41"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"42"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"45"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"46"	"25"	"12"	"5"	"8"	"121"	"224"	"3"	"0"	"1"	"4"	"0"	"61"	"8"	"5"	"1"	"3"	"17"	"5"	"2"	"6"	"486"	""	"486"	""
"47"	"26"	"7"	"1"	"3"	"60"	"308"	"1"	"1"	"0"	"0"	"0"	"20"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"404"	""	"404"	""
"48"	"27"	"24"	"4"	"4"	"207"	"188"	"15"	"0"	"3"	"3"	"3"	"66"	"13"	"19"	"4"	"7"	"38"	"5"	"5"	"9"	"617"	""	"617"	""
"49"	"28"	"15"	"1"	"2"	"143"	"33"	"1"	"2"	"1"	"4"	"2"	"57"	"1"	"8"	"2"	"4"	"5"	"0"	"1"	"1"	"283"	""	"283"	""
"50"	"29"	"9"	"0"	"3"	"104"	"157"	"3"	"5"	"6"	"7"	"4"	"33"	"6"	"6"	"2"	"1"	"8"	"0"	"3"	"7"	"364"	""	"364"	""
"51"	"30"	"6"	"1"	"93"	"45"	"224"	"6"	"0"	"2"	"1"	"3"	"13"	"4"	"5"	"3"	"0"	"14"	"3"	"0"	"3"	"426"	""	"426"	""
"52"	"31"	"7"	"3"	"0"	"16"	"685"	"9"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"731"	""	"731"	""
"53"	"32"	"10"	"0"	"0"	"10"	"399"	"1"	"1"	"0"	"2"	"0"	"6"	"3"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"435"	""	"435"	""
"54"	"33"	"6"	"0"	"0"	"10"	"355"	"6"	"1"	"0"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"386"	""	"386"	""
"55"	"34"	"15"	"1"	"39"	"136"	"93"	"5"	"2"	"2"	"3"	"4"	"56"	"7"	"11"	"1"	"3"	"14"	"4"	"3"	"7"	"406"	""	"406"	""
"56"	"35"	"9"	"1"	"1"	"64"	"116"	"6"	"1"	"0"	"1"	"0"	"29"	"2"	"3"	"2"	"1"	"2"	"3"	"1"	"2"	"244"	""	"244"	""
"57"	"36"	"102"	"3"	"5"	"49"	"148"	"2"	"0"	"1"	"0"	"0"	"14"	"6"	"2"	"1"	"2"	"7"	"1"	"1"	"0"	"344"	""	"344"	""
"58"	"37"	"77"	"2"	"0"	"39"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"154"	""	"154"	""
"59"	"38"	"21"	"1"	"3"	"160"	"125"	"5"	"1"	"1"	"3"	"0"	"56"	"0"	"8"	"3"	"0"	"9"	"3"	"1"	"7"	"407"	""	"407"	""
"60"	"39"	"11"	"3"	"1"	"198"	"64"	"3"	"1"	"1"	"1"	"3"	"43"	"3"	"0"	"0"	"0"	"2"	"1"	"3"	"0"	"338"	""	"338"	""
"61"	"40"	"34"	"2"	"1"	"171"	"104"	"4"	"1"	"1"	"3"	"2"	"76"	"4"	"8"	"1"	"3"	"15"	"2"	"2"	"5"	"439"	""	"439"	""
"62"	"41"	"13"	"2"	"2"	"184"	"51"	"3"	"2"	"2"	"2"	"2"	"75"	"6"	"12"	"2"	"2"	"3"	"4"	"1"	"5"	"373"	""	"373"	""
"63"	"42"	"11"	"2"	"1"	"228"	"35"	"2"	"0"	"2"	"2"	"1"	"65"	"6"	"7"	"0"	"3"	"6"	"0"	"0"	"0"	"371"	""	"371"	""
"64"	"43"	"22"	"1"	"1"	"218"	"34"	"3"	"0"	"2"	"1"	"2"	"89"	"3"	"3"	"1"	"1"	"7"	"1"	"1"	"1"	"391"	""	"391"	""
"65"	"44"	"1"	"0"	"1"	"178"	"25"	"1"	"1"	"1"	"0"	"0"	"46"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	""	"257"	""
"66"	"45"	"28"	"1"	"4"	"349"	"34"	"2"	"2"	"0"	"1"	"4"	"77"	"2"	"7"	"2"	"0"	"5"	"1"	"2"	"1"	"522"	""	"522"	""
"67"	"46"	"46"	"6"	"9"	"203"	"188"	"9"	"3"	"3"	"3"	"5"	"69"	"3"	"11"	"1"	"7"	"30"	"6"	"2"	"7"	"611"	""	"611"	""
"68"	"47"	"23"	"2"	"7"	"52"	"193"	"5"	"0"	"1"	"4"	"1"	"41"	"4"	"4"	"2"	"6"	"12"	"2"	"1"	"0"	"360"	""	"360"	""
"69"	"48"	"51"	"0"	"12"	"31"	"146"	"3"	"0"	"0"	"0"	"0"	"11"	"1"	"2"	"3"	"2"	"2"	"1"	"3"	"0"	"268"	""	"268"	""
"70"	"Candidates"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"71"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"73"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"74"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"75"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"76"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"77"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"78"	"v"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"80"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"81"	"49"	"54"	"11"	"59"	"159"	"135"	"15"	"5"	"2"	"10"	"4"	"62"	"4"	"7"	"2"	"3"	"8"	"8"	"1"	"1"	"550"	""	"550"	""
"82"	"50"	"76"	"3"	"1"	"58"	"5"	"1"	"0"	"2"	"0"	"2"	"27"	"1"	"1"	"0"	"0"	"2"	"6"	"0"	"4"	"189"	""	"189"	""
"83"	"51"	"42"	"2"	"2"	"145"	"17"	"1"	"0"	"0"	"0"	"0"	"21"	"1"	"4"	"2"	"0"	"4"	"3"	"0"	"3"	"247"	""	"247"	""
"84"	"52"	"7"	"3"	"2"	"141"	"271"	"5"	"3"	"1"	"2"	"4"	"53"	"4"	"6"	"3"	"1"	"8"	"2"	"0"	"5"	"521"	""	"521"	""
"85"	"53"	"52"	"3"	"9"	"74"	"106"	"6"	"0"	"1"	"1"	"3"	"22"	"0"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"282"	""	"282"	""
"86"	"54"	"64"	"0"	"1"	"56"	"58"	"1"	"0"	"0"	"0"	"2"	"31"	"2"	"1"	"1"	"1"	"3"	"2"	"0"	"1"	"224"	""	"224"	""
"87"	"55"	"23"	"6"	"4"	"166"	"182"	"1"	"3"	"2"	"4"	"2"	"75"	"2"	"7"	"1"	"2"	"10"	"1"	"1"	"3"	"495"	""	"495"	""
"88"	"56"	"7"	"2"	"1"	"27"	"127"	"3"	"2"	"1"	"1"	"1"	"13"	"0"	"4"	"0"	"1"	"3"	"1"	"2"	"2"	"198"	""	"198"	""
"89"	"57"	"25"	"1"	"5"	"58"	"66"	"2"	"1"	"0"	"2"	"2"	"31"	"2"	"7"	"1"	"1"	"7"	"2"	"0"	"3"	"216"	""	"216"	""
"90"	"58"	"84"	"1"	"0"	"19"	"106"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"220"	""	"220"	""
"91"	"59"	"52"	"5"	"64"	"127"	"232"	"9"	"3"	"2"	"3"	"3"	"49"	"3"	"3"	"0"	"0"	"4"	"3"	"0"	"0"	"562"	""	"562"	""
"92"	"60"	"16"	"2"	"5"	"67"	"375"	"9"	"2"	"0"	"0"	"1"	"16"	"1"	"1"	"2"	"2"	"5"	"0"	"1"	"2"	"507"	""	"507"	""
"93"	"61"	"34"	"2"	"5"	"10"	"95"	"6"	"0"	"0"	"2"	"0"	"12"	"1"	"4"	"2"	"1"	"7"	"0"	"0"	"1"	"182"	""	"182"	""
