"fo.kku.l.Hkk..ks..l.a....k...oa.uke..09.fl.dVk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&195901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"01&okYehfduxj  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vH; FkhZ ds i {k esa Mky s x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kad j i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|   er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"6"	"1"	"65"	"578"	"4"	"1"	"8"	"3"	"6"	"0"	"3"	"5"	"0"	"1"	"0"	"2"	"5"	"5"	"686"	""	"686"	""
"7"	"2"	"8"	"143"	"2"	"13"	"46"	"2"	"1"	"0"	"3"	"1"	"3"	"0"	"1"	"2"	"5"	"3"	"233"	""	"233"	""
"8"	"3"	"48"	"283"	"46"	"28"	"11"	"12"	"2"	"0"	"1"	"4"	"14"	"2"	"2"	"4"	"8"	"8"	"473"	""	"473"	""
"9"	"4"	"73"	"378"	"28"	"3"	"63"	"42"	"3"	"0"	"2"	"0"	"3"	"1"	"1"	"2"	"1"	"1"	"601"	""	"601"	""
"10"	"5"	"16"	"133"	"29"	"12"	"145"	"6"	"5"	"1"	"1"	"5"	"4"	"1"	"4"	"0"	"3"	"2"	"367"	""	"367"	""
"11"	"6"	"7"	"164"	"12"	"10"	"12"	"25"	"1"	"1"	"2"	"2"	"2"	"1"	"0"	"2"	"0"	"3"	"244"	""	"244"	""
"12"	"7"	"7"	"62"	"120"	"16"	"68"	"6"	"15"	"3"	"2"	"6"	"6"	"2"	"3"	"1"	"3"	"13"	"333"	""	"333"	""
"13"	"8"	"18"	"319"	"11"	"4"	"4"	"4"	"216"	"7"	"2"	"8"	"42"	"3"	"3"	"2"	"6"	"15"	"664"	""	"664"	""
"14"	"9"	"18"	"148"	"4"	"3"	"20"	"7"	"96"	"4"	"2"	"2"	"15"	"2"	"4"	"5"	"11"	"12"	"353"	""	"353"	""
