"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."
"1"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""
"3"	""	"1"	"32"	"9"	"91"	"171"	"5"	"0"	"5"	"1"	"15"	"3"	"7"	"2"	"6"	"5"	"2"	"9"	"363"	""	"363"	""
"4"	""	"2"	"136"	"18"	"172"	"112"	"4"	"7"	"1"	"2"	"10"	"1"	"3"	"1"	"1"	"1"	"2"	"1"	"472"	""	"472"	""
"5"	""	"3"	"5"	"17"	"52"	"185"	"7"	"34"	"0"	"1"	"1"	"3"	"4"	"1"	"4"	"2"	"1"	"5"	"322"	""	"322"	""
"6"	""	"4"	"3"	"9"	"152"	"76"	"2"	"7"	"3"	"0"	"4"	"2"	"6"	"5"	"12"	"3"	"1"	"2"	"287"	""	"287"	""
"7"	""	"5"	"58"	"6"	"149"	"16"	"1"	"2"	"2"	"0"	"21"	"0"	"8"	"1"	"1"	"3"	"0"	"2"	"270"	""	"270"	""
"8"	""	"6"	"24"	"53"	"124"	"231"	"9"	"1"	"2"	"3"	"55"	"4"	"7"	"3"	"5"	"3"	"10"	"4"	"538"	""	"538"	""
"9"	""	"7"	"2"	"17"	"237"	"89"	"2"	"7"	"1"	"0"	"4"	"0"	"0"	"1"	"2"	"0"	"0"	"2"	"364"	""	"364"	""
"10"	""	"8"	"8"	"28"	"69"	"66"	"6"	"11"	"0"	"1"	"76"	"0"	"5"	"2"	"3"	"1"	"0"	"0"	"276"	""	"276"	""
