"A_CODE"	"BOOTH_NO"	"Kalawati.Devi"	"Ramji.Manjhi"	"Sanjiv.Prasad.Toni"	"Hari.Manjhi"	"Dilip.Paswan"	"Niranjan.Kumar"	"Rajesh.Kumar"	"Ramdev.Arya.Paan"	"Amarnath.prasad"	"Krishna.Choudhary"	"Kail.Das"	"Deepak.Paswan"	"Ramkisho.re.Paswan"	"Ramu.Paswan"	"Shiv.Shankar.Kumar"	"Shyamlal.Manjhi"	"TOTAL.Votes"
"1"	229	1	8	18	47	197	4	0	1	1	1	0	1	2	6	7	3	70	366
"2"	229	2	9	210	21	71	3	1	2	0	2	1	3	2	1	2	2	55	385
"3"	229	3	8	138	47	50	4	1	3	2	3	0	0	0	0	1	1	4	262
"4"	229	4	1	16	9	187	2	0	1	1	0	0	1	2	3	4	1	3	231
"5"	229	5	4	94	13	235	0	0	5	3	3	1	2	0	3	2	4	7	376
"6"	229	6	1	316	11	27	0	0	0	0	0	0	1	0	0	1	0	3	360
"7"	229	7	47	279	43	180	6	2	2	5	4	4	4	0	1	3	8	21	609
"8"	229	8	11	114	63	302	9	2	1	3	5	1	6	2	3	9	0	10	541
"9"	229	9	17	103	43	428	10	3	3	7	7	3	4	4	3	8	3	4	650
"10"	229	10	1	58	101	393	4	3	2	2	4	3	1	6	2	4	2	0	586
"11"	229	11	6	230	85	122	10	4	4	3	8	5	9	5	11	8	15	33	558
"12"	229	12	2	54	19	67	4	0	1	4	2	1	7	0	3	3	4	3	174
"13"	229	13	2	15	38	64	5	41	4	2	4	2	2	3	4	8	7	0	201
"14"	229	14	22	23	32	489	8	6	3	0	2	3	3	5	18	8	7	10	639
"15"	229	15	11	116	22	258	4	3	2	1	2	2	5	1	0	2	1	0	430
"16"	229	16	4	94	86	158	6	3	3	1	2	1	5	3	4	7	2	6	385
"17"	229	17	0	164	49	155	2	0	1	1	2	2	6	3	4	4	3	10	406
"18"	229	18	7	198	46	89	2	4	1	0	1	1	3	0	1	4	4	4	365
"19"	229	19	12	203	188	133	5	9	11	11	9	3	13	7	6	13	4	8	635
"20"	229	20	18	78	70	238	6	1	0	1	1	1	1	0	1	2	1	10	429
"21"	229	21	15	55	217	222	11	4	3	2	2	4	8	5	4	9	2	7	570
"22"	229	22	16	262	113	252	3	2	2	3	7	8	4	7	4	6	10	14	713
"23"	229	23	1	54	79	233	2	1	1	0	0	0	3	0	2	2	0	2	380
"24"	229	24	17	25	112	231	4	2	15	6	5	5	6	5	10	7	4	17	471
"25"	229	24	59	32	110	124	2	3	13	2	2	0	0	0	1	1	2	3	354
"26"	229	25	10	22	95	258	6	6	3	1	15	5	1	1	2	3	2	3	433
"27"	229	26	2	101	132	521	2	4	1	4	0	1	2	0	2	0	0	1	773
"28"	229	27	5	46	49	188	4	2	5	2	0	2	0	0	1	0	2	0	306
"29"	229	28	1	6	24	429	3	1	5	0	1	0	1	1	1	0	0	1	474
"30"	229	29	5	64	41	515	3	1	1	0	1	0	3	1	2	2	1	0	640
"31"	229	30	17	114	42	100	6	2	2	1	1	1	1	0	1	1	0	1	290
"32"	229	31	32	61	55	221	4	6	5	3	7	7	4	4	7	1	6	2	425
"33"	229	32	12	11	53	89	3	3	3	1	0	1	4	0	1	3	0	3	187
"34"	229	33	8	295	58	38	0	0	1	3	3	0	1	1	1	0	0	4	413
"35"	229	34	8	139	12	44	5	3	1	1	2	2	3	1	3	2	2	1	229
"36"	229	35	8	39	79	206	5	0	0	3	4	3	2	5	7	1	2	7	371
"37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"38"	229	36	2	144	29	193	4	1	0	1	0	1	1	0	3	2	1	2	384
"39"	229	37	109	75	39	235	9	4	3	1	0	0	3	2	6	7	2	19	514
"40"	229	38	11	46	41	255	5	2	2	4	5	1	2	1	2	2	0	4	383
"41"	229	39	8	94	12	106	2	3	2	5	4	1	4	5	1	6	6	9	268
