"fo.kku.l.Hkk...k.M.l.a....k...oa.uke..12.uj.dfV..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"fuokZpdksa dh dqy  l a[ ; k&205485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vfUr e i fj .kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"02&i f' pe  pEi kj . k  l al nh;  fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"vH; FkhZ ds i {k esa Mky s x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"8"	"1"	"92"	"47"	"18"	"13"	"31"	"1"	"5"	"3"	"5"	"2"	"1"	"218"	""	"218"	""
"9"	"2"	"28"	"20"	"11"	"2"	"116"	"4"	"3"	"0"	"2"	"1"	"2"	"189"	""	"189"	""
"10"	"3"	"250"	"77"	"11"	"1"	"33"	"4"	"2"	"1"	"2"	"6"	"2"	"389"	""	"389"	""
"11"	"4"	"99"	"26"	"57"	"12"	"117"	"1"	"1"	"3"	"0"	"1"	"5"	"322"	""	"322"	""
"12"	"5"	"67"	"29"	"12"	"29"	"455"	"19"	"4"	"8"	"1"	"6"	"10"	"640"	""	"640"	""
"13"	"6"	"27"	"46"	"9"	"30"	"386"	"15"	"4"	"1"	"4"	"12"	"5"	"539"	""	"539"	""
"14"	"7"	"6"	"46"	"33"	"34"	"135"	"8"	"2"	"8"	"0"	"0"	"3"	"275"	""	"275"	""
"15"	"8"	"36"	"95"	"37"	"22"	"324"	"22"	"20"	"8"	"8"	"14"	"7"	"593"	""	"593"	""
"16"	"9"	"146"	"129"	"3"	"5"	"38"	"3"	"3"	"13"	"8"	"11"	"7"	"366"	""	"366"	""
"17"	"10"	"69"	"133"	"2"	"76"	"256"	"10"	"6"	"0"	"7"	"10"	"4"	"573"	""	"573"	""
"18"	"11"	"24"	"76"	"169"	"19"	"205"	"13"	"9"	"18"	"8"	"13"	"20"	"574"	""	"574"	""
"19"	"12"	"56"	"108"	"11"	"36"	"131"	"4"	"5"	"6"	"7"	"3"	"4"	"371"	""	"371"	""
"20"	"13"	"30"	"291"	"8"	"6"	"194"	"6"	"13"	"5"	"3"	"28"	"12"	"596"	""	"596"	""
"21"	"14"	"19"	"181"	"6"	"12"	"189"	"14"	"5"	"1"	"5"	"12"	"2"	"446"	""	"446"	""
"22"	"VksVy"	"949"	"1304"	"387"	"297"	"2610"	"124"	"82"	"75"	"60"	"119"	"84"	"6091"	"0"	"6091"	"0"
"23"	"i zi =&20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"26"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"27"	"15"	"43"	"86"	"2"	"0"	"78"	"3"	"3"	"3"	"2"	"5"	"3"	"228"	""	"228"	""
"28"	"16"	"70"	"188"	"9"	"65"	"273"	"5"	"9"	"0"	"7"	"7"	"11"	"644"	""	"644"	""
"29"	"17"	"62"	"168"	"7"	"42"	"157"	"10"	"9"	"2"	"11"	"9"	"14"	"491"	""	"491"	""
"30"	"18"	"80"	"46"	"5"	"7"	"220"	"10"	"10"	"3"	"5"	"4"	"6"	"396"	""	"396"	""
"31"	"19"	"45"	"42"	"2"	"3"	"107"	"9"	"8"	"5"	"2"	"9"	"5"	"237"	""	"237"	""
"32"	"20"	"14"	"66"	"3"	"14"	"245"	"9"	"4"	"1"	"3"	"6"	"3"	"368"	""	"368"	""
"33"	"21"	"58"	"156"	"1"	"31"	"90"	"1"	"1"	"2"	"5"	"7"	"1"	"353"	""	"353"	""
"34"	"22"	"4"	"4"	"10"	"11"	"205"	"7"	"5"	"3"	"1"	"4"	"2"	"256"	""	"256"	""
"35"	"23"	"53"	"88"	"4"	"28"	"98"	"6"	"2"	"2"	"5"	"5"	"6"	"297"	""	"297"	""
"36"	"24"	"7"	"82"	"30"	"13"	"188"	"12"	"4"	"3"	"8"	"12"	"5"	"364"	""	"364"	""
"37"	"25"	"24"	"209"	"7"	"3"	"139"	"1"	"6"	"4"	"2"	"8"	"3"	"406"	""	"406"	""
"38"	"26"	"62"	"65"	"6"	"15"	"116"	"8"	"1"	"1"	"2"	"4"	"3"	"283"	""	"283"	""
"39"	"27"	"37"	"146"	"3"	"50"	"365"	"7"	"6"	"3"	"7"	"6"	"17"	"647"	""	"647"	""
"40"	"28"	"76"	"247"	"17"	"14"	"166"	"11"	"9"	"1"	"11"	"18"	"5"	"575"	""	"575"	""
"41"	"VksVy"	"635"	"1593"	"106"	"296"	"2447"	"99"	"77"	"33"	"71"	"104"	"84"	"5545"	"0"	"5545"	"0"
"42"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"43"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"44"	"29"	"10"	"148"	"1"	"19"	"56"	"1"	"1"	"3"	"5"	"6"	"4"	"254"	""	"254"	""
"45"	"30"	"42"	"240"	"6"	"4"	"107"	"8"	"3"	"2"	"8"	"10"	"1"	"431"	""	"431"	""
"46"	"31"	"31"	"222"	"7"	"7"	"315"	"22"	"10"	"6"	"6"	"20"	"11"	"657"	""	"657"	""
"47"	"32"	"249"	"296"	"3"	"2"	"12"	"1"	"6"	"0"	"6"	"11"	"8"	"594"	""	"594"	""
"48"	"33"	"89"	"364"	"10"	"5"	"65"	"4"	"10"	"4"	"18"	"28"	"22"	"619"	""	"619"	""
"49"	"34"	"212"	"217"	"2"	"4"	"9"	"3"	"1"	"1"	"0"	"6"	"2"	"457"	""	"457"	""
"50"	"35"	"21"	"116"	"26"	"4"	"138"	"5"	"4"	"1"	"1"	"6"	"3"	"325"	""	"325"	""
"51"	"36"	"169"	"228"	"20"	"8"	"33"	"2"	"2"	"1"	"4"	"9"	"5"	"481"	""	"481"	""
"52"	"37"	"221"	"101"	"11"	"1"	"31"	"0"	"0"	"0"	"2"	"1"	"0"	"368"	""	"368"	""
"53"	"38"	"238"	"200"	"1"	"6"	"21"	"0"	"4"	"1"	"3"	"7"	"9"	"490"	""	"490"	""
"54"	"39"	"267"	"154"	"10"	"10"	"166"	"10"	"5"	"7"	"11"	"14"	"16"	"670"	""	"670"	""
"55"	"40"	"73"	"58"	"10"	"18"	"232"	"11"	"8"	"3"	"1"	"12"	"2"	"428"	""	"428"	""
"56"	"41"	"20"	"104"	"2"	"38"	"136"	"0"	"1"	"0"	"1"	"1"	"0"	"303"	""	"303"	""
"57"	"42"	"37"	"139"	"103"	"4"	"33"	"0"	"3"	"2"	"2"	"5"	"1"	"329"	""	"329"	""
"58"	"VksVy"	"1679"	"2587"	"212"	"130"	"1354"	"67"	"58"	"31"	"68"	"136"	"84"	"6406"	"0"	"6406"	"0"
"59"	"er nku dsUnz
l a[ ; k"	"vfu: )
i zl kn mQZ l k/kq ; kno"	"i zdk' k >k"	"j kekJ; fl ag"	"' kEHkw i zl kn xqIr k"	"Mk0 l at ; t k; l oky"	"QS; kt qy vkt e"	"eukst   dqekj"	"l S; n ' kehe v[ r j"	"uQhl vgen"	"Jheku feJk"	"l S; n bj l kn v[ r j"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
