"X."	"X.U.092E..U.0924..U.0926..U.093E..U.0928...U.0915..U.0947......U.0915....U.0938..U.0902.0"	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X.U.0915..U.0941...U.0932....U.0935...U.0927..U.092E..U.093E....U.092F...U.092E..U.0924."	"X...U.0924...U.0947...U.092A..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924...U.092E..U.0924..U.094B...U.0915....U.0938..U.0902...U.092F..U.093E."	"X17..U.0938..U.0940...U.092E..U.0947...U.0939...U.0924..U.093E...U.0930...U.0915..U.0947...U.092C..U.093E..U.0926...U.092E..U.0924..U.0926..U.093E..U.0928...U.0938..U.0947...U.0907..U.0928..U.0915..U.093E..U.0930...U.0915..U.0930..U.0928..U.0947...U.0935..U.093E..U.0932....U.0915...U.0938..U.0902...U.092F..U.093E."
"1"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"2"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	""	""	""	""	""
"3"	""	"1"	"0"	"24"	"348"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"379"	""	"379"	""	""
"4"	""	"2"	"31"	"11"	"26"	"75"	"4"	"53"	"0"	"4"	"31"	"4"	"2"	"6"	"2"	"3"	"3"	"9"	"264"	""	"264"	""	""
"5"	""	"3"	"8"	"12"	"42"	"117"	"9"	"32"	"0"	"1"	"35"	"2"	"5"	"1"	"8"	"4"	"4"	"2"	"282"	""	"282"	""	""
"6"	""	"4"	"72"	"7"	"237"	"60"	"3"	"49"	"1"	"0"	"2"	"2"	"4"	"1"	"2"	"1"	"0"	"1"	"442"	""	"442"	""	""
"7"	""	"5"	"49"	"76"	"61"	"55"	"5"	"6"	"3"	"1"	"1"	"1"	"4"	"0"	"0"	"2"	"1"	"5"	"270"	""	"270"	""	""
"8"	""	"6"	"22"	"8"	"73"	"199"	"4"	"1"	"0"	"0"	"15"	"1"	"10"	"0"	"4"	"0"	"2"	"2"	"341"	""	"341"	""	""
"9"	""	"7"	"9"	"76"	"107"	"241"	"14"	"6"	"2"	"8"	"226"	"4"	"9"	"3"	"1"	"2"	"0"	"0"	"708"	""	"708"	""	""
"10"	""	"8"	"2"	"1"	"279"	"11"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"0"	"302"	""	"302"	""	""
