"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"[ SEE RULE 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"( To be used for recording the result of voting at polling station other than notitied polling stations) Election to the House of People from the 21- Hajipur (SC) PARLIAMENTARY CONSTITUENCY PART - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"( To be used both for parliamentary and Assembly elections)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No. and Name of Assembly segment (in the case of election from a parlimentary constituency) :- 129- Mahnar Total No. of Electors in Assembly Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"7"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"8"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"9"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"10"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	"votes"
"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12"	"1"	"20"	"3"	"99"	"193"	"66"	"6"	"6"	"15"	"9"	"5"	"11"	"433"	""	""
"13"	"2"	"11"	"7"	"196"	"177"	"12"	"3"	"9"	"7"	"9"	"5"	"16"	"452"	""	""
"14"	"3"	"25"	"8"	"163"	"176"	"56"	"3"	"5"	"7"	"6"	"0"	"7"	"456"	""	""
"15"	"4"	"8"	"3"	"32"	"454"	"6"	"2"	"8"	"16"	"2"	"3"	"7"	"541"	""	""
"16"	"5"	"7"	"1"	"40"	"372"	"3"	"1"	"5"	"9"	"3"	"5"	"11"	"457"	""	""
"17"	"6"	"2"	"2"	"5"	"508"	"3"	"1"	"2"	"1"	"0"	"0"	"1"	"525"	""	""
"18"	"7"	"29"	"5"	"205"	"238"	"12"	"7"	"4"	"25"	"13"	"11"	"12"	"561"	""	""
"19"	"8"	"4"	"2"	"54"	"291"	"3"	"0"	"0"	"6"	"1"	"2"	"1"	"364"	""	""
"20"	"9"	"9"	"3"	"147"	"62"	"6"	"2"	"8"	"7"	"8"	"4"	"12"	"268"	""	""
"21"	"10"	"9"	"5"	"49"	"235"	"7"	"1"	"2"	"0"	"1"	"14"	"1"	"324"	""	""
"22"	"11"	"13"	"2"	"138"	"304"	"8"	"2"	"8"	"8"	"7"	"4"	"16"	"510"	""	""
"23"	"12"	"6"	"2"	"82"	"494"	"7"	"2"	"0"	"6"	"3"	"4"	"4"	"610"	""	""
"24"	"13"	"12"	"2"	"11"	"437"	"2"	"1"	"0"	"12"	"0"	"0"	"6"	"483"	""	""
"25"	"14"	"12"	"1"	"63"	"284"	"8"	"3"	"2"	"7"	"2"	"1"	"3"	"386"	""	""
"26"	"Total No. of Votes"	"167"	"46"	"1284"	"4225"	"199"	"34"	"59"	"126"	"64"	"58"	"108"	"6370"	""	""
