"fo.kku.l.Hkk..ks..l.a....k...oa.uke..05.ykSfj...k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"fuokZpdksa dh dqy  l a[ ; k&189010"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"01&okYehfduxj  l al nh;   fuokZpu  {ks=  l s  y ksd  l Hkk  d s  fy ,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vH; FkhZ ds i {k esa Mkys x; s oS/k er ksa dh l a[ ; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"er nku dsUnz
l a[ ; k"	"fnyhi oekZ"	"cS/kukFk i zl kn egr ks"	"euu feJ"	"eksgEen ' kehe v[ r j"	"j ?kqukFk
>k"	"ohj sUnz i zl kn xqIr k"	"' kSy sUnz dqekj x<+oky"	"vkfEcdk fl ag"	"mes' k"	"nsoj kt j ke"	"Q[ k+: n~nhu"	"eft LVj
; kno"	"euksgj eukst"	"j ek' kadj i zl kn"	"j kds' k dqekj i k.Ms;"	"l R; kukj k; .k
; kno"	"oS|  er i = dk ; ksx"	"vLohd`r er i = dk
; ksx"	"; ksx"	"fufonr er i =ksa dh
l a[ ; k"
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"6"	"1"	"9"	"304"	"39"	"6"	"50"	"2"	"0"	"1"	"1"	"1"	"40"	"3"	"3"	"3"	"7"	"11"	"480"	""	"480"	""
"7"	"2"	"13"	"373"	"31"	"14"	"82"	"2"	"3"	"1"	"3"	"3"	"5"	"1"	"1"	"5"	"5"	"13"	"555"	""	"555"	""
"8"	"3"	"6"	"283"	"2"	"17"	"101"	"4"	"2"	"1"	"0"	"2"	"181"	"0"	"4"	"2"	"2"	"3"	"610"	""	"610"	""
"9"	"4"	"3"	"364"	"9"	"15"	"87"	"2"	"1"	"1"	"1"	"0"	"34"	"1"	"3"	"2"	"2"	"1"	"526"	""	"526"	""
"10"	"5"	"11"	"11"	"4"	"5"	"3"	"5"	"3"	"9"	"2"	"5"	"291"	"4"	"13"	"1"	"2"	"4"	"373"	""	"373"	""
"11"	"6"	"23"	"246"	"27"	"21"	"45"	"3"	"0"	"0"	"0"	"1"	"3"	"2"	"1"	"1"	"3"	"2"	"378"	""	"378"	""
"12"	"7"	"3"	"19"	"66"	"10"	"18"	"9"	"1"	"1"	"1"	"3"	"171"	"1"	"4"	"2"	"2"	"6"	"317"	""	"317"	""
"13"	"8"	"10"	"113"	"4"	"7"	"25"	"6"	"6"	"6"	"4"	"3"	"161"	"1"	"4"	"1"	"5"	"4"	"360"	""	"360"	""
"14"	"9"	"7"	"18"	"136"	"21"	"16"	"2"	"1"	"2"	"2"	"0"	"20"	"2"	"2"	"2"	"2"	"5"	"238"	""	"238"	""
"15"	"10"	"12"	"310"	"10"	"6"	"41"	"4"	"2"	"1"	"1"	"2"	"12"	"0"	"2"	"1"	"8"	"14"	"426"	""	"426"	""
"16"	"11"	"12"	"363"	"10"	"9"	"91"	"7"	"2"	"0"	"3"	"3"	"5"	"1"	"2"	"3"	"6"	"8"	"525"	""	"525"	""
"17"	"12"	"5"	"121"	"213"	"35"	"48"	"2"	"3"	"1"	"5"	"6"	"96"	"7"	"8"	"11"	"8"	"8"	"577"	""	"577"	""
"18"	"13"	"9"	"497"	"12"	"17"	"72"	"3"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"2"	"619"	""	"619"	""
"19"	"14"	"2"	"253"	"7"	"3"	"70"	"6"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"0"	"346"	""	"346"	""
"20"	"VksVy"	"125"	"3275"	"570"	"186"	"749"	"57"	"25"	"24"	"24"	"31"	"1022"	"23"	"48"	"36"	"54"	"81"	"6330"	"0"	"6330"	"0"
