"Name.of.Candidate"	"Dr..Arun.Kumar"	"Jagdish.Sharma"	"Ramadhar.Sharma"	"Surendra.Prasad.Yadav"	"Ayasha.Khatun"	"Prof..Jai.Ram.Prasad.Singh"	"Tara.Gupta"	"Mahanand.Prasad"	"Ramasray.Prasad.Singh"	"Md..Shahabubin.Jahan"	"Shravan.kumar"	"Sadhu.Sinha"	"Syed.Akber.Imam"	"Ajay.Kumar.Verma"	"Abhay.Kumar.Anil"	"Dr..Arbind.Kumar"	"Arvind.Prasad.Singh"	"Upendra.Prasad"	"Jagdish.Yadav"	"Prikshit.Singh"	"Prabhat.Kumar.Ranjan"	"Ranjit.Sharma"	"Rakeshwar.Kishor"	"Siya.Ram.Prasad"	"Sumirak.Singh"	"Total.Valid.Votes"	"No..of.Reject.ed.votes"	"Total"	"No..of.tendered.votes"
"1"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"2"	"Round 1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	"1"	18	130	12	12	5	3	2	64	1	0	0	0	0	3	0	5	2	2	0	1	1	0	0	0	1	262	NA	262	NA
"4"	"2"	1	191	3	119	1	0	3	22	2	1	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0	350	NA	350	NA
"5"	"3"	44	137	4	258	5	1	1	35	1	1	1	1	3	2	4	7	1	2	0	3	5	3	2	3	2	526	NA	526	NA
"6"	"4"	17	92	19	95	8	6	5	79	4	0	0	1	1	2	0	1	4	0	2	0	0	1	0	2	2	341	NA	341	NA
"7"	"5"	1	44	3	111	5	2	5	82	10	5	1	2	3	1	1	4	2	3	5	0	2	0	0	0	5	297	NA	297	NA
"8"	"6"	50	106	6	17	1	2	2	154	2	3	3	0	0	1	1	9	2	1	1	1	1	0	1	2	0	366	NA	366	NA
"9"	"7"	15	236	7	23	2	2	3	192	13	4	3	2	3	3	9	25	3	7	3	2	7	5	9	12	9	599	NA	599	NA
"10"	"8"	5	82	1	239	4	3	1	36	6	1	2	2	4	3	3	9	3	1	4	1	0	1	1	0	0	412	NA	412	NA
"11"	"9"	31	164	1	68	1	3	4	79	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	356	NA	356	NA
"12"	"10"	0	270	1	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	281	NA	281	NA
"13"	"11"	18	182	12	89	9	9	3	123	10	3	2	0	1	2	5	14	1	1	2	0	0	1	0	0	0	487	NA	487	NA
"14"	"12"	6	256	5	170	2	0	1	91	21	3	1	0	1	1	3	2	2	1	0	4	1	1	0	2	2	576	NA	576	NA
"15"	"13"	1	29	0	286	1	0	0	9	21	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	353	NA	353	NA
"16"	"14"	5	60	11	180	5	4	5	7	9	1	3	2	2	2	1	9	10	2	3	3	0	1	0	2	10	337	NA	337	NA
"17"	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	"Total"	212	1979	85	1676	49	35	35	973	101	24	16	10	19	21	28	89	32	21	22	17	17	14	14	23	31	5543	NA	5543	NA
"19"	"Create PDF files without this message by purchasing novaPDF printer (http://www.novapdf.com)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	"Name of Candidate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	"Booth No."	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
"22"	"Round 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	"15"	51	157	4	48	0	1	0	1	0	0	0	0	1	0	0	8	1	0	1	0	0	0	0	1	1	275	NA	275	NA
"24"	"16"	10	173	6	290	9	5	2	6	15	1	7	1	9	4	9	11	10	7	8	3	4	4	2	3	3	602	NA	602	NA
"25"	"17"	19	57	6	116	4	4	2	83	7	0	1	3	3	1	0	1	2	1	0	1	0	0	1	0	0	312	NA	312	NA
"26"	"18"	53	170	6	73	3	3	3	112	1	0	0	0	0	1	3	5	0	1	1	1	0	1	0	0	0	437	NA	437	NA
"27"	"19"	22	322	49	77	4	2	4	39	0	4	3	4	3	2	7	4	0	7	9	3	3	2	0	2	2	574	NA	574	NA
"28"	"20"	2	11	1	539	2	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563	NA	563	NA
"29"	"21"	2	28	3	366	2	1	2	142	5	1	0	0	1	1	2	0	0	0	1	0	3	0	1	0	1	562	NA	562	NA
"30"	"22"	9	109	25	220	3	0	0	112	10	3	0	0	2	0	1	6	1	3	0	0	0	0	0	0	1	505	NA	505	NA
"31"	"23"	1	30	4	66	1	2	1	4	2	0	1	0	1	0	0	3	0	0	2	0	2	0	0	0	1	121	NA	121	NA
"32"	"24"	16	60	20	65	2	2	0	63	16	2	0	1	3	0	4	7	2	2	1	3	3	1	0	2	7	282	NA	282	NA
"33"	"25"	11	38	5	118	2	3	0	20	6	0	0	0	3	1	1	6	3	1	0	6	0	1	0	0	5	230	NA	230	NA
