"X....................................................................................................................................................................................................Tabulation.of.Result.by.Additional.Counting.Staff...................................................................................................................................................................................................."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"ENTRY FORM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  142 Bachhwara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of Tendered votes"
"4"	""	"Anil Chaudhary"	"Amita Bhushan"	"Chandrash ekhar Mahto"	"Dr. Monazir Hassan"	"Shatrughn a Prasad Singh"	"Kishori Prasad Mahto"	"Ram Sah"	"Amiya Kashyap 'Bikki'"	"Arun Kumar"	"Ashok Sah"	"Dilip Kumar"	"Narendra Kumar Singh"	"Narayan Prasad Hisariya"	"Ranjeet Paswan"	"Radha Raman Paswan"	"Ram Dayal Bharti"	"Ram Naresh Prasad Singh"	"Ramshra ya Nishad"	"Sajjan Chaudhary"	""	""	""	""
"5"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"6"	"1"	"44"	"40"	"5"	"57"	"97"	"4"	"1"	"3"	"1"	"2"	"3"	"29"	"1"	"1"	"3"	"2"	"9"	"3"	"6"	"311"	"0"	"311"	"0"
"7"	"2"	"66"	"104"	"8"	"94"	"58"	"6"	"2"	"5"	"1"	"5"	"5"	"8"	"5"	"5"	"4"	"18"	"7"	"5"	"3"	"409"	"0"	"409"	"0"
"8"	"3"	"89"	"61"	"4"	"25"	"27"	"2"	"0"	"4"	"1"	"1"	"4"	"4"	"2"	"0"	"5"	"13"	"2"	"1"	"0"	"245"	"0"	"245"	"0"
"9"	"4"	"214"	"150"	"8"	"28"	"122"	"2"	"1"	"2"	"1"	"3"	"6"	"9"	"0"	"0"	"5"	"15"	"12"	"0"	"1"	"579"	"0"	"579"	"0"
"10"	"5"	"174"	"166"	"12"	"91"	"150"	"4"	"2"	"0"	"5"	"8"	"21"	"44"	"7"	"17"	"13"	"47"	"1"	"1"	"4"	"767"	"0"	"767"	"0"
"11"	"6"	"63"	"118"	"13"	"66"	"116"	"10"	"2"	"2"	"2"	"8"	"20"	"13"	"9"	"5"	"11"	"22"	"22"	"10"	"14"	"526"	"0"	"526"	"0"
"12"	"7"	"80"	"180"	"12"	"67"	"316"	"4"	"1"	"7"	"3"	"4"	"8"	"4"	"6"	"7"	"8"	"26"	"9"	"29"	"15"	"786"	"0"	"786"	"0"
"13"	"8"	"64"	"143"	"13"	"77"	"312"	"13"	"6"	"3"	"1"	"2"	"3"	"20"	"8"	"2"	"6"	"10"	"2"	"9"	"5"	"699"	"0"	"699"	"0"
"14"	"9"	"22"	"176"	"12"	"35"	"302"	"7"	"0"	"2"	"2"	"2"	"1"	"25"	"0"	"1"	"4"	"1"	"7"	"1"	"3"	"603"	"0"	"603"	"0"
"15"	"10"	"93"	"83"	"4"	"52"	"230"	"8"	"1"	"2"	"0"	"1"	"6"	"35"	"2"	"1"	"0"	"15"	"5"	"3"	"7"	"548"	"0"	"548"	"0"
"16"	"11"	"4"	"26"	"3"	"75"	"39"	"0"	"0"	"1"	"0"	"0"	"0"	"27"	"0"	"0"	"2"	"4"	"1"	"0"	"2"	"184"	"0"	"184"	"0"
"17"	"12"	"112"	"45"	"9"	"123"	"17"	"6"	"29"	"3"	"3"	"1"	"2"	"6"	"1"	"3"	"3"	"11"	"4"	"3"	"1"	"382"	"0"	"382"	"0"
"18"	"13"	"50"	"95"	"18"	"91"	"173"	"3"	"0"	"23"	"1"	"2"	"2"	"37"	"2"	"4"	"5"	"19"	"2"	"1"	"1"	"529"	"0"	"529"	"0"
"19"	"14"	"92"	"228"	"9"	"58"	"196"	"10"	"6"	"5"	"3"	"3"	"5"	"39"	"9"	"6"	"11"	"32"	"12"	"10"	"4"	"738"	"0"	"738"	"0"
"20"	"15"	"27"	"29"	"3"	"40"	"391"	"14"	"0"	"6"	"6"	"2"	"3"	"8"	"0"	"2"	"5"	"26"	"2"	"4"	"10"	"578"	"0"	"578"	"0"
"21"	"16"	"32"	"85"	"2"	"40"	"307"	"0"	"3"	"1"	"0"	"0"	"2"	"8"	"0"	"1"	"1"	"1"	"1"	"8"	"4"	"496"	"0"	"496"	"0"
"22"	"17"	"5"	"55"	"2"	"116"	"220"	"2"	"3"	"2"	"0"	"1"	"1"	"7"	"2"	"0"	"5"	"7"	"3"	"4"	"4"	"439"	"0"	"439"	"0"
"23"	"18"	"10"	"55"	"4"	"52"	"235"	"2"	"2"	"0"	"1"	"2"	"1"	"1"	"1"	"1"	"3"	"6"	"1"	"1"	"2"	"380"	"0"	"380"	"0"
