"X.CHAPTER.XIV..PARA.25.9."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 11-KATIHAR PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used booth for parliamentary and assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in assembly Constituency/Segment …194927…………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly /Segment …64-KADWA…. (In the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Serial No. of Polling Station"	""	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"Total No. of tendered votes"
"8"	""	""	"AHMAD ASHFAQUE KARIM"	"NIKHIL KUMAR CHOUDHARY"	"MADAN MOHAN NISHAD"	"SHAH TARIQ ANWAR"	"OM PRAKASH PODDAR"	"MAHBOOB ALAM"	"MUNNI DEVI"	"RAJESH GURNANI"	"CHANDU MURMU"	"PHOOLO DEVI"	"BABU LAL MARANDI"	"MANOJ PARASHAR"	"MOHAMMAD HAMID MUBARAK"	"RAJGIRI SINGH"	"SUNIL KUMAR CHOUDHARY"	"HIMRAJ SINGH"	""	""	""	""
"9"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"10"	"1"	"1"	"68"	"379"	"15"	"196"	"11"	"1"	"3"	"7"	"0"	"11"	"9"	"8"	"4"	"3"	"18"	"70"	"803"	"0"	"803"	"0"
"11"	"2"	"2"	"15"	"268"	"9"	"289"	"10"	"44"	"5"	"5"	"6"	"3"	"5"	"6"	"0"	"10"	"11"	"115"	"801"	"0"	"801"	"0"
"12"	"3"	"3"	"22"	"308"	"13"	"214"	"7"	"5"	"1"	"0"	"4"	"0"	"8"	"4"	"13"	"2"	"11"	"60"	"672"	"0"	"672"	"0"
"13"	"4"	"4"	"12"	"285"	"11"	"47"	"1"	"36"	"5"	"4"	"3"	"8"	"12"	"8"	"4"	"7"	"12"	"111"	"566"	"0"	"566"	"0"
"14"	"5"	"5"	"8"	"92"	"4"	"77"	"0"	"3"	"0"	"2"	"1"	"2"	"1"	"1"	"2"	"0"	"0"	"32"	"225"	"0"	"225"	"0"
"15"	"6"	"6"	"3"	"45"	"11"	"153"	"6"	"3"	"1"	"2"	"1"	"3"	"3"	"2"	"10"	"1"	"9"	"74"	"327"	"0"	"327"	"0"
