"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…81 ALINAGAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment   : 211199"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"7"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"9"	"1"	"1"	"38"	"122"	"222"	"3"	"4"	"1"	"4"	"6"	"1"	"5"	"4"	"6"	"9"	"12"	"437"	"-"	"437"	""
"10"	"2"	"2"	"9"	"37"	"121"	"4"	"2"	"0"	"2"	"2"	"1"	"2"	"0"	"2"	"2"	"8"	"192"	"-"	"192"	""
"11"	"3"	"3"	"18"	"94"	"206"	"3"	"2"	"3"	"3"	"3"	"3"	"5"	"10"	"8"	"17"	"26"	"401"	"-"	"401"	""
"12"	"4"	"4"	"18"	"126"	"378"	"8"	"1"	"3"	"3"	"4"	"1"	"6"	"6"	"11"	"7"	"26"	"598"	"-"	"598"	""
"13"	"5"	"5"	"42"	"209"	"163"	"5"	"4"	"4"	"3"	"2"	"3"	"4"	"4"	"13"	"25"	"26"	"507"	"-"	"507"	""
"14"	"6"	"6"	"37"	"208"	"202"	"16"	"5"	"3"	"4"	"6"	"3"	"6"	"4"	"2"	"10"	"6"	"512"	"-"	"512"	""
"15"	"7"	"7"	"11"	"49"	"36"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"102"	"-"	"102"	""
"16"	"8"	"8"	"35"	"143"	"92"	"0"	"3"	"2"	"0"	"1"	"4"	"2"	"0"	"1"	"9"	"2"	"294"	"-"	"294"	""
"17"	"9"	"9"	"21"	"143"	"149"	"13"	"1"	"6"	"2"	"0"	"1"	"0"	"6"	"2"	"6"	"2"	"352"	"-"	"352"	""
"18"	"10"	"10"	"29"	"12"	"236"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"10"	"3"	"9"	"305"	"-"	"305"	""
"19"	"11"	"11"	"17"	"125"	"133"	"12"	"5"	"6"	"7"	"6"	"6"	"2"	"6"	"12"	"5"	"18"	"360"	"-"	"360"	""
"20"	"12"	"12"	"6"	"314"	"25"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"15"	"4"	"365"	"-"	"365"	""
"21"	"13"	"13"	"3"	"382"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"398"	"-"	"398"	""
"22"	"14"	"14"	"113"	"312"	"143"	"22"	"1"	"6"	"5"	"3"	"5"	"12"	"6"	"9"	"18"	"23"	"678"	"-"	"678"	""
"23"	"15"	"15"	"42"	"149"	"283"	"4"	"1"	"2"	"2"	"1"	"1"	"7"	"2"	"1"	"15"	"16"	"526"	"-"	"526"	""
"24"	"16"	"16"	"16"	"97"	"331"	"8"	"2"	"2"	"0"	"0"	"2"	"1"	"1"	"7"	"7"	"15"	"489"	"-"	"489"	""
"25"	"17"	"17"	"20"	"36"	"267"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"332"	"-"	"332"	""
"26"	"18"	"18"	"78"	"229"	"237"	"9"	"2"	"4"	"5"	"4"	"2"	"7"	"6"	"4"	"9"	"7"	"603"	"-"	"603"	""
"27"	"19"	"19"	"30"	"96"	"254"	"10"	"3"	"2"	"4"	"2"	"1"	"4"	"1"	"8"	"14"	"21"	"450"	"-"	"450"	""
"28"	"20"	"20"	"66"	"80"	"325"	"12"	"4"	"7"	"5"	"4"	"3"	"7"	"4"	"3"	"8"	"5"	"533"	"-"	"533"	""
"29"	"21"	"21"	"21"	"70"	"252"	"9"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"5"	"1"	"3"	"368"	"-"	"368"	""
