"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendere.d.votes"
"1"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDRI KA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"2"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"3"	"1"	"1"	"137"	"26"	"389"	"64"	"48"	"1"	"2"	"5"	"3"	"0"	"2"	"3"	"6"	"9"	"20"	"715"	"0"	"715"	""
"4"	"2"	"2"	"24"	"30"	"265"	"16"	"53"	"3"	"1"	"6"	"1"	"1"	"3"	"5"	"10"	"12"	"17"	"447"	"0"	"447"	""
"5"	"3"	"3"	"11"	"21"	"245"	"11"	"65"	"3"	"1"	"3"	"5"	"1"	"2"	"6"	"13"	"9"	"14"	"410"	"0"	"410"	""
"6"	"4"	"4"	"5"	"10"	"291"	"53"	"72"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"5"	"4"	"1"	"445"	"0"	"445"	""
"7"	"5"	"5"	"4"	"10"	"225"	"76"	"30"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"9"	"6"	"11"	"376"	"0"	"376"	""
"8"	"6"	"6"	"7"	"7"	"81"	"51"	"106"	"3"	"1"	"0"	"1"	"1"	"0"	"1"	"4"	"4"	"1"	"268"	"0"	"268"	""
"9"	"7"	"7"	"23"	"16"	"278"	"83"	"31"	"3"	"2"	"1"	"2"	"1"	"0"	"1"	"9"	"3"	"4"	"457"	"0"	"457"	""
"10"	"8"	"8"	"7"	"10"	"234"	"27"	"23"	"2"	"1"	"1"	"4"	"3"	"0"	"0"	"4"	"2"	"0"	"318"	"0"	"318"	""
"11"	"9"	"9"	"7"	"14"	"318"	"33"	"94"	"7"	"2"	"0"	"3"	"1"	"2"	"4"	"18"	"5"	"12"	"520"	"0"	"520"	""
"12"	"10"	"10"	"12"	"4"	"320"	"56"	"114"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"511"	"0"	"511"	""
"13"	"11"	"11"	"9"	"12"	"326"	"77"	"109"	"3"	"2"	"5"	"6"	"3"	"3"	"7"	"9"	"6"	"9"	"586"	"0"	"586"	""
"14"	"12"	"12"	"96"	"12"	"392"	"14"	"41"	"2"	"2"	"6"	"3"	"1"	"0"	"5"	"22"	"8"	"10"	"614"	"0"	"614"	""
"15"	"13"	"13"	"231"	"6"	"287"	"26"	"51"	"2"	"7"	"0"	"1"	"2"	"1"	"5"	"8"	"6"	"6"	"639"	"0"	"639"	""
"16"	"14"	"14"	"15"	"6"	"115"	"115"	"251"	"14"	"3"	"4"	"1"	"1"	"6"	"6"	"14"	"9"	"17"	"577"	"0"	"577"	""
"17"	"15"	"15"	"10"	"16"	"172"	"133"	"220"	"5"	"4"	"4"	"2"	"4"	"8"	"4"	"5"	"6"	"7"	"600"	"0"	"600"	""
"18"	"16"	"16"	"93"	"3"	"102"	"31"	"107"	"5"	"3"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"2"	"355"	"0"	"355"	""
"19"	"17"	"17"	"65"	"3"	"237"	"90"	"100"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"2"	"1"	"506"	"0"	"506"	""
"20"	"18"	"18"	"7"	"26"	"292"	"33"	"55"	"3"	"2"	"4"	"1"	"0"	"1"	"9"	"16"	"9"	"21"	"479"	"0"	"479"	""
"21"	"19"	"19"	"15"	"21"	"152"	"21"	"64"	"10"	"3"	"7"	"2"	"2"	"0"	"3"	"8"	"7"	"10"	"325"	"0"	"325"	""
"22"	"20"	"20"	"81"	"22"	"185"	"80"	"113"	"10"	"2"	"3"	"6"	"5"	"7"	"12"	"19"	"19"	"20"	"584"	"0"	"584"	""
"23"	"21"	"21"	"23"	"30"	"293"	"45"	"73"	"2"	"2"	"1"	"1"	"3"	"4"	"4"	"13"	"5"	"7"	"506"	"0"	"506"	""
"24"	"22"	"22"	"25"	"15"	"260"	"144"	"147"	"7"	"2"	"4"	"1"	"0"	"3"	"7"	"12"	"9"	"17"	"653"	"0"	"653"	""
"25"	"23"	"23"	"50"	"10"	"240"	"10"	"31"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"10"	"4"	"2"	"361"	"0"	"361"	""
"26"	"24"	"24"	"10"	"11"	"206"	"25"	"54"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"314"	"0"	"314"	""
"27"	"25"	"25"	"45"	"3"	"273"	"46"	"53"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"426"	"0"	"426"	""
"28"	"26"	"26"	"90"	"3"	"153"	"8"	"50"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"315"	"0"	"315"	""
"29"	"27"	"27"	"5"	"10"	"159"	"8"	"81"	"3"	"0"	"2"	"0"	"0"	"3"	"3"	"12"	"6"	"3"	"295"	"0"	"295"	""
"30"	"28"	"28"	"160"	"19"	"234"	"30"	"136"	"9"	"5"	"5"	"3"	"3"	"6"	"9"	"15"	"23"	"27"	"684"	"0"	"684"	""
"31"	"29"	"29"	"8"	"4"	"120"	"72"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"5"	"226"	"0"	"226"	""
"32"	"30"	"30"	"54"	"8"	"177"	"115"	"116"	"5"	"2"	"2"	"1"	"1"	"0"	"0"	"7"	"4"	"14"	"506"	"0"	"506"	""
"33"	"31"	"31"	"5"	"15"	"341"	"61"	"25"	"3"	"0"	"0"	"4"	"0"	"3"	"7"	"15"	"11"	"15"	"505"	"0"	"505"	""
"34"	"32"	"32"	"41"	"9"	"146"	"57"	"34"	"2"	"0"	"3"	"0"	"1"	"0"	"0"	"3"	"3"	"2"	"301"	"0"	"301"	""
"35"	"33"	"33"	"14"	"24"	"313"	"55"	"13"	"2"	"3"	"5"	"4"	"0"	"4"	"9"	"31"	"21"	"16"	"514"	"0"	"514"	""
"36"	"34"	"34"	"7"	"16"	"167"	"156"	"32"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"5"	"4"	"10"	"407"	"0"	"407"	""
"37"	"35"	"35"	"125"	"20"	"432"	"13"	"70"	"3"	"2"	"3"	"1"	"2"	"2"	"6"	"19"	"15"	"21"	"734"	"0"	"734"	""
"38"	"36"	"36"	"18"	"13"	"545"	"19"	"39"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"8"	"7"	"5"	"659"	"0"	"659"	""
"39"	"37"	"37"	"28"	"10"	"437"	"21"	"178"	"8"	"1"	"5"	"2"	"1"	"1"	"3"	"6"	"13"	"9"	"723"	"0"	"723"	""
"40"	"38"	"38"	"408"	"9"	"59"	"6"	"35"	"0"	"3"	"1"	"0"	"1"	"2"	"0"	"2"	"5"	"10"	"541"	"0"	"541"	""
"41"	"39"	"39"	"52"	"9"	"494"	"24"	"26"	"1"	"2"	"1"	"0"	"1"	"2"	"7"	"15"	"10"	"5"	"649"	"0"	"649"	""
