"fo.kku.l.Hkk.fuokZpu..ks..esa.fuokZpdksa.dh.dqy.l.a...k.245214"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"¼v/; k;& XIV  i kjk  26.9 ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"QkeZ & 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre i fj.kke Ik="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[fu; e  56 C (2) nsf[k, ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"34&l kl kjke l al nh;  fuokZpu {ks= l s yksd l Hkk ds fy,  fuokZpu Hkkx 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"fo/kku l Hkk fuokZpu {ks= dk l a[; k , oa uke 209&djxgj  fo/kku l Hkk fuokZpu ¼l al nh;  fuokZpu {ks= ds fy, ½"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ernku dsUnz                                                                               l a[; k"	"fuEufyf[kr ds Ik{k esa fn,  x,  fof/kekU;  erksa dh l a[; k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"i zfr{ksfi r erksa dh l a[; k"	"; ksx"	"fufonÙk erksa dh l a[; k"
"8"	""	"xkU/kh vkt kn"	"ehjk dqekj"	"eqfu yky"	"yyu i kl oku"	"nq[kh jke"	"cCcu pkS/kjh"	"cfyjke jke"	"Hkksyk i zl kn"	"jk/kk nsch"	"jke uxhuk jke"	"jke ; knh jke"	"i zekn dqekj"	"Hkjr jke"	"eqfu; k nsch"	"jke i zos'k jke"	"l qjsUnz jke"	""	""	""	""
"9"	"1"	"24"	"62"	"103"	"184"	"5"	"2"	"0"	"2"	"1"	"1"	"2"	"2"	"7"	"9"	"0"	"2"	"406"	""	"406"	""
"10"	"2"	"104"	"144"	"134"	"23"	"1"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"3"	"2"	"6"	"424"	""	"424"	""
"11"	"3"	"20"	"184"	"99"	"12"	"1"	"3"	"42"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"369"	""	"369"	""
"12"	"4"	"108"	"62"	"104"	"53"	"2"	"12"	"3"	"2"	"2"	"1"	"4"	"4"	"3"	"5"	"3"	"10"	"378"	""	"378"	""
"13"	"5"	"13"	"26"	"79"	"229"	"4"	"55"	"1"	"1"	"3"	"1"	"0"	"0"	"6"	"4"	"0"	"5"	"427"	""	"427"	""
