"Total.No..of.Electors.in.Assembly.Constituency.Segment..206129"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Name of the Assembly/segment- 119-GARKHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(in the case of election form a Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [SEE RULE 56C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-SARAN PARLIAMENTARY CONSTITUENCY 2009 PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used bothe for parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Round No..1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"No. of rejected Votes"	"Total"	"No. of tendered Votes"
"9"	""	"Rajiv Pratap Rudy"	"Lalu Prasad"	"Salim Perwez"	"Santosh Patel"	"Sohel Akhatar"	"kumar Balram Singh"	"Dhupendra Singh"	"Raj Kumar Rai"	"Rajan Harishikesh Chandra"	"Rajaram Sahani"	"Lal Babu Ray"	"Sheo Das Singh"	""	""	""	""
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"11"	"1"	"283"	"57"	"5"	"0"	"0"	"0"	"3"	"2"	"0"	"1"	"0"	"2"	"353"	"0"	"353"	"0"
"12"	"2"	"63"	"429"	"2"	"1"	"1"	"1"	"8"	"3"	"0"	"1"	"0"	"2"	"511"	"0"	"511"	"0"
"13"	"3"	"157"	"137"	"17"	"2"	"1"	"1"	"0"	"5"	"1"	"1"	"2"	"2"	"326"	"0"	"326"	"0"
"14"	"4"	"99"	"183"	"16"	"3"	"0"	"1"	"9"	"0"	"1"	"1"	"2"	"2"	"317"	"0"	"317"	"0"
"15"	"5"	"105"	"332"	"18"	"4"	"3"	"3"	"17"	"6"	"9"	"8"	"28"	"25"	"558"	"0"	"558"	"0"
"16"	"6"	"144"	"192"	"31"	"3"	"2"	"3"	"3"	"9"	"6"	"9"	"12"	"24"	"438"	"0"	"438"	"0"
